"","date","GOOG"
"1",2022-04-18,0.2059
"2",2022-04-19,0.2057
"3",2022-04-20,0.1948
"4",2022-04-21,0.1957
"5",2022-04-22,0.2003
"6",2022-04-25,0.2039
"7",2022-04-26,0.2046
"8",2022-04-27,0.2042
"9",2022-04-28,0.2066
"10",2022-04-29,0.2097
"11",2022-05-02,0.2106
"12",2022-05-03,0.2096
"13",2022-05-04,0.2034
"14",2022-05-05,0.208
"15",2022-05-06,0.212
"16",2022-05-09,0.2126
"17",2022-05-10,0.2135
"18",2022-05-11,0.2107
"19",2022-05-12,0.2138
"20",2022-05-13,0.2182
"21",2022-05-16,0.2176
"22",2022-05-17,0.2061
"23",2022-05-18,0.2033
"24",2022-05-19,0.2106
"25",2022-05-20,0.2036
"26",2022-05-23,0.1989
"27",2022-05-24,0.1972
"28",2022-05-25,0.1937
"29",2022-05-26,0.2014
"30",2022-05-27,0.2062
"31",2022-05-31,0.2106
"32",2022-06-01,0.2119
"33",2022-06-02,0.2022
"34",2022-06-03,0.2018
"35",2022-06-06,0.2061
"36",2022-06-07,0.2125
"37",2022-06-08,0.2111
"38",2022-06-09,0.2085
"39",2022-06-10,0.2063
"40",2022-06-13,0.2067
"41",2022-06-14,0.2111
"42",2022-06-15,0.2149
"43",2022-06-16,0.2095
"44",2022-06-17,0.2094
"45",2022-06-21,0.213
"46",2022-06-22,0.2115
"47",2022-06-23,0.209
"48",2022-06-24,0.2095
"49",2022-06-27,0.2096
"50",2022-06-28,0.2105
"51",2022-06-29,0.2099
"52",2022-06-30,0.2104
"53",2022-07-01,0.2089
"54",2022-07-05,0.2115
"55",2022-07-06,0.2105
"56",2022-07-07,0.2071
"57",2022-07-08,0.2098
"58",2022-07-11,0.2124
"59",2022-07-12,0.2173
"60",2022-07-13,0.2163
"61",2022-07-14,0.2181
"62",2022-07-15,0.2209
"63",2022-07-18,0.2142
"64",2022-07-19,0.2148
"65",2022-07-20,0.2246
"66",2022-07-21,0.2238
"67",2022-07-22,0.2198
"68",2022-07-25,0.2184
"69",2022-07-26,0.2202
"70",2022-07-27,0.2192
"71",2022-07-28,0.2233
"72",2022-07-29,0.227
"73",2022-08-01,0.2117
"74",2022-08-02,0.2107
"75",2022-08-03,0.2131
"76",2022-08-04,0.2222
"77",2022-08-05,0.2208
"78",2022-08-08,0.2248
