"","date","HD"
"1",2022-04-18,0.3008
"2",2022-04-19,0.3095
"3",2022-04-20,0.2973
"4",2022-04-21,0.3085
"5",2022-04-22,0.3128
"6",2022-04-25,0.3107
"7",2022-04-26,0.2951
"8",2022-04-27,0.3013
"9",2022-04-28,0.3006
"10",2022-04-29,0.3082
"11",2022-05-02,0.2981
"12",2022-05-03,0.2999
"13",2022-05-04,0.28
"14",2022-05-05,0.2958
"15",2022-05-06,0.3004
"16",2022-05-09,0.3148
"17",2022-05-10,0.3174
"18",2022-05-11,0.3078
"19",2022-05-12,0.2979
"20",2022-05-13,0.3041
"21",2022-05-16,0.3034
"22",2022-05-17,0.3113
"23",2022-05-18,0.2965
"24",2022-05-19,0.2993
"25",2022-05-20,0.274
"26",2022-05-23,0.2774
"27",2022-05-24,0.2865
"28",2022-05-25,0.2873
"29",2022-05-26,0.2986
"30",2022-05-27,0.2968
"31",2022-05-31,0.2894
"32",2022-06-01,0.303
"33",2022-06-02,0.2934
"34",2022-06-03,0.3045
"35",2022-06-06,0.3053
"36",2022-06-07,0.3092
"37",2022-06-08,0.3104
"38",2022-06-09,0.3121
"39",2022-06-10,0.311
"40",2022-06-13,0.3093
"41",2022-06-14,0.3061
"42",2022-06-15,0.3184
"43",2022-06-16,0.3099
"44",2022-06-17,0.324
"45",2022-06-21,0.3196
"46",2022-06-22,0.3119
"47",2022-06-23,0.2991
"48",2022-06-24,0.3046
"49",2022-06-27,0.2887
"50",2022-06-28,0.3134
"51",2022-06-29,0.3125
"52",2022-06-30,0.3221
"53",2022-07-01,0.3172
"54",2022-07-05,0.3253
"55",2022-07-06,0.3225
"56",2022-07-07,0.3304
"57",2022-07-08,0.3229
"58",2022-07-11,0.3157
"59",2022-07-12,0.317
"60",2022-07-13,0.328
"61",2022-07-14,0.3305
"62",2022-07-15,0.3368
"63",2022-07-18,0.3211
"64",2022-07-19,0.3238
"65",2022-07-20,0.3308
"66",2022-07-21,0.3398
"67",2022-07-22,0.3331
"68",2022-07-25,0.3395
"69",2022-07-26,0.3404
"70",2022-07-27,0.343
"71",2022-07-28,0.3372
"72",2022-07-29,0.3356
"73",2022-08-01,0.314
"74",2022-08-02,0.3224
"75",2022-08-03,0.3149
"76",2022-08-04,0.326
"77",2022-08-05,0.3221
"78",2022-08-08,0.3211
"79",2022-08-09,0.3322
"80",2022-08-10,0.3449
"81",2022-08-11,0.353
"82",2022-08-12,0.3525
"83",2022-08-15,0.3411
"84",2022-08-16,0.3498
"85",2022-08-17,0.335
"86",2022-08-18,0.3435
"87",2022-08-19,0.3482
"88",2022-08-22,0.3445
"89",2022-08-23,0.3422
"90",2022-08-24,0.3433
"91",2022-08-25,0.3212
"92",2022-08-26,0.3404
"93",2022-08-29,0.3334
"94",2022-08-30,0.3375
"95",2022-08-31,0.3393
"96",2022-09-01,0.3418
"97",2022-09-02,0.3342
"98",2022-09-06,0.3427
"99",2022-09-07,0.3483
"100",2022-09-08,0.3533
"101",2022-09-09,0.3516
"102",2022-09-12,0.3483
"103",2022-09-13,0.3338
"104",2022-09-14,0.3497
"105",2022-09-15,0.3504
"106",2022-09-16,0.3682
"107",2022-09-19,0.3709
"108",2022-09-20,0.3694
"109",2022-09-21,0.3642
"110",2022-09-22,0.3693
"111",2022-09-23,0.3561
"112",2022-09-26,0.3687
"113",2022-09-27,0.3577
"114",2022-09-28,0.3669
"115",2022-09-29,0.361
"116",2022-09-30,0.3585
"117",2022-10-03,0.3574
"118",2022-10-04,0.3481
"119",2022-10-05,0.344
"120",2022-10-06,0.3583
"121",2022-10-07,0.3472
"122",2022-10-10,0.3622
"123",2022-10-11,0.3561
"124",2022-10-12,0.3566
"125",2022-10-13,0.3722
"126",2022-10-14,0.3734
"127",2022-10-17,0.3712
"128",2022-10-18,0.3721
"129",2022-10-19,0.3743
"130",2022-10-20,0.3735
"131",2022-10-21,0.3704
"132",2022-10-24,0.3746
"133",2022-10-25,0.3464
"134",2022-10-26,0.356
"135",2022-10-27,0.3419
"136",2022-10-28,0.3495
"137",2022-10-31,0.3397
"138",2022-11-01,0.3387
"139",2022-11-02,0.3322
"140",2022-11-03,0.3543
"141",2022-11-04,0.3602
"142",2022-11-07,0.372
"143",2022-11-08,0.3642
"144",2022-11-09,0.3711
"145",2022-11-10,0.3581
"146",2022-11-11,0.3643
"147",2022-11-14,0.3625
"148",2022-11-15,0.3611
"149",2022-11-16,0.3646
"150",2022-11-17,0.3606
"151",2022-11-18,0.3539
"152",2022-11-21,0.3539
"153",2022-11-22,0.346
"154",2022-11-23,0.3508
"155",2022-11-25,0.3475
"156",2022-11-28,0.3567
"157",2022-11-29,0.3448
"158",2022-11-30,0.3551
"159",2022-12-01,0.3502
"160",2022-12-02,0.3558
"161",2022-12-05,0.3484
"162",2022-12-06,0.3471
"163",2022-12-07,0.3337
"164",2022-12-08,0.3548
"165",2022-12-09,0.3558
"166",2022-12-12,0.3561
"167",2022-12-13,0.3474
"168",2022-12-14,0.3415
"169",2022-12-15,0.3379
"170",2022-12-16,0.3559
"171",2022-12-19,0.3563
"172",2022-12-20,0.3633
"173",2022-12-21,0.3469
"174",2022-12-22,0.3461
"175",2022-12-23,0.3317
"176",2022-12-27,0.3413
"177",2022-12-28,0.3391
"178",2022-12-29,0.3358
"179",2022-12-30,0.3249
"180",2023-01-03,0.3342
"181",2023-01-04,0.3252
"182",2023-01-05,0.3366
"183",2023-01-06,0.3332
"184",2023-01-09,0.3387
"185",2023-01-10,0.3363
"186",2023-01-11,0.3435
"187",2023-01-12,0.3391
"188",2023-01-13,0.3371
"189",2023-01-17,0.3229
"190",2023-01-18,0.3135
"191",2023-01-19,0.2993
"192",2023-01-20,0.2992
"193",2023-01-23,0.272
"194",2023-01-24,0.2765
"195",2023-01-25,0.2671
"196",2023-01-26,0.2735
"197",2023-01-27,0.2804
"198",2023-01-30,0.2707
"199",2023-01-31,0.2578
"200",2023-02-01,0.2552
"201",2023-02-02,0.2382
"202",2023-02-03,0.2438
"203",2023-02-06,0.2371
"204",2023-02-07,0.2555
"205",2023-02-08,0.2498
"206",2023-02-09,0.2531
"207",2023-02-10,0.2461
"208",2023-02-13,0.2416
"209",2023-02-14,0.2442
"210",2023-02-15,0.2492
"211",2023-02-16,0.2432
"212",2023-02-17,0.2491
"213",2023-02-21,0.238
"214",2023-02-22,0.2376
"215",2023-02-23,0.2261
"216",2023-02-24,0.2292
"217",2023-02-27,0.2044
"218",2023-02-28,0.2116
"219",2023-03-01,0.2143
"220",2023-03-02,0.2259
"221",2023-03-03,0.2218
"222",2023-03-06,0.2265
"223",2023-03-07,0.2092
"224",2023-03-08,0.2318
"225",2023-03-09,0.2343
"226",2023-03-10,0.2412
"227",2023-03-13,0.2369
"228",2023-03-14,0.2275
"229",2023-03-15,0.2183
"230",2023-03-16,0.2299
"231",2023-03-17,0.2235
"232",2023-03-20,0.232
"233",2023-03-21,0.2187
"234",2023-03-22,0.2212
"235",2023-03-23,0.2213
"236",2023-03-24,0.2304
"237",2023-03-27,0.2395
"238",2023-03-28,0.2415
"239",2023-03-29,0.2463
"240",2023-03-30,0.2594
"241",2023-03-31,0.2548
"242",2023-04-03,0.2652
"243",2023-04-04,0.2517
"244",2023-04-05,0.2512
"245",2023-04-06,0.2398
"246",2023-04-10,0.242
"247",2023-04-11,0.2302
"248",2023-04-12,0.2451
"249",2023-04-13,0.2471
"250",2023-04-14,0.2524
"251",2023-04-17,0.2429
"252",2023-04-18,0.2533
"253",2023-04-19,0.2335
"254",2023-04-20,0.2387
"255",2023-04-21,0.2411
"256",2023-04-24,0.2494
"257",2023-04-25,0.2554
"258",2023-04-26,0.2554
"259",2023-04-27,0.2489
"260",2023-04-28,0.2697
"261",2023-05-01,0.2742
"262",2023-05-02,0.2768
"263",2023-05-03,0.2689
"264",2023-05-04,0.2708
"265",2023-05-05,0.2487
"266",2023-05-08,0.2614
"267",2023-05-09,0.2493
"268",2023-05-10,0.2591
"269",2023-05-11,0.2627
"270",2023-05-12,0.264
"271",2023-05-15,0.2605
"272",2023-05-16,0.2694
"273",2023-05-17,0.2572
"274",2023-05-18,0.277
"275",2023-05-19,0.2818
"276",2023-05-22,0.2933
"277",2023-05-23,0.2891
"278",2023-05-24,0.2827
"279",2023-05-25,0.2835
"280",2023-05-26,0.2808
"281",2023-05-30,0.2741
"282",2023-05-31,0.2817
"283",2023-06-01,0.2687
"284",2023-06-02,0.2851
"285",2023-06-05,0.2854
"286",2023-06-06,0.2898
"287",2023-06-07,0.2823
"288",2023-06-08,0.2909
"289",2023-06-09,0.2828
"290",2023-06-12,0.305
"291",2023-06-13,0.3038
"292",2023-06-14,0.3125
"293",2023-06-15,0.3058
"294",2023-06-16,0.318
"295",2023-06-20,0.3161
"296",2023-06-21,0.3298
"297",2023-06-22,0.3281
"298",2023-06-23,0.316
"299",2023-06-26,0.3114
"300",2023-06-27,0.3158
"301",2023-06-28,0.3039
"302",2023-06-29,0.3194
