"","date","JNJ"
"1",2020-11-10,0.3851
"2",2020-11-11,0.3752
"3",2020-11-12,0.3787
"4",2020-11-13,0.3803
"5",2020-11-16,0.3731
"6",2020-11-17,0.3669
"7",2020-11-18,0.37
"8",2020-11-19,0.3673
"9",2020-11-20,0.3734
"10",2020-11-23,0.3688
"11",2020-11-24,0.3701
"12",2020-11-25,0.3812
"13",2020-11-27,0.3914
"14",2020-11-30,0.4033
"15",2020-12-01,0.3942
"16",2020-12-02,0.3786
"17",2020-12-03,0.3678
"18",2020-12-04,0.3682
"19",2020-12-07,0.3836
"20",2020-12-08,0.3941
"21",2020-12-09,0.3939
"22",2020-12-10,0.3938
"23",2020-12-11,0.3847
"24",2020-12-14,0.3935
"25",2020-12-15,0.3947
"26",2020-12-16,0.391
"27",2020-12-17,0.3945
"28",2020-12-18,0.3699
"29",2020-12-21,0.3658
"30",2020-12-22,0.3621
"31",2020-12-23,0.3761
"32",2020-12-24,0.3764
"33",2020-12-28,0.3796
"34",2020-12-29,0.3921
"35",2020-12-30,0.3923
"36",2020-12-31,0.3949
"37",2021-01-04,0.3936
"38",2021-01-05,0.3842
"39",2021-01-06,0.3956
"40",2021-01-07,0.395
"41",2021-01-08,0.3897
"42",2021-01-11,0.4026
"43",2021-01-12,0.4009
"44",2021-01-13,0.4076
"45",2021-01-14,0.412
"46",2021-01-15,0.4028
"47",2021-01-19,0.4066
"48",2021-01-20,0.406
"49",2021-01-21,0.4003
"50",2021-01-22,0.3871
"51",2021-01-25,0.379
"52",2021-01-26,0.3734
"53",2021-01-27,0.3758
"54",2021-01-28,0.3824
"55",2021-01-29,0.3888
"56",2021-02-01,0.3849
"57",2021-02-02,0.3806
"58",2021-02-03,0.3878
"59",2021-02-04,0.39
"60",2021-02-05,0.3916
"61",2021-02-08,0.3882
"62",2021-02-09,0.3847
"63",2021-02-10,0.3845
"64",2021-02-11,0.3892
"65",2021-02-12,0.38
"66",2021-02-16,0.3826
"67",2021-02-17,0.381
"68",2021-02-18,0.3757
"69",2021-02-19,0.3788
"70",2021-02-22,0.3747
"71",2021-02-23,0.3739
"72",2021-02-24,0.3653
"73",2021-02-25,0.3622
"74",2021-02-26,0.358
"75",2021-03-01,0.359
"76",2021-03-02,0.3393
"77",2021-03-03,0.3233
"78",2021-03-04,0.3236
"79",2021-03-05,0.3326
"80",2021-03-08,0.3142
"81",2021-03-09,0.3167
"82",2021-03-10,0.3194
"83",2021-03-11,0.3239
"84",2021-03-12,0.3473
"85",2021-03-15,0.3436
"86",2021-03-16,0.3395
"87",2021-03-17,0.3273
"88",2021-03-18,0.3218
"89",2021-03-19,0.3266
"90",2021-03-22,0.329
"91",2021-03-23,0.3257
"92",2021-03-24,0.3242
"93",2021-03-25,0.3169
"94",2021-03-26,0.3164
"95",2021-03-29,0.3087
"96",2021-03-30,0.3068
"97",2021-03-31,0.3141
"98",2021-04-01,0.309
