"","date","JPM"
"1",2022-04-18,0.0899
"2",2022-04-19,0.0946000000000001
"3",2022-04-20,0.0955
"4",2022-04-21,0.0969
"5",2022-04-22,0.0979
"6",2022-04-25,0.1014
"7",2022-04-26,0.0937
"8",2022-04-27,0.0931
"9",2022-04-28,0.0951
"10",2022-04-29,0.1045
"11",2022-05-02,0.1133
"12",2022-05-03,0.1235
"13",2022-05-04,0.1142
"14",2022-05-05,0.124
"15",2022-05-06,0.1174
"16",2022-05-09,0.1164
"17",2022-05-10,0.125
"18",2022-05-11,0.1246
"19",2022-05-12,0.1226
"20",2022-05-13,0.1213
"21",2022-05-16,0.1298
"22",2022-05-17,0.14
"23",2022-05-18,0.1373
"24",2022-05-19,0.1477
"25",2022-05-20,0.1368
"26",2022-05-23,0.1323
"27",2022-05-24,0.1335
"28",2022-05-25,0.1294
"29",2022-05-26,0.1312
"30",2022-05-27,0.1381
"31",2022-05-31,0.1298
"32",2022-06-01,0.1407
"33",2022-06-02,0.1486
"34",2022-06-03,0.1585
"35",2022-06-06,0.1593
"36",2022-06-07,0.1532
"37",2022-06-08,0.1519
"38",2022-06-09,0.1483
"39",2022-06-10,0.1503
"40",2022-06-13,0.1505
"41",2022-06-14,0.1499
"42",2022-06-15,0.1522
"43",2022-06-16,0.1464
"44",2022-06-17,0.1635
"45",2022-06-21,0.1656
"46",2022-06-22,0.1571
"47",2022-06-23,0.1552
"48",2022-06-24,0.1595
"49",2022-06-27,0.1502
"50",2022-06-28,0.1536
"51",2022-06-29,0.1503
"52",2022-06-30,0.1571
"53",2022-07-01,0.1529
"54",2022-07-05,0.1641
"55",2022-07-06,0.1614
"56",2022-07-07,0.1608
"57",2022-07-08,0.1668
"58",2022-07-11,0.1651
"59",2022-07-12,0.1616
"60",2022-07-13,0.1617
"61",2022-07-14,0.1622
"62",2022-07-15,0.1656
"63",2022-07-18,0.171
"64",2022-07-19,0.1647
"65",2022-07-20,0.164
"66",2022-07-21,0.1706
"67",2022-07-22,0.1676
"68",2022-07-25,0.1697
"69",2022-07-26,0.1692
"70",2022-07-27,0.1674
"71",2022-07-28,0.1653
"72",2022-07-29,0.1721
"73",2022-08-01,0.1657
"74",2022-08-02,0.1796
"75",2022-08-03,0.1737
"76",2022-08-04,0.1766
"77",2022-08-05,0.178
"78",2022-08-08,0.1736
"79",2022-08-09,0.1701
"80",2022-08-10,0.1702
"81",2022-08-11,0.175
"82",2022-08-12,0.1782
"83",2022-08-15,0.1784
"84",2022-08-16,0.1856
"85",2022-08-17,0.1796
"86",2022-08-18,0.1817
"87",2022-08-19,0.1852
"88",2022-08-22,0.1791
"89",2022-08-23,0.1812
"90",2022-08-24,0.1829
"91",2022-08-25,0.1697
"92",2022-08-26,0.1759
"93",2022-08-29,0.1796
"94",2022-08-30,0.1871
"95",2022-08-31,0.1874
"96",2022-09-01,0.1859
"97",2022-09-02,0.1779
"98",2022-09-06,0.1746
"99",2022-09-07,0.179
"100",2022-09-08,0.1794
"101",2022-09-09,0.1854
"102",2022-09-12,0.1949
"103",2022-09-13,0.1864
"104",2022-09-14,0.1895
"105",2022-09-15,0.1929
"106",2022-09-16,0.1903
"107",2022-09-19,0.1899
"108",2022-09-20,0.1893
"109",2022-09-21,0.186
"110",2022-09-22,0.1874
"111",2022-09-23,0.1855
"112",2022-09-26,0.1914
"113",2022-09-27,0.1837
"114",2022-09-28,0.1841
"115",2022-09-29,0.1798
"116",2022-09-30,0.1788
"117",2022-10-03,0.1833
"118",2022-10-04,0.1799
"119",2022-10-05,0.1764
"120",2022-10-06,0.1821
"121",2022-10-07,0.1804
"122",2022-10-10,0.1906
"123",2022-10-11,0.1917
"124",2022-10-12,0.1885
"125",2022-10-13,0.1866
"126",2022-10-14,0.1863
"127",2022-10-17,0.1785
"128",2022-10-18,0.1739
"129",2022-10-19,0.1761
"130",2022-10-20,0.1715
"131",2022-10-21,0.1769
"132",2022-10-24,0.184
"133",2022-10-25,0.178
"134",2022-10-26,0.1828
"135",2022-10-27,0.1801
"136",2022-10-28,0.1816
"137",2022-10-31,0.1833
"138",2022-11-01,0.1963
"139",2022-11-02,0.1945
"140",2022-11-03,0.2006
"141",2022-11-04,0.2019
"142",2022-11-07,0.2061
"143",2022-11-08,0.2055
"144",2022-11-09,0.2121
"145",2022-11-10,0.2054
"146",2022-11-11,0.2048
"147",2022-11-14,0.2037
"148",2022-11-15,0.1918
"149",2022-11-16,0.1914
"150",2022-11-17,0.1881
"151",2022-11-18,0.1826
"152",2022-11-21,0.1896
"153",2022-11-22,0.1978
"154",2022-11-23,0.2042
"155",2022-11-25,0.1957
"156",2022-11-28,0.197
"157",2022-11-29,0.1951
"158",2022-11-30,0.1897
"159",2022-12-01,0.1865
"160",2022-12-02,0.1865
"161",2022-12-05,0.1874
"162",2022-12-06,0.1919
"163",2022-12-07,0.189
"164",2022-12-08,0.2009
"165",2022-12-09,0.2068
"166",2022-12-12,0.201
"167",2022-12-13,0.1959
"168",2022-12-14,0.1844
"169",2022-12-15,0.1722
"170",2022-12-16,0.1731
"171",2022-12-19,0.1752
"172",2022-12-20,0.1754
"173",2022-12-21,0.1751
"174",2022-12-22,0.1827
"175",2022-12-23,0.1789
"176",2022-12-27,0.1827
"177",2022-12-28,0.1857
"178",2022-12-29,0.1814
"179",2022-12-30,0.1761
"180",2023-01-03,0.1789
"181",2023-01-04,0.1748
"182",2023-01-05,0.1776
"183",2023-01-06,0.1774
"184",2023-01-09,0.175
"185",2023-01-10,0.1745
"186",2023-01-11,0.1773
"187",2023-01-12,0.1781
"188",2023-01-13,0.1721
"189",2023-01-17,0.1713
"190",2023-01-18,0.1607
"191",2023-01-19,0.1577
"192",2023-01-20,0.1633
"193",2023-01-23,0.1586
"194",2023-01-24,0.1548
"195",2023-01-25,0.1486
"196",2023-01-26,0.1476
"197",2023-01-27,0.1552
"198",2023-01-30,0.1606
"199",2023-01-31,0.1528
"200",2023-02-01,0.1518
"201",2023-02-02,0.1527
"202",2023-02-03,0.1584
"203",2023-02-06,0.1582
"204",2023-02-07,0.1628
"205",2023-02-08,0.1573
"206",2023-02-09,0.1562
"207",2023-02-10,0.157
"208",2023-02-13,0.1483
"209",2023-02-14,0.156
"210",2023-02-15,0.1569
"211",2023-02-16,0.1495
"212",2023-02-17,0.1514
"213",2023-02-21,0.1571
"214",2023-02-22,0.1521
"215",2023-02-23,0.1509
"216",2023-02-24,0.1508
"217",2023-02-27,0.1439
"218",2023-02-28,0.134
"219",2023-03-01,0.1362
"220",2023-03-02,0.14
"221",2023-03-03,0.1468
"222",2023-03-06,0.1529
"223",2023-03-07,0.1352
"224",2023-03-08,0.1315
"225",2023-03-09,0.1313
"226",2023-03-10,0.1354
"227",2023-03-13,0.1319
"228",2023-03-14,0.1266
"229",2023-03-15,0.1189
"230",2023-03-16,0.1155
"231",2023-03-17,0.1131
"232",2023-03-20,0.1057
"233",2023-03-21,0.0937000000000001
"234",2023-03-22,0.0896
"235",2023-03-23,0.0873
"236",2023-03-24,0.0913
"237",2023-03-27,0.1024
"238",2023-03-28,0.0989
"239",2023-03-29,0.0982
"240",2023-03-30,0.1011
"241",2023-03-31,0.1016
"242",2023-04-03,0.1088
"243",2023-04-04,0.1146
"244",2023-04-05,0.1076
"245",2023-04-06,0.1083
"246",2023-04-10,0.1046
"247",2023-04-11,0.0976000000000001
"248",2023-04-12,0.1007
"249",2023-04-13,0.0994999999999999
"250",2023-04-14,0.0988000000000001
"251",2023-04-17,0.0956
"252",2023-04-18,0.1106
"253",2023-04-19,0.1142
"254",2023-04-20,0.1172
"255",2023-04-21,0.1198
