"","date","MA"
"1",2020-11-10,0.1927
"2",2020-11-11,0.2165
"3",2020-11-12,0.1831
"4",2020-11-13,0.1759
"5",2020-11-16,0.177
"6",2020-11-17,0.1887
"7",2020-11-18,0.1799
"8",2020-11-19,0.1735
"9",2020-11-20,0.1646
"10",2020-11-23,0.1764
"11",2020-11-24,0.1909
"12",2020-11-25,0.2007
"13",2020-11-27,0.1692
"14",2020-11-30,0.1686
"15",2020-12-01,0.1773
"16",2020-12-02,0.1956
"17",2020-12-03,0.2086
"18",2020-12-04,0.2177
"19",2020-12-07,0.2108
"20",2020-12-08,0.2194
"21",2020-12-09,0.2243
"22",2020-12-10,0.237
"23",2020-12-11,0.2253
"24",2020-12-14,0.2393
"25",2020-12-15,0.2089
"26",2020-12-16,0.2171
"27",2020-12-17,0.2051
"28",2020-12-18,0.2025
"29",2020-12-21,0.2126
"30",2020-12-22,0.2256
"31",2020-12-23,0.2371
"32",2020-12-24,0.2576
"33",2020-12-28,0.2322
"34",2020-12-29,0.2307
"35",2020-12-30,0.2388
"36",2020-12-31,0.2391
"37",2021-01-04,0.2434
"38",2021-01-05,0.2433
"39",2021-01-06,0.2316
"40",2021-01-07,0.2428
"41",2021-01-08,0.2586
"42",2021-01-11,0.2737
"43",2021-01-12,0.262
"44",2021-01-13,0.2718
"45",2021-01-14,0.2692
"46",2021-01-15,0.2745
"47",2021-01-19,0.2483
"48",2021-01-20,0.2489
"49",2021-01-21,0.2304
"50",2021-01-22,0.2509
"51",2021-01-25,0.2742
"52",2021-01-26,0.2762
"53",2021-01-27,0.245
"54",2021-01-28,0.2492
"55",2021-01-29,0.2539
"56",2021-02-01,0.2715
"57",2021-02-02,0.2769
"58",2021-02-03,0.2743
"59",2021-02-04,0.2705
"60",2021-02-05,0.273
"61",2021-02-08,0.2782
"62",2021-02-09,0.2931
"63",2021-02-10,0.2695
"64",2021-02-11,0.2689
"65",2021-02-12,0.2772
"66",2021-02-16,0.2942
"67",2021-02-17,0.2819
"68",2021-02-18,0.2993
"69",2021-02-19,0.2743
"70",2021-02-22,0.2755
"71",2021-02-23,0.2899
"72",2021-02-24,0.2915
"73",2021-02-25,0.2612
"74",2021-02-26,0.2668
"75",2021-03-01,0.2661
"76",2021-03-02,0.282
"77",2021-03-03,0.2803
"78",2021-03-04,0.2688
"79",2021-03-05,0.2637
"80",2021-03-08,0.2648
"81",2021-03-09,0.2808
"82",2021-03-10,0.2904
"83",2021-03-11,0.2745
"84",2021-03-12,0.2792
"85",2021-03-15,0.276
"86",2021-03-16,0.2828
"87",2021-03-17,0.2872
"88",2021-03-18,0.2799
"89",2021-03-19,0.2749
"90",2021-03-22,0.2929
"91",2021-03-23,0.2814
"92",2021-03-24,0.2864
"93",2021-03-25,0.2527
"94",2021-03-26,0.2625
"95",2021-03-29,0.2514
"96",2021-03-30,0.2596
"97",2021-03-31,0.2446
"98",2021-04-01,0.2497
"99",2021-04-05,0.2447
"100",2021-04-06,0.2543
"101",2021-04-07,0.2784
"102",2021-04-08,0.2735
"103",2021-04-09,0.2515
"104",2021-04-12,0.2579
"105",2021-04-13,0.2592
"106",2021-04-14,0.274
"107",2021-04-15,0.2866
"108",2021-04-16,0.2765
"109",2021-04-19,0.2465
"110",2021-04-20,0.2585
"111",2021-04-21,0.2685
"112",2021-04-22,0.2692
"113",2021-04-23,0.2408
"114",2021-04-26,0.2468
"115",2021-04-27,0.2405
"116",2021-04-28,0.2414
"117",2021-04-29,0.2316
"118",2021-04-30,0.2248
"119",2021-05-03,0.2149
"120",2021-05-04,0.2388
"121",2021-05-05,0.2576
"122",2021-05-06,0.2809
"123",2021-05-07,0.2594
"124",2021-05-10,0.2429
"125",2021-05-11,0.2306
"126",2021-05-12,0.2342
"127",2021-05-13,0.2358
"128",2021-05-14,0.2444
"129",2021-05-17,0.2401
"130",2021-05-18,0.2394
"131",2021-05-19,0.2511
"132",2021-05-20,0.2578
"133",2021-05-21,0.2363
"134",2021-05-24,0.2355
"135",2021-05-25,0.2205
"136",2021-05-26,0.2342
"137",2021-05-27,0.2233
"138",2021-05-28,0.2108
"139",2021-06-01,0.2004
"140",2021-06-02,0.2118
"141",2021-06-03,0.2156
"142",2021-06-04,0.23
"143",2021-06-07,0.219
"144",2021-06-08,0.2352
"145",2021-06-09,0.2436
"146",2021-06-10,0.2501
"147",2021-06-11,0.2394
"148",2021-06-14,0.2295
"149",2021-06-15,0.2288
"150",2021-06-16,0.2365
"151",2021-06-17,0.2307
"152",2021-06-18,0.2323
"153",2021-06-21,0.203
"154",2021-06-22,0.2024
"155",2021-06-23,0.2132
"156",2021-06-24,0.2255
"157",2021-06-25,0.2096
"158",2021-06-28,0.2113
"159",2021-06-29,0.2012
"160",2021-06-30,0.2007
"161",2021-07-01,0.2255
"162",2021-07-02,0.2428
"163",2021-07-06,0.2138
"164",2021-07-07,0.2173
"165",2021-07-08,0.2207
"166",2021-07-09,0.2311
"167",2021-07-12,0.2393
"168",2021-07-13,0.2122
"169",2021-07-14,0.1978
"170",2021-07-15,0.218
"171",2021-07-16,0.2434
"172",2021-07-19,0.2553
"173",2021-07-20,0.2265
"174",2021-07-21,0.2316
"175",2021-07-22,0.231
"176",2021-07-23,0.2441
"177",2021-07-26,0.2363
"178",2021-07-27,0.2479
"179",2021-07-28,0.2237
"180",2021-07-29,0.2289
"181",2021-07-30,0.2373
"182",2021-08-02,0.2496
"183",2021-08-03,0.2441
"184",2021-08-04,0.2521
"185",2021-08-05,0.2574
"186",2021-08-06,0.2687
"187",2021-08-09,0.2814
"188",2021-08-10,0.2992
"189",2021-08-11,0.2899
"190",2021-08-12,0.2682
"191",2021-08-13,0.2804
"192",2021-08-16,0.2944
"193",2021-08-17,0.2668
"194",2021-08-18,0.2786
"195",2021-08-19,0.2839
"196",2021-08-20,0.2929
"197",2021-08-23,0.3051
"198",2021-08-24,0.3065
"199",2021-08-25,0.2975
"200",2021-08-26,0.3164
"201",2021-08-27,0.3188
"202",2021-08-30,0.3319
"203",2021-08-31,0.3034
"204",2021-09-01,0.3133
"205",2021-09-02,0.3134
"206",2021-09-03,0.3204
"207",2021-09-07,0.3049
"208",2021-09-08,0.3002
"209",2021-09-09,0.3049
"210",2021-09-10,0.3259
"211",2021-09-13,0.3477
"212",2021-09-14,0.3522
"213",2021-09-15,0.3245
"214",2021-09-16,0.3148
"215",2021-09-17,0.3093
"216",2021-09-20,0.312
"217",2021-09-21,0.3026
