"","date","META"
"1",2020-11-10,0.1867
"2",2020-11-11,0.1807
"3",2020-11-12,0.1813
"4",2020-11-13,0.1865
"5",2020-11-16,0.1885
"6",2020-11-17,0.1832
"7",2020-11-18,0.1889
"8",2020-11-19,0.1885
"9",2020-11-20,0.1953
"10",2020-11-23,0.1908
"11",2020-11-24,0.1831
"12",2020-11-25,0.1824
"13",2020-11-27,0.1931
"14",2020-11-30,0.2013
"15",2020-12-01,0.1952
"16",2020-12-02,0.19
"17",2020-12-03,0.1915
"18",2020-12-04,0.1918
"19",2020-12-07,0.1992
"20",2020-12-08,0.2007
"21",2020-12-09,0.1985
"22",2020-12-10,0.1895
"23",2020-12-11,0.1919
"24",2020-12-14,0.1935
"25",2020-12-15,0.1991
"26",2020-12-16,0.203
"27",2020-12-17,0.2011
"28",2020-12-18,0.1969
"29",2020-12-21,0.1963
"30",2020-12-22,0.1928
"31",2020-12-23,0.1971
"32",2020-12-24,0.2004
"33",2020-12-28,0.2025
"34",2020-12-29,0.2021
"35",2020-12-30,0.1992
"36",2020-12-31,0.1957
"37",2021-01-04,0.1981
"38",2021-01-05,0.1944
"39",2021-01-06,0.2012
"40",2021-01-07,0.2141
"41",2021-01-08,0.2132
"42",2021-01-11,0.204
"43",2021-01-12,0.1969
"44",2021-01-13,0.191
"45",2021-01-14,0.1926
"46",2021-01-15,0.1888
"47",2021-01-19,0.1931
"48",2021-01-20,0.199
"49",2021-01-21,0.2057
"50",2021-01-22,0.1988
"51",2021-01-25,0.1874
"52",2021-01-26,0.1796
"53",2021-01-27,0.1848
"54",2021-01-28,0.183
"55",2021-01-29,0.1861
"56",2021-02-01,0.1932
"57",2021-02-02,0.1872
"58",2021-02-03,0.1888
"59",2021-02-04,0.1928
"60",2021-02-05,0.1986
"61",2021-02-08,0.2034
"62",2021-02-09,0.1994
"63",2021-02-10,0.2001
"64",2021-02-11,0.1944
"65",2021-02-12,0.2041
"66",2021-02-16,0.2064
"67",2021-02-17,0.2086
"68",2021-02-18,0.2079
"69",2021-02-19,0.2104
"70",2021-02-22,0.2093
"71",2021-02-23,0.2062
"72",2021-02-24,0.2047
"73",2021-02-25,0.2124
"74",2021-02-26,0.2135
"75",2021-03-01,0.2048
"76",2021-03-02,0.2042
"77",2021-03-03,0.2018
"78",2021-03-04,0.2011
"79",2021-03-05,0.2259
"80",2021-03-08,0.2285
"81",2021-03-09,0.2329
"82",2021-03-10,0.2308
"83",2021-03-11,0.2243
"84",2021-03-12,0.2274
"85",2021-03-15,0.2295
"86",2021-03-16,0.2248
"87",2021-03-17,0.2189
"88",2021-03-18,0.2109
"89",2021-03-19,0.2154
"90",2021-03-22,0.2038
"91",2021-03-23,0.2121
"92",2021-03-24,0.2123
"93",2021-03-25,0.2076
"94",2021-03-26,0.2047
"95",2021-03-29,0.2017
"96",2021-03-30,0.1946
"97",2021-03-31,0.1955
"98",2021-04-01,0.1929
"99",2021-04-05,0.1867
"100",2021-04-06,0.1782
"101",2021-04-07,0.1716
"102",2021-04-08,0.163
"103",2021-04-09,0.1713
"104",2021-04-12,0.1843
"105",2021-04-13,0.1912
