"","date","MSFT"
"1",2022-04-18,0.236
"2",2022-04-19,0.2421
"3",2022-04-20,0.2376
"4",2022-04-21,0.2383
"5",2022-04-22,0.2439
"6",2022-04-25,0.2446
"7",2022-04-26,0.2431
"8",2022-04-27,0.2422
"9",2022-04-28,0.2354
"10",2022-04-29,0.2337
"11",2022-05-02,0.2362
"12",2022-05-03,0.2451
"13",2022-05-04,0.2418
"14",2022-05-05,0.2504
"15",2022-05-06,0.2516
"16",2022-05-09,0.2533
"17",2022-05-10,0.2574
"18",2022-05-11,0.2595
"19",2022-05-12,0.2545
"20",2022-05-13,0.2569
"21",2022-05-16,0.2618
"22",2022-05-17,0.2523
"23",2022-05-18,0.2443
"24",2022-05-19,0.2516
"25",2022-05-20,0.2478
"26",2022-05-23,0.2471
"27",2022-05-24,0.2423
"28",2022-05-25,0.2373
"29",2022-05-26,0.2425
"30",2022-05-27,0.2424
"31",2022-05-31,0.243
"32",2022-06-01,0.2485
"33",2022-06-02,0.2431
"34",2022-06-03,0.2459
"35",2022-06-06,0.2499
"36",2022-06-07,0.2559
"37",2022-06-08,0.2567
"38",2022-06-09,0.2588
"39",2022-06-10,0.2602
"40",2022-06-13,0.2625
"41",2022-06-14,0.2614
"42",2022-06-15,0.2613
"43",2022-06-16,0.2495
"44",2022-06-17,0.252
"45",2022-06-21,0.2587
"46",2022-06-22,0.2518
"47",2022-06-23,0.2525
"48",2022-06-24,0.2581
"49",2022-06-27,0.2532
"50",2022-06-28,0.257
"51",2022-06-29,0.2618
"52",2022-06-30,0.2591
"53",2022-07-01,0.2502
"54",2022-07-05,0.2545
"55",2022-07-06,0.253
"56",2022-07-07,0.2548
"57",2022-07-08,0.255
"58",2022-07-11,0.2571
"59",2022-07-12,0.2628
"60",2022-07-13,0.2675
"61",2022-07-14,0.2676
"62",2022-07-15,0.2724
"63",2022-07-18,0.2649
"64",2022-07-19,0.266
"65",2022-07-20,0.2688
"66",2022-07-21,0.2647
"67",2022-07-22,0.2579
"68",2022-07-25,0.263
"69",2022-07-26,0.2618
"70",2022-07-27,0.2583
"71",2022-07-28,0.2629
"72",2022-07-29,0.2655
"73",2022-08-01,0.2592
"74",2022-08-02,0.2589
"75",2022-08-03,0.2579
"76",2022-08-04,0.2586
"77",2022-08-05,0.2606
"78",2022-08-08,0.2643
"79",2022-08-09,0.263
"80",2022-08-10,0.2639
"81",2022-08-11,0.2768
"82",2022-08-12,0.2758
"83",2022-08-15,0.2703
"84",2022-08-16,0.2783
"85",2022-08-17,0.2728
"86",2022-08-18,0.2716
"87",2022-08-19,0.2685
"88",2022-08-22,0.2612
"89",2022-08-23,0.2602
"90",2022-08-24,0.2656
"91",2022-08-25,0.2626
"92",2022-08-26,0.2618
"93",2022-08-29,0.2566
"94",2022-08-30,0.2555
"95",2022-08-31,0.2587
"96",2022-09-01,0.26
"97",2022-09-02,0.2582
"98",2022-09-06,0.2642
"99",2022-09-07,0.2636
"100",2022-09-08,0.2609
"101",2022-09-09,0.2714
"102",2022-09-12,0.2723
"103",2022-09-13,0.2677
"104",2022-09-14,0.277
"105",2022-09-15,0.2756
"106",2022-09-16,0.2726
"107",2022-09-19,0.2719
"108",2022-09-20,0.272
"109",2022-09-21,0.2651
"110",2022-09-22,0.2626
"111",2022-09-23,0.2614
"112",2022-09-26,0.2661
"113",2022-09-27,0.2591
"114",2022-09-28,0.2651
"115",2022-09-29,0.2661
"116",2022-09-30,0.2634
"117",2022-10-03,0.2647
"118",2022-10-04,0.2559
"119",2022-10-05,0.2568
"120",2022-10-06,0.2702
