"","date","NVDA"
"1",2019-06-10,0.2761
"2",2019-06-11,0.2434
"3",2019-06-12,0.2443
"4",2019-06-13,0.274
"5",2019-06-14,0.2559
"6",2019-06-17,0.2418
"7",2019-06-18,0.2489
"8",2019-06-19,0.283
"9",2019-06-20,0.2732
"10",2019-06-21,0.2853
"11",2019-06-24,0.2701
"12",2019-06-25,0.2252
"13",2019-06-26,0.1883
"14",2019-06-27,0.2125
"15",2019-06-28,0.2291
"16",2019-07-01,0.255
"17",2019-07-02,0.257
"18",2019-07-03,0.2405
"19",2019-07-05,0.2245
"20",2019-07-08,0.2537
"21",2019-07-09,0.263
"22",2019-07-10,0.2461
"23",2019-07-11,0.2469
"24",2019-07-12,0.2506
"25",2019-07-15,0.2534
"26",2019-07-16,0.2723
"27",2019-07-17,0.2551
"28",2019-07-18,0.2687
"29",2019-07-19,0.2649
"30",2019-07-22,0.2676
"31",2019-07-23,0.2726
"32",2019-07-24,0.2913
"33",2019-07-25,0.2645
"34",2019-07-26,0.2848
"35",2019-07-29,0.2636
"36",2019-07-30,0.2841
"37",2019-07-31,0.3092
"38",2019-08-01,0.3181
"39",2019-08-02,0.3049
"40",2019-08-05,0.2976
"41",2019-08-06,0.2879
"42",2019-08-07,0.2624
"43",2019-08-08,0.2855
"44",2019-08-09,0.3311
"45",2019-08-12,0.3168
"46",2019-08-13,0.2896
"47",2019-08-14,0.2901
"48",2019-08-15,0.3172
"49",2019-08-16,0.2956
"50",2019-08-19,0.3155
"51",2019-08-20,0.3022
"52",2019-08-21,0.2854
"53",2019-08-22,0.285
"54",2019-08-23,0.2801
"55",2019-08-26,0.2645
"56",2019-08-27,0.2836
"57",2019-08-28,0.2512
"58",2019-08-29,0.2457
"59",2019-08-30,0.2538
"60",2019-09-03,0.2536
"61",2019-09-04,0.2463
"62",2019-09-05,0.2493
"63",2019-09-06,0.2714
"64",2019-09-09,0.306
"65",2019-09-10,0.3079
"66",2019-09-11,0.286
"67",2019-09-12,0.2715
"68",2019-09-13,0.2625
"69",2019-09-16,0.2479
"70",2019-09-17,0.2747
"71",2019-09-18,0.2802
"72",2019-09-19,0.289
"73",2019-09-20,0.2934
"74",2019-09-23,0.3302
"75",2019-09-24,0.3209
"76",2019-09-25,0.3384
"77",2019-09-26,0.3267
"78",2019-09-27,0.2899
"79",2019-09-30,0.2647
"80",2019-10-01,0.3047
"81",2019-10-02,0.3095
"82",2019-10-03,0.2759
"83",2019-10-04,0.2551
"84",2019-10-07,0.2439
"85",2019-10-08,0.2282
"86",2019-10-09,0.2429
"87",2019-10-10,0.2509
"88",2019-10-11,0.2646
"89",2019-10-14,0.2692
"90",2019-10-15,0.2545
"91",2019-10-16,0.2656
"92",2019-10-17,0.2875
"93",2019-10-18,0.2726
"94",2019-10-21,0.2803
"95",2019-10-22,0.2813
"96",2019-10-23,0.2844
"97",2019-10-24,0.2693
"98",2019-10-25,0.2996
"99",2019-10-28,0.2981
"100",2019-10-29,0.3031
"101",2019-10-30,0.2793
"102",2019-10-31,0.249
"103",2019-11-01,0.2463
"104",2019-11-04,0.2881
"105",2019-11-05,0.2997
"106",2019-11-06,0.2919
"107",2019-11-07,0.2808
"108",2019-11-08,0.2599
"109",2019-11-11,0.2508
"110",2019-11-12,0.2436
