"","date","PG"
"1",2022-04-18,0.1695
"2",2022-04-19,0.1703
"3",2022-04-20,0.1761
"4",2022-04-21,0.1766
"5",2022-04-22,0.177
"6",2022-04-25,0.1759
"7",2022-04-26,0.187
"8",2022-04-27,0.1925
"9",2022-04-28,0.1925
"10",2022-04-29,0.1838
"11",2022-05-02,0.1823
"12",2022-05-03,0.1897
"13",2022-05-04,0.2039
"14",2022-05-05,0.2177
"15",2022-05-06,0.2165
"16",2022-05-09,0.2151
"17",2022-05-10,0.2197
"18",2022-05-11,0.2258
"19",2022-05-12,0.2352
"20",2022-05-13,0.2332
"21",2022-05-16,0.2345
"22",2022-05-17,0.2327
"23",2022-05-18,0.2366
"24",2022-05-19,0.241
"25",2022-05-20,0.2439
"26",2022-05-23,0.2405
"27",2022-05-24,0.2427
"28",2022-05-25,0.2336
"29",2022-05-26,0.2337
"30",2022-05-27,0.2316
"31",2022-05-31,0.2457
"32",2022-06-01,0.2473
"33",2022-06-02,0.2459
"34",2022-06-03,0.2462
"35",2022-06-06,0.2502
"36",2022-06-07,0.258
"37",2022-06-08,0.2623
"38",2022-06-09,0.2586
"39",2022-06-10,0.2628
"40",2022-06-13,0.2555
"41",2022-06-14,0.2554
"42",2022-06-15,0.2592
"43",2022-06-16,0.26
"44",2022-06-17,0.2584
"45",2022-06-21,0.2562
"46",2022-06-22,0.2566
"47",2022-06-23,0.2655
"48",2022-06-24,0.2639
"49",2022-06-27,0.2672
"50",2022-06-28,0.2623
"51",2022-06-29,0.2558
"52",2022-06-30,0.2534
"53",2022-07-01,0.2549
"54",2022-07-05,0.2597
"55",2022-07-06,0.2604
"56",2022-07-07,0.2554
"57",2022-07-08,0.2607
"58",2022-07-11,0.2632
"59",2022-07-12,0.2705
"60",2022-07-13,0.2686
"61",2022-07-14,0.2678
"62",2022-07-15,0.2591
"63",2022-07-18,0.2581
"64",2022-07-19,0.2568
"65",2022-07-20,0.255
"66",2022-07-21,0.2519
"67",2022-07-22,0.2519
"68",2022-07-25,0.2502
"69",2022-07-26,0.2509
"70",2022-07-27,0.2445
"71",2022-07-28,0.2451
"72",2022-07-29,0.241
"73",2022-08-01,0.2451
"74",2022-08-02,0.2409
"75",2022-08-03,0.2363
"76",2022-08-04,0.2348
"77",2022-08-05,0.2372
