"","date","TSLA"
"1",2020-11-10,0.1932
"2",2020-11-11,0.1864
"3",2020-11-12,0.1916
"4",2020-11-13,0.2145
"5",2020-11-16,0.2113
"6",2020-11-17,0.1984
"7",2020-11-18,0.1844
"8",2020-11-19,0.1817
"9",2020-11-20,0.1859
"10",2020-11-23,0.1923
"11",2020-11-24,0.1992
"12",2020-11-25,0.1958
"13",2020-11-27,0.1747
"14",2020-11-30,0.1868
"15",2020-12-01,0.1979
"16",2020-12-02,0.2139
"17",2020-12-03,0.2209
"18",2020-12-04,0.2065
"19",2020-12-07,0.1922
"20",2020-12-08,0.1991
"21",2020-12-09,0.2099
"22",2020-12-10,0.2008
"23",2020-12-11,0.196
"24",2020-12-14,0.1871
"25",2020-12-15,0.1744
"26",2020-12-16,0.1764
"27",2020-12-17,0.1803
"28",2020-12-18,0.1815
"29",2020-12-21,0.1889
"30",2020-12-22,0.1924
"31",2020-12-23,0.2009
"32",2020-12-24,0.2102
"33",2020-12-28,0.1999
"34",2020-12-29,0.1983
"35",2020-12-30,0.1977
"36",2020-12-31,0.1976
"37",2021-01-04,0.1927
"38",2021-01-05,0.1882
"39",2021-01-06,0.1887
"40",2021-01-07,0.1891
"41",2021-01-08,0.1889
"42",2021-01-11,0.187
"43",2021-01-12,0.1796
"44",2021-01-13,0.1777
"45",2021-01-14,0.1906
"46",2021-01-15,0.1843
"47",2021-01-19,0.179
"48",2021-01-20,0.1718
"49",2021-01-21,0.1648
"50",2021-01-22,0.1768
"51",2021-01-25,0.1842
"52",2021-01-26,0.1854
"53",2021-01-27,0.1803
"54",2021-01-28,0.1824
"55",2021-01-29,0.1823
"56",2021-02-01,0.1926
"57",2021-02-02,0.1808
"58",2021-02-03,0.1722
"59",2021-02-04,0.1792
"60",2021-02-05,0.1795
"61",2021-02-08,0.1787
"62",2021-02-09,0.1836
"63",2021-02-10,0.1843
"64",2021-02-11,0.1943
"65",2021-02-12,0.2004
"66",2021-02-16,0.1995
"67",2021-02-17,0.1971
"68",2021-02-18,0.198
"69",2021-02-19,0.2029
"70",2021-02-22,0.1947
"71",2021-02-23,0.1937
"72",2021-02-24,0.1821
"73",2021-02-25,0.1587
"74",2021-02-26,0.1591
"75",2021-03-01,0.1647
"76",2021-03-02,0.1766
"77",2021-03-03,0.1801
"78",2021-03-04,0.1769
"79",2021-03-05,0.1751
"80",2021-03-08,0.1897
"81",2021-03-09,0.2079
"82",2021-03-10,0.1993
"83",2021-03-11,0.1956
"84",2021-03-12,0.1967
"85",2021-03-15,0.19
"86",2021-03-16,0.1905
"87",2021-03-17,0.1938
"88",2021-03-18,0.19
"89",2021-03-19,0.1829
"90",2021-03-22,0.1742
"91",2021-03-23,0.1747
"92",2021-03-24,0.1831
"93",2021-03-25,0.1848
"94",2021-03-26,0.1872
"95",2021-03-29,0.1913
"96",2021-03-30,0.1917
"97",2021-03-31,0.1841
"98",2021-04-01,0.1881
"99",2021-04-05,0.1914
"100",2021-04-06,0.1968
"101",2021-04-07,0.1981
"102",2021-04-08,0.1921
"103",2021-04-09,0.178
"104",2021-04-12,0.1831
"105",2021-04-13,0.1891
"106",2021-04-14,0.1969
"107",2021-04-15,0.2041
"108",2021-04-16,0.2039
"109",2021-04-19,0.2039
"110",2021-04-20,0.2065
"111",2021-04-21,0.215
"112",2021-04-22,0.2098
"113",2021-04-23,0.2018
"114",2021-04-26,0.195
"115",2021-04-27,0.1915
"116",2021-04-28,0.1961
"117",2021-04-29,0.1995
"118",2021-04-30,0.1873
"119",2021-05-03,0.195
"120",2021-05-04,0.1983
"121",2021-05-05,0.1936
"122",2021-05-06,0.1999
"123",2021-05-07,0.1947
"124",2021-05-10,0.2043
"125",2021-05-11,0.2136
"126",2021-05-12,0.218
"127",2021-05-13,0.2124
"128",2021-05-14,0.2203
"129",2021-05-17,0.2233
"130",2021-05-18,0.2233
"131",2021-05-19,0.2253
"132",2021-05-20,0.2175
"133",2021-05-21,0.2026
"134",2021-05-24,0.1965
"135",2021-05-25,0.2005
"136",2021-05-26,0.215
"137",2021-05-27,0.2131
"138",2021-05-28,0.2065
"139",2021-06-01,0.2098
"140",2021-06-02,0.2245
"141",2021-06-03,0.2425
"142",2021-06-04,0.2417
"143",2021-06-07,0.2412
"144",2021-06-08,0.2466
"145",2021-06-09,0.2315
"146",2021-06-10,0.2249
"147",2021-06-11,0.2327
"148",2021-06-14,0.2318
"149",2021-06-15,0.2398
"150",2021-06-16,0.2395
"151",2021-06-17,0.2337
"152",2021-06-18,0.2351
"153",2021-06-21,0.2322
"154",2021-06-22,0.2325
"155",2021-06-23,0.2346
"156",2021-06-24,0.2324
