"","date","UNH"
"1",2019-06-10,0.0746
"2",2019-06-11,0.0882
"3",2019-06-12,0.1038
"4",2019-06-13,0.1009
"5",2019-06-14,0.0997
"6",2019-06-17,0.075
"7",2019-06-18,0.0729
"8",2019-06-19,0.0676
"9",2019-06-20,0.05
"10",2019-06-21,0.0483
"11",2019-06-24,0.053
"12",2019-06-25,0.055
"13",2019-06-26,0.06
"14",2019-06-27,0.0586
"15",2019-06-28,0.0599
"16",2019-07-01,0.0589
"17",2019-07-02,0.0629
"18",2019-07-03,0.0536
"19",2019-07-05,0.0475
"20",2019-07-08,0.0429
"21",2019-07-09,0.04
"22",2019-07-10,0.0396
"23",2019-07-11,0.0604
"24",2019-07-12,0.0647
"25",2019-07-15,0.0455
"26",2019-07-16,0.0428
"27",2019-07-17,0.0625
"28",2019-07-18,0.0663
"29",2019-07-19,0.0765
"30",2019-07-22,0.0794
"31",2019-07-23,0.0902
"32",2019-07-24,0.0956
"33",2019-07-25,0.0849
"34",2019-07-26,0.0691
"35",2019-07-29,0.0774
"36",2019-07-30,0.0725
"37",2019-07-31,0.0734
"38",2019-08-01,0.0838
"39",2019-08-02,0.0976
"40",2019-08-05,0.0842
"41",2019-08-06,0.089
"42",2019-08-07,0.0943
"43",2019-08-08,0.1215
"44",2019-08-09,0.1124
"45",2019-08-12,0.1059
"46",2019-08-13,0.1074
"47",2019-08-14,0.1044
"48",2019-08-15,0.11
"49",2019-08-16,0.0887
"50",2019-08-19,0.0748
"51",2019-08-20,0.0891
"52",2019-08-21,0.1077
"53",2019-08-22,0.1424
"54",2019-08-23,0.1219
"55",2019-08-26,0.1126
"56",2019-08-27,0.1184
"57",2019-08-28,0.1095
"58",2019-08-29,0.0919
"59",2019-08-30,0.102
"60",2019-09-03,0.1079
"61",2019-09-04,0.0815
"62",2019-09-05,0.0838
"63",2019-09-06,0.111
"64",2019-09-09,0.0979
"65",2019-09-10,0.0998
"66",2019-09-11,0.0901
"67",2019-09-12,0.0992
"68",2019-09-13,0.1063
"69",2019-09-16,0.0862
"70",2019-09-17,0.0729
"71",2019-09-18,0.0741
"72",2019-09-19,0.0774
"73",2019-09-20,0.0688
"74",2019-09-23,0.0681
"75",2019-09-24,0.0793
"76",2019-09-25,0.0835
"77",2019-09-26,0.0926
"78",2019-09-27,0.0883
"79",2019-09-30,0.1042
"80",2019-10-01,0.0966
"81",2019-10-02,0.0977
"82",2019-10-03,0.0978000000000001
"83",2019-10-04,0.1205
"84",2019-10-07,0.1212
"85",2019-10-08,0.1128
"86",2019-10-09,0.101
"87",2019-10-10,0.0968
"88",2019-10-11,0.0791
"89",2019-10-14,0.0486
"90",2019-10-15,0.0473
"91",2019-10-16,0.0557
"92",2019-10-17,0.0617
"93",2019-10-18,0.0689
"94",2019-10-21,0.0664
"95",2019-10-22,0.0613
"96",2019-10-23,0.0624
"97",2019-10-24,0.0641
"98",2019-10-25,0.0638
"99",2019-10-28,0.0579
"100",2019-10-29,0.0486
"101",2019-10-30,0.0482
"102",2019-10-31,0.0432
"103",2019-11-01,0.0507
"104",2019-11-04,0.0562
"105",2019-11-05,0.0567
"106",2019-11-06,0.0614
"107",2019-11-07,0.0747
"108",2019-11-08,0.0772
"109",2019-11-11,0.0731
"110",2019-11-12,0.0618
"111",2019-11-13,0.0619
"112",2019-11-14,0.0591
"113",2019-11-15,0.0525
"114",2019-11-18,0.0392
"115",2019-11-19,0.0394
"116",2019-11-20,0.0485
"117",2019-11-21,0.0553
"118",2019-11-22,0.051
"119",2019-11-25,0.0552
"120",2019-11-26,0.053
"121",2019-11-27,0.0552
"122",2019-11-29,0.0603
"123",2019-12-02,0.0618
"124",2019-12-03,0.0569
"125",2019-12-04,0.0437
"126",2019-12-05,0.0448
"127",2019-12-06,0.0583
"128",2019-12-09,0.0542
"129",2019-12-10,0.0533
"130",2019-12-11,0.0597
"131",2019-12-12,0.0628
"132",2019-12-13,0.0717
"133",2019-12-16,0.083
"134",2019-12-17,0.1062
"135",2019-12-18,0.1378
"136",2019-12-19,0.1407
"137",2019-12-20,0.1731
"138",2019-12-23,0.1558
"139",2019-12-24,0.1417
"140",2019-12-26,0.1381
"141",2019-12-27,0.1311
"142",2019-12-30,0.1394
"143",2019-12-31,0.1685
"144",2020-01-02,0.1952
"145",2020-01-03,0.1563
"146",2020-01-06,0.1434
"147",2020-01-07,0.1587
"148",2020-01-08,0.1415
"149",2020-01-09,0.1279
"150",2020-01-10,0.1216
"151",2020-01-13,0.1202
"152",2020-01-14,0.1128
"153",2020-01-15,0.1164
"154",2020-01-16,0.1
"155",2020-01-17,0.0912
"156",2020-01-21,0.1208
"157",2020-01-22,0.1267
"158",2020-01-23,0.129
"159",2020-01-24,0.1421
"160",2020-01-27,0.1467
"161",2020-01-28,0.1507
"162",2020-01-29,0.1811
"163",2020-01-30,0.1873
"164",2020-01-31,0.1987
"165",2020-02-03,0.1934
"166",2020-02-04,0.1975
"167",2020-02-05,0.2148
"168",2020-02-06,0.2188
"169",2020-02-07,0.2132
"170",2020-02-10,0.2112
"171",2020-02-11,0.2174
"172",2020-02-12,0.2584
"173",2020-02-13,0.2878
"174",2020-02-14,0.2799
"175",2020-02-18,0.2745
"176",2020-02-19,0.2682
"177",2020-02-20,0.266
"178",2020-02-21,0.2577
"179",2020-02-24,0.2736
"180",2020-02-25,0.2878
"181",2020-02-26,0.2883
"182",2020-02-27,0.3008
"183",2020-02-28,0.2976
"184",2020-03-02,0.3087
"185",2020-03-03,0.2977
"186",2020-03-04,0.352
"187",2020-03-05,0.361
"188",2020-03-06,0.3571
"189",2020-03-09,0.3555
"190",2020-03-10,0.3516
"191",2020-03-11,0.3577
"192",2020-03-12,0.4035
"193",2020-03-13,0.3876
"194",2020-03-16,0.4169
"195",2020-03-17,0.4213
"196",2020-03-18,0.447
"197",2020-03-19,0.452
"198",2020-03-20,0.4433
"199",2020-03-23,0.4453
"200",2020-03-24,0.4478
"201",2020-03-25,0.4611
"202",2020-03-26,0.5323
"203",2020-03-27,0.5312
"204",2020-03-30,0.5597
"205",2020-03-31,0.5278
"206",2020-04-01,0.5574
"207",2020-04-02,0.5469
"208",2020-04-03,0.5339
"209",2020-04-06,0.5242
"210",2020-04-07,0.5502
"211",2020-04-08,0.5848
"212",2020-04-09,0.622
"213",2020-04-13,0.5977
"214",2020-04-14,0.5921
"215",2020-04-15,0.5334
"216",2020-04-16,0.5713
"217",2020-04-17,0.5549
"218",2020-04-20,0.5399
"219",2020-04-21,0.5268
"220",2020-04-22,0.5542
"221",2020-04-23,0.5635
"222",2020-04-24,0.5771
"223",2020-04-27,0.5155
"224",2020-04-28,0.5423
"225",2020-04-29,0.5223
"226",2020-04-30,0.5459
"227",2020-05-01,0.5515
"228",2020-05-04,0.5414
"229",2020-05-05,0.482
"230",2020-05-06,0.4577
"231",2020-05-07,0.4493
"232",2020-05-08,0.4884
"233",2020-05-11,0.4525
"234",2020-05-12,0.4519
"235",2020-05-13,0.4347
"236",2020-05-14,0.432
"237",2020-05-15,0.4437
"238",2020-05-18,0.4403
"239",2020-05-19,0.4375
"240",2020-05-20,0.4401
"241",2020-05-21,0.426
"242",2020-05-22,0.4599
"243",2020-05-26,0.4392
"244",2020-05-27,0.4339
"245",2020-05-28,0.3532
"246",2020-05-29,0.3651
"247",2020-06-01,0.3516
"248",2020-06-02,0.3531
"249",2020-06-03,0.3584
"250",2020-06-04,0.3928
"251",2020-06-05,0.3788
"252",2020-06-08,0.4166
"253",2020-06-09,0.3714
"254",2020-06-10,0.3758
"255",2020-06-11,0.3324
"256",2020-06-12,0.3377
"257",2020-06-15,0.3376
"258",2020-06-16,0.3315
"259",2020-06-17,0.2943
"260",2020-06-18,0.329
"261",2020-06-19,0.3675
"262",2020-06-22,0.3994
"263",2020-06-23,0.4102
"264",2020-06-24,0.4022
"265",2020-06-25,0.3381
"266",2020-06-26,0.3466
"267",2020-06-29,0.3346
"268",2020-06-30,0.3429
"269",2020-07-01,0.3236
"270",2020-07-02,0.3277
"271",2020-07-06,0.336
"272",2020-07-07,0.3714
"273",2020-07-08,0.3307
"274",2020-07-09,0.3624
"275",2020-07-10,0.3533
"276",2020-07-13,0.4149
"277",2020-07-14,0.4072
"278",2020-07-15,0.3956
"279",2020-07-16,0.3818
"280",2020-07-17,0.3788
"281",2020-07-20,0.3799
"282",2020-07-21,0.4307
"283",2020-07-22,0.4012
"284",2020-07-23,0.4069
"285",2020-07-24,0.3714
"286",2020-07-27,0.4162
"287",2020-07-28,0.4014
"288",2020-07-29,0.402
"289",2020-07-30,0.3539
"290",2020-07-31,0.382
"291",2020-08-03,0.3939
"292",2020-08-04,0.4494
"293",2020-08-05,0.4143
"294",2020-08-06,0.4406
"295",2020-08-07,0.4014
"296",2020-08-10,0.4203
"297",2020-08-11,0.4457
"298",2020-08-12,0.4403
"299",2020-08-13,0.4308
"300",2020-08-14,0.4263
"301",2020-08-17,0.4036
"302",2020-08-18,0.4467
"303",2020-08-19,0.4018
"304",2020-08-20,0.4107
"305",2020-08-21,0.3724
"306",2020-08-24,0.3737
"307",2020-08-25,0.3826
"308",2020-08-26,0.3859
"309",2020-08-27,0.3892
"310",2020-08-28,0.4105
"311",2020-08-31,0.3984
"312",2020-09-01,0.4372
"313",2020-09-02,0.3465
"314",2020-09-03,0.3626
"315",2020-09-04,0.3223
"316",2020-09-08,0.352
"317",2020-09-09,0.3136
"318",2020-09-10,0.2883
"319",2020-09-11,0.2366
"320",2020-09-14,0.2301
"321",2020-09-15,0.2418
"322",2020-09-16,0.2757
"323",2020-09-17,0.2723
"324",2020-09-18,0.2884
"325",2020-09-21,0.2367
"326",2020-09-22,0.2538
"327",2020-09-23,0.2647
"328",2020-09-24,0.2601
"329",2020-09-25,0.232
"330",2020-09-28,0.26
"331",2020-09-29,0.2731
"332",2020-09-30,0.3022
"333",2020-10-01,0.2715
"334",2020-10-02,0.2762
"335",2020-10-05,0.2267
"336",2020-10-06,0.2653
"337",2020-10-07,0.2743
"338",2020-10-08,0.3086
"339",2020-10-09,0.2892
"340",2020-10-12,0.3117
"341",2020-10-13,0.3259
"342",2020-10-14,0.3556
"343",2020-10-15,0.2959
"344",2020-10-16,0.3009
"345",2020-10-19,0.2631
"346",2020-10-20,0.2926
"347",2020-10-21,0.2979
"348",2020-10-22,0.3175
"349",2020-10-23,0.2842
"350",2020-10-26,0.2712
"351",2020-10-27,0.2752
