"","date","V"
"1",2020-11-10,0.2069
"2",2020-11-11,0.2245
"3",2020-11-12,0.2235
"4",2020-11-13,0.2251
"5",2020-11-16,0.2208
"6",2020-11-17,0.2294
"7",2020-11-18,0.2181
"8",2020-11-19,0.2204
"9",2020-11-20,0.2092
"10",2020-11-23,0.213
"11",2020-11-24,0.2206
"12",2020-11-25,0.2246
"13",2020-11-27,0.1974
"14",2020-11-30,0.2068
"15",2020-12-01,0.209
"16",2020-12-02,0.2226
"17",2020-12-03,0.2209
"18",2020-12-04,0.2201
"19",2020-12-07,0.2042
"20",2020-12-08,0.2012
"21",2020-12-09,0.2024
"22",2020-12-10,0.1999
"23",2020-12-11,0.1922
"24",2020-12-14,0.2001
"25",2020-12-15,0.1869
"26",2020-12-16,0.1921
"27",2020-12-17,0.1927
"28",2020-12-18,0.1879
"29",2020-12-21,0.1901
"30",2020-12-22,0.1997
"31",2020-12-23,0.1985
"32",2020-12-24,0.2037
"33",2020-12-28,0.1964
"34",2020-12-29,0.2073
"35",2020-12-30,0.2073
"36",2020-12-31,0.2193
"37",2021-01-04,0.2153
"38",2021-01-05,0.2131
"39",2021-01-06,0.2065
"40",2021-01-07,0.2111
"41",2021-01-08,0.2186
"42",2021-01-11,0.2335
"43",2021-01-12,0.2244
"44",2021-01-13,0.231
"45",2021-01-14,0.2365
"46",2021-01-15,0.232
"47",2021-01-19,0.2155
"48",2021-01-20,0.2226
"49",2021-01-21,0.2032
"50",2021-01-22,0.2185
"51",2021-01-25,0.228
"52",2021-01-26,0.2261
"53",2021-01-27,0.211
"54",2021-01-28,0.2164
"55",2021-01-29,0.2144
"56",2021-02-01,0.2277
"57",2021-02-02,0.23
"58",2021-02-03,0.2385
"59",2021-02-04,0.2332
"60",2021-02-05,0.2359
"61",2021-02-08,0.2338
"62",2021-02-09,0.2353
"63",2021-02-10,0.2268
"64",2021-02-11,0.2261
"65",2021-02-12,0.2204
"66",2021-02-16,0.23
"67",2021-02-17,0.2237
"68",2021-02-18,0.2368
"69",2021-02-19,0.2285
"70",2021-02-22,0.224
"71",2021-02-23,0.2273
"72",2021-02-24,0.2291
"73",2021-02-25,0.2084
"74",2021-02-26,0.2109
"75",2021-03-01,0.2054
"76",2021-03-02,0.2186
"77",2021-03-03,0.2198
"78",2021-03-04,0.2223
"79",2021-03-05,0.2138
"80",2021-03-08,0.2131
"81",2021-03-09,0.2345
"82",2021-03-10,0.2431
"83",2021-03-11,0.2329
"84",2021-03-12,0.236
"85",2021-03-15,0.2269
"86",2021-03-16,0.2408
"87",2021-03-17,0.2455
"88",2021-03-18,0.243
"89",2021-03-19,0.2312
"90",2021-03-22,0.2403
"91",2021-03-23,0.2336
"92",2021-03-24,0.2357
"93",2021-03-25,0.224
"94",2021-03-26,0.2276
"95",2021-03-29,0.2235
"96",2021-03-30,0.2305
"97",2021-03-31,0.2123
"98",2021-04-01,0.2181
"99",2021-04-05,0.2249
"100",2021-04-06,0.2268
"101",2021-04-07,0.2338
"102",2021-04-08,0.239
"103",2021-04-09,0.2266
"104",2021-04-12,0.2346
"105",2021-04-13,0.2389
"106",2021-04-14,0.2508
"107",2021-04-15,0.2511
"108",2021-04-16,0.2474
"109",2021-04-19,0.2297
"110",2021-04-20,0.2344
"111",2021-04-21,0.23
"112",2021-04-22,0.238
"113",2021-04-23,0.2255
"114",2021-04-26,0.2332
"115",2021-04-27,0.2264
"116",2021-04-28,0.2253
"117",2021-04-29,0.2235
"118",2021-04-30,0.2198
"119",2021-05-03,0.2115
"120",2021-05-04,0.23
"121",2021-05-05,0.2327
"122",2021-05-06,0.2421
"123",2021-05-07,0.2385
"124",2021-05-10,0.2338
"125",2021-05-11,0.2264
"126",2021-05-12,0.2282
"127",2021-05-13,0.2277
"128",2021-05-14,0.2268
"129",2021-05-17,0.2335
"130",2021-05-18,0.2323
"131",2021-05-19,0.2404
"132",2021-05-20,0.2486
"133",2021-05-21,0.2316
"134",2021-05-24,0.2317
"135",2021-05-25,0.2224
"136",2021-05-26,0.2295
"137",2021-05-27,0.2179
"138",2021-05-28,0.2193
"139",2021-06-01,0.1983
"140",2021-06-02,0.2037
"141",2021-06-03,0.2144
"142",2021-06-04,0.2254
"143",2021-06-07,0.2219
"144",2021-06-08,0.2412
"145",2021-06-09,0.2349
"146",2021-06-10,0.257
"147",2021-06-11,0.2544
"148",2021-06-14,0.2488
"149",2021-06-15,0.2407
"150",2021-06-16,0.2327
"151",2021-06-17,0.2335
"152",2021-06-18,0.2251
"153",2021-06-21,0.2159
"154",2021-06-22,0.215
"155",2021-06-23,0.2159
"156",2021-06-24,0.2229
"157",2021-06-25,0.2189
"158",2021-06-28,0.2237
"159",2021-06-29,0.2231
"160",2021-06-30,0.2231
"161",2021-07-01,0.2308
"162",2021-07-02,0.238
"163",2021-07-06,0.2248
"164",2021-07-07,0.2335
"165",2021-07-08,0.2381
"166",2021-07-09,0.2455
"167",2021-07-12,0.2434
"168",2021-07-13,0.242
"169",2021-07-14,0.2267
"170",2021-07-15,0.2351
"171",2021-07-16,0.2586
"172",2021-07-19,0.2639
"173",2021-07-20,0.2504
"174",2021-07-21,0.2538
"175",2021-07-22,0.2417
"176",2021-07-23,0.2474
"177",2021-07-26,0.2495
"178",2021-07-27,0.2535
"179",2021-07-28,0.2486
"180",2021-07-29,0.2559
"181",2021-07-30,0.2531
"182",2021-08-02,0.2561
"183",2021-08-03,0.263
"184",2021-08-04,0.2754
"185",2021-08-05,0.2773
"186",2021-08-06,0.2869
"187",2021-08-09,0.2867
"188",2021-08-10,0.2866
"189",2021-08-11,0.2833
"190",2021-08-12,0.2792
"191",2021-08-13,0.2766
"192",2021-08-16,0.2826
"193",2021-08-17,0.2678
"194",2021-08-18,0.2785
"195",2021-08-19,0.2804
"196",2021-08-20,0.2885
"197",2021-08-23,0.2939
"198",2021-08-24,0.2961
"199",2021-08-25,0.2845
"200",2021-08-26,0.2856
"201",2021-08-27,0.2944
"202",2021-08-30,0.3021
"203",2021-08-31,0.2983
"204",2021-09-01,0.306
"205",2021-09-02,0.2987
"206",2021-09-03,0.3031
"207",2021-09-07,0.296
"208",2021-09-08,0.2882
"209",2021-09-09,0.2846
"210",2021-09-10,0.2915
"211",2021-09-13,0.3057
"212",2021-09-14,0.3077
"213",2021-09-15,0.2984
"214",2021-09-16,0.2947
"215",2021-09-17,0.2871
"216",2021-09-20,0.3021
"217",2021-09-21,0.2867
"218",2021-09-22,0.2851
"219",2021-09-23,0.2855
"220",2021-09-24,0.2851
"221",2021-09-27,0.2873
"222",2021-09-28,0.2915
"223",2021-09-29,0.2669
"224",2021-09-30,0.2762
"225",2021-10-01,0.2819
"226",2021-10-04,0.2888
"227",2021-10-05,0.287
"228",2021-10-06,0.2842
"229",2021-10-07,0.2666
"230",2021-10-08,0.2579
"231",2021-10-11,0.2669
"232",2021-10-12,0.2615
"233",2021-10-13,0.23
"234",2021-10-14,0.2282
"235",2021-10-15,0.2155
"236",2021-10-18,0.2152
"237",2021-10-19,0.2121
"238",2021-10-20,0.2082
"239",2021-10-21,0.2074
"240",2021-10-22,0.2056
"241",2021-10-25,0.2107
"242",2021-10-26,0.2184
"243",2021-10-27,0.2119
"244",2021-10-28,0.2162
"245",2021-10-29,0.2036
"246",2021-11-01,0.1976
"247",2021-11-02,0.1622
"248",2021-11-03,0.1678
"249",2021-11-04,0.1672
"250",2021-11-05,0.174
"251",2021-11-08,0.172
"252",2021-11-09,0.178
"253",2021-11-10,0.1571
"254",2021-11-11,0.1632
"255",2021-11-12,0.1736
"256",2021-11-15,0.183
"257",2021-11-16,0.1879
"258",2021-11-17,0.197
"259",2021-11-18,0.1875
"260",2021-11-19,0.1893
"261",2021-11-22,0.2078
"262",2021-11-23,0.2145
"263",2021-11-24,0.2167
"264",2021-11-26,0.224
"265",2021-11-29,0.2096
"266",2021-11-30,0.2182
"267",2021-12-01,0.2137
"268",2021-12-02,0.2132
"269",2021-12-03,0.2036
"270",2021-12-06,0.2067
"271",2021-12-07,0.2092
"272",2021-12-08,0.2157
"273",2021-12-09,0.2072
"274",2021-12-10,0.2176
"275",2021-12-13,0.2283
"276",2021-12-14,0.2462
"277",2021-12-15,0.24
"278",2021-12-16,0.2257
"279",2021-12-17,0.2197
"280",2021-12-20,0.2129
"281",2021-12-21,0.216
"282",2021-12-22,0.2185
"283",2021-12-23,0.2132
"284",2021-12-27,0.2173
"285",2021-12-28,0.2225
"286",2021-12-29,0.2274
"287",2021-12-30,0.2206
"288",2021-12-31,0.2253
"289",2022-01-03,0.2144
"290",2022-01-04,0.2177
"291",2022-01-05,0.2288
"292",2022-01-06,0.241
"293",2022-01-07,0.2283
"294",2022-01-10,0.2322
"295",2022-01-11,0.2237
"296",2022-01-12,0.2348
"297",2022-01-13,0.2494
"298",2022-01-14,0.2443
"299",2022-01-18,0.2374
"300",2022-01-19,0.24
"301",2022-01-20,0.237
"302",2022-01-21,0.2487
"303",2022-01-24,0.2452
"304",2022-01-25,0.2479
"305",2022-01-26,0.2414
"306",2022-01-27,0.2535
"307",2022-01-28,0.2536
"308",2022-01-31,0.2598
"309",2022-02-01,0.2602
"310",2022-02-02,0.26
"311",2022-02-03,0.27
"312",2022-02-04,0.2623
"313",2022-02-07,0.2379
"314",2022-02-08,0.2478
"315",2022-02-09,0.2543
"316",2022-02-10,0.2524
"317",2022-02-11,0.2344
"318",2022-02-14,0.2281
"319",2022-02-15,0.2132
"320",2022-02-16,0.2139
"321",2022-02-17,0.2235
"322",2022-02-18,0.227
"323",2022-02-22,0.2235
"324",2022-02-23,0.2249
"325",2022-02-24,0.2154
"326",2022-02-25,0.2186
"327",2022-02-28,0.2196
"328",2022-03-01,0.2227
"329",2022-03-02,0.2115
"330",2022-03-03,0.2129
"331",2022-03-04,0.2146
"332",2022-03-07,0.217
"333",2022-03-08,0.2095
"334",2022-03-09,0.2065
"335",2022-03-10,0.2015
"336",2022-03-11,0.2145
"337",2022-03-14,0.215
"338",2022-03-15,0.2164
"339",2022-03-16,0.2151
"340",2022-03-17,0.218
"341",2022-03-18,0.2218
"342",2022-03-21,0.2219
"343",2022-03-22,0.2047
"344",2022-03-23,0.208
"345",2022-03-24,0.1996
"346",2022-03-25,0.2073
"347",2022-03-28,0.2112
"348",2022-03-29,0.218
"349",2022-03-30,0.2074
"350",2022-03-31,0.1952
"351",2022-04-01,0.2006
"352",2022-04-04,0.2092
"353",2022-04-05,0.2013
"354",2022-04-06,0.2158
"355",2022-04-07,0.2063
"356",2022-04-08,0.2127
"357",2022-04-11,0.2121
"358",2022-04-12,0.211
"359",2022-04-13,0.207
"360",2022-04-14,0.2139
"361",2022-04-18,0.2154
"362",2022-04-19,0.2253
"363",2022-04-20,0.2221
"364",2022-04-21,0.2228
"365",2022-04-22,0.2274
"366",2022-04-25,0.233
"367",2022-04-26,0.2399
"368",2022-04-27,0.2416
"369",2022-04-28,0.2463
"370",2022-04-29,0.2522
"371",2022-05-02,0.2642
"372",2022-05-03,0.2694
"373",2022-05-04,0.259
"374",2022-05-05,0.2723
"375",2022-05-06,0.2747
"376",2022-05-09,0.2836
"377",2022-05-10,0.2705
"378",2022-05-11,0.2763
"379",2022-05-12,0.2746
"380",2022-05-13,0.2839
"381",2022-05-16,0.2956
"382",2022-05-17,0.307
"383",2022-05-18,0.2976
"384",2022-05-19,0.3047
"385",2022-05-20,0.2957
"386",2022-05-23,0.3047
"387",2022-05-24,0.3113
"388",2022-05-25,0.3113
"389",2022-05-26,0.3012
"390",2022-05-27,0.2943
"391",2022-05-31,0.2967
"392",2022-06-01,0.3121
"393",2022-06-02,0.3128
"394",2022-06-03,0.3136
"395",2022-06-06,0.3091
"396",2022-06-07,0.3169
"397",2022-06-08,0.3122
"398",2022-06-09,0.3143
"399",2022-06-10,0.3057
"400",2022-06-13,0.3081
"401",2022-06-14,0.3086
"402",2022-06-15,0.3145
"403",2022-06-16,0.3049
"404",2022-06-17,0.314
"405",2022-06-21,0.3098
"406",2022-06-22,0.3211
"407",2022-06-23,0.3203
"408",2022-06-24,0.3171
"409",2022-06-27,0.3095
"410",2022-06-28,0.3057
"411",2022-06-29,0.311
"412",2022-06-30,0.315
"413",2022-07-01,0.3032
"414",2022-07-05,0.3095
"415",2022-07-06,0.2975
"416",2022-07-07,0.3007
"417",2022-07-08,0.3054
"418",2022-07-11,0.3108
"419",2022-07-12,0.3056
"420",2022-07-13,0.3041
"421",2022-07-14,0.3017
"422",2022-07-15,0.3013
"423",2022-07-18,0.2969
"424",2022-07-19,0.3077
"425",2022-07-20,0.3007
"426",2022-07-21,0.3135
"427",2022-07-22,0.3056
"428",2022-07-25,0.3077
"429",2022-07-26,0.302
"430",2022-07-27,0.3014
"431",2022-07-28,0.3064
"432",2022-07-29,0.3098
"433",2022-08-01,0.2907
"434",2022-08-02,0.2916
"435",2022-08-03,0.2909
"436",2022-08-04,0.2973
"437",2022-08-05,0.2986
"438",2022-08-08,0.2901
"439",2022-08-09,0.2868
"440",2022-08-10,0.2862
"441",2022-08-11,0.2897
"442",2022-08-12,0.2949
"443",2022-08-15,0.291
"444",2022-08-16,0.2975
"445",2022-08-17,0.2869
"446",2022-08-18,0.2863
"447",2022-08-19,0.2804
"448",2022-08-22,0.2802
"449",2022-08-23,0.2716
"450",2022-08-24,0.2719
"451",2022-08-25,0.2722
"452",2022-08-26,0.2801
"453",2022-08-29,0.2738
"454",2022-08-30,0.2682
"455",2022-08-31,0.2665
"456",2022-09-01,0.2994
"457",2022-09-02,0.2984
"458",2022-09-06,0.2946
"459",2022-09-07,0.2942
"460",2022-09-08,0.2861
"461",2022-09-09,0.2821
"462",2022-09-12,0.2802
"463",2022-09-13,0.2804
"464",2022-09-14,0.2822
"465",2022-09-15,0.2828
"466",2022-09-16,0.2859
"467",2022-09-19,0.2783
"468",2022-09-20,0.2743
"469",2022-09-21,0.2646
"470",2022-09-22,0.2559
"471",2022-09-23,0.2537
"472",2022-09-26,0.2569
"473",2022-09-27,0.2382
"474",2022-09-28,0.2339
"475",2022-09-29,0.2276
"476",2022-09-30,0.2284
"477",2022-10-03,0.2282
"478",2022-10-04,0.2275
"479",2022-10-05,0.219
"480",2022-10-06,0.2126
"481",2022-10-07,0.2202
"482",2022-10-10,0.2496
"483",2022-10-11,0.2485
"484",2022-10-12,0.2459
"485",2022-10-13,0.2337
"486",2022-10-14,0.2333
"487",2022-10-17,0.2249
"488",2022-10-18,0.22
"489",2022-10-19,0.211
"490",2022-10-20,0.2071
"491",2022-10-21,0.2176
"492",2022-10-24,0.2136
"493",2022-10-25,0.1996
"494",2022-10-26,0.1959
"495",2022-10-27,0.1953
"496",2022-10-28,0.198
"497",2022-10-31,0.1921
"498",2022-11-01,0.1853
"499",2022-11-02,0.1699
"500",2022-11-03,0.1669
"501",2022-11-04,0.1776
"502",2022-11-07,0.1844
"503",2022-11-08,0.1744
"504",2022-11-09,0.1809
"505",2022-11-10,0.1762
"506",2022-11-11,0.1714
"507",2022-11-14,0.1691
"508",2022-11-15,0.1737
"509",2022-11-16,0.168
"510",2022-11-17,0.1645
"511",2022-11-18,0.1619
"512",2022-11-21,0.1632
"513",2022-11-22,0.1652
"514",2022-11-23,0.1623
"515",2022-11-25,0.1608
"516",2022-11-28,0.1773
"517",2022-11-29,0.1813
"518",2022-11-30,0.1852
"519",2022-12-01,0.1884
"520",2022-12-02,0.1822
"521",2022-12-05,0.1818
"522",2022-12-06,0.1901
"523",2022-12-07,0.2009
"524",2022-12-08,0.206
"525",2022-12-09,0.2067
"526",2022-12-12,0.218
"527",2022-12-13,0.2247
"528",2022-12-14,0.2349
"529",2022-12-15,0.2343
"530",2022-12-16,0.2409
"531",2022-12-19,0.2517
"532",2022-12-20,0.2678
"533",2022-12-21,0.2683
"534",2022-12-22,0.2757
"535",2022-12-23,0.2962
"536",2022-12-27,0.3233
"537",2022-12-28,0.3401
"538",2022-12-29,0.3545
"539",2022-12-30,0.3549
"540",2023-01-03,0.3569
"541",2023-01-04,0.3615
"542",2023-01-05,0.3654
"543",2023-01-06,0.3691
"544",2023-01-09,0.3741
"545",2023-01-10,0.3717
"546",2023-01-11,0.3754
"547",2023-01-12,0.3761
"548",2023-01-13,0.3634
"549",2023-01-17,0.3677
"550",2023-01-18,0.3422
"551",2023-01-19,0.3267
"552",2023-01-20,0.3294
"553",2023-01-23,0.291
"554",2023-01-24,0.2852
"555",2023-01-25,0.2819
"556",2023-01-26,0.2979
"557",2023-01-27,0.3003
"558",2023-01-30,0.3061
"559",2023-01-31,0.281
"560",2023-02-01,0.2812
"561",2023-02-02,0.2788
"562",2023-02-03,0.2644
"563",2023-02-06,0.2642
"564",2023-02-07,0.2617
"565",2023-02-08,0.2615
"566",2023-02-09,0.2594
"567",2023-02-10,0.2602
"568",2023-02-13,0.2622
"569",2023-02-14,0.2681
"570",2023-02-15,0.2646
"571",2023-02-16,0.2575
"572",2023-02-17,0.2513
"573",2023-02-21,0.251
"574",2023-02-22,0.2585
"575",2023-02-23,0.2604
