date,Ticker,deltaH
2019-06-10,V,0.2642
2019-06-11,V,0.2685
2019-06-12,V,0.2751
2019-06-13,V,0.2732
2019-06-14,V,0.2713
2019-06-17,V,0.277
2019-06-18,V,0.2684
2019-06-19,V,0.2739
2019-06-20,V,0.2758
2019-06-21,V,0.2589
2019-06-24,V,0.2537
2019-06-25,V,0.2301
2019-06-26,V,0.1979
2019-06-27,V,0.2205
2019-06-28,V,0.2267
2019-07-01,V,0.2435
2019-07-02,V,0.2498
2019-07-03,V,0.2671
2019-07-05,V,0.2604
2019-07-08,V,0.271
2019-07-09,V,0.2765
2019-07-10,V,0.2544
2019-07-11,V,0.2401
2019-07-12,V,0.235
2019-07-15,V,0.2373
2019-07-16,V,0.2639
2019-07-17,V,0.2668
2019-07-18,V,0.2629
2019-07-19,V,0.2554
2019-07-22,V,0.2637
2019-07-23,V,0.2539
2019-07-24,V,0.2398
2019-07-25,V,0.2327
2019-07-26,V,0.2326
2019-07-29,V,0.2425
2019-07-30,V,0.2504
2019-07-31,V,0.2304
2019-08-01,V,0.2481
2019-08-02,V,0.2453
2019-08-05,V,0.2636
2019-08-06,V,0.2769
2019-08-07,V,0.2784
2019-08-08,V,0.2719
2019-08-09,V,0.2826
2019-08-12,V,0.2796
2019-08-13,V,0.2782
2019-08-14,V,0.2701
2019-08-15,V,0.2799
2019-08-16,V,0.2513
2019-08-19,V,0.2708
2019-08-20,V,0.2911
2019-08-21,V,0.2742
2019-08-22,V,0.2641
2019-08-23,V,0.2548
2019-08-26,V,0.2554
2019-08-27,V,0.2802
2019-08-28,V,0.2762
2019-08-29,V,0.2918
2019-08-30,V,0.2936
2019-09-03,V,0.2879
2019-09-04,V,0.2743
2019-09-05,V,0.2685
2019-09-06,V,0.2685
2019-09-09,V,0.2747
2019-09-10,V,0.2667
2019-09-11,V,0.2659
2019-09-12,V,0.242
2019-09-13,V,0.2691
2019-09-16,V,0.2713
2019-09-17,V,0.2827
2019-09-18,V,0.2872
2019-09-19,V,0.2836
2019-09-20,V,0.2635
2019-09-23,V,0.2652
2019-09-24,V,0.2634
2019-09-25,V,0.2738
2019-09-26,V,0.2693
2019-09-27,V,0.2602
2019-09-30,V,0.2298
2019-10-01,V,0.2415
2019-10-02,V,0.2638
2019-10-03,V,0.2628
2019-10-04,V,0.2508
2019-10-07,V,0.2509
2019-10-08,V,0.2383
2019-10-09,V,0.2737
2019-10-10,V,0.2713
2019-10-11,V,0.2794
2019-10-14,V,0.2594
2019-10-15,V,0.273
2019-10-16,V,0.2787
2019-10-17,V,0.2671
2019-10-18,V,0.242
2019-10-21,V,0.2504
2019-10-22,V,0.2591
2019-10-23,V,0.2658
2019-10-24,V,0.238
2019-10-25,V,0.2564
2019-10-28,V,0.2612
2019-10-29,V,0.2594
2019-10-30,V,0.2513
2019-10-31,V,0.2556
2019-11-01,V,0.2396
2019-11-04,V,0.2442
2019-11-05,V,0.2594
2019-11-06,V,0.2809
2019-11-07,V,0.284
2019-11-08,V,0.2831
2019-11-11,V,0.2584
2019-11-12,V,0.2733
2019-11-13,V,0.2763
2019-11-14,V,0.2695
2019-11-15,V,0.26
2019-11-18,V,0.2563
2019-11-19,V,0.2369
2019-11-20,V,0.2516
2019-11-21,V,0.2462
2019-11-22,V,0.2633
2019-11-25,V,0.2715
2019-11-26,V,0.2828
2019-11-27,V,0.2847
2019-11-29,V,0.273
2019-12-02,V,0.2642
2019-12-03,V,0.266
2019-12-04,V,0.2491
2019-12-05,V,0.2427
2019-12-06,V,0.2164
2019-12-09,V,0.2322
2019-12-10,V,0.2436
2019-12-11,V,0.2575
2019-12-12,V,0.2695
2019-12-13,V,0.2686
2019-12-16,V,0.2499
2019-12-17,V,0.2565
2019-12-18,V,0.2664
2019-12-19,V,0.2754
2019-12-20,V,0.2505
2019-12-23,V,0.2453
2019-12-24,V,0.2369
2019-12-26,V,0.2552
2019-12-27,V,0.268
2019-12-30,V,0.26
2019-12-31,V,0.2529
2020-01-02,V,0.2602
2020-01-03,V,0.2516
2020-01-06,V,0.3043
2020-01-07,V,0.3068
2020-01-08,V,0.3059
2020-01-09,V,0.293
