"","date","ABEV3"
"1",2021-09-01,0.1629
"2",2021-09-02,0.1678
"3",2021-09-03,0.1692
"4",2021-09-06,0.161
"5",2021-09-08,0.1544
"6",2021-09-09,0.1679
"7",2021-09-10,0.1569
"8",2021-09-13,0.1556
"9",2021-09-14,0.1629
"10",2021-09-15,0.1584
"11",2021-09-16,0.161
"12",2021-09-17,0.1575
"13",2021-09-20,0.164
"14",2021-09-21,0.1642
"15",2021-09-22,0.1658
"16",2021-09-23,0.1685
"17",2021-09-24,0.1638
"18",2021-09-27,0.1604
"19",2021-09-28,0.146
"20",2021-09-29,0.1639
"21",2021-09-30,0.1706
"22",2021-10-01,0.1716
"23",2021-10-04,0.1693
"24",2021-10-05,0.1633
"25",2021-10-06,0.1595
"26",2021-10-07,0.1818
"27",2021-10-08,0.1868
"28",2021-10-11,0.186
"29",2021-10-13,0.1792
"30",2021-10-14,0.1776
"31",2021-10-15,0.1763
"32",2021-10-18,0.177
"33",2021-10-19,0.1864
"34",2021-10-20,0.1831
"35",2021-10-21,0.1764
"36",2021-10-22,0.1927
"37",2021-10-25,0.1882
"38",2021-10-26,0.1912
"39",2021-10-27,0.1882
"40",2021-10-28,0.1826
"41",2021-10-29,0.1891
"42",2021-11-01,0.1901
"43",2021-11-03,0.2009
"44",2021-11-04,0.2032
"45",2021-11-05,0.2055
"46",2021-11-08,0.2055
"47",2021-11-09,0.1952
"48",2021-11-10,0.2044
"49",2021-11-11,0.1981
"50",2021-11-12,0.2031
"51",2021-11-16,0.2083
"52",2021-11-17,0.2069
"53",2021-11-18,0.2075
"54",2021-11-19,0.2085
"55",2021-11-22,0.1912
"56",2021-11-23,0.1936
"57",2021-11-24,0.1886
"58",2021-11-25,0.191
"59",2021-11-26,0.1803
"60",2021-11-29,0.1808
"61",2021-11-30,0.1797
"62",2021-12-01,0.1916
"63",2021-12-02,0.1971
"64",2021-12-03,0.1892
"65",2021-12-06,0.1836
"66",2021-12-07,0.1853
"67",2021-12-08,0.1743
"68",2021-12-09,0.1824
"69",2021-12-10,0.1796
"70",2021-12-13,0.1795
"71",2021-12-14,0.182
"72",2021-12-15,0.1948
"73",2021-12-16,0.2002
"74",2021-12-17,0.1893
"75",2021-12-20,0.185
"76",2021-12-21,0.1954
"77",2021-12-22,0.1955
"78",2021-12-23,0.2037
"79",2021-12-27,0.1977
"80",2021-12-28,0.2064
"81",2021-12-29,0.2142
"82",2021-12-30,0.2131
"83",2022-01-03,0.2058
"84",2022-01-04,0.1962
"85",2022-01-05,0.173
"86",2022-01-06,0.1855
"87",2022-01-07,0.1833
"88",2022-01-10,0.177
"89",2022-01-11,0.1662
"90",2022-01-12,0.1678
"91",2022-01-13,0.1514
"92",2022-01-14,0.1545
"93",2022-01-17,0.1533
"94",2022-01-18,0.1487
"95",2022-01-19,0.1359
"96",2022-01-20,0.1466
"97",2022-01-21,0.1374
"98",2022-01-24,0.1407
"99",2022-01-25,0.1342
"100",2022-01-26,0.131
"101",2022-01-27,0.1282
"102",2022-01-28,0.1372
"103",2022-01-31,0.1335
"104",2022-02-01,0.1366
"105",2022-02-02,0.1339
"106",2022-02-03,0.1444
"107",2022-02-04,0.1327
"108",2022-02-07,0.1378
"109",2022-02-08,0.1345
"110",2022-02-09,0.1392
"111",2022-02-10,0.1539
"112",2022-02-11,0.1486
"113",2022-02-14,0.1501
"114",2022-02-15,0.1524
"115",2022-02-16,0.1448
"116",2022-02-17,0.1601
"117",2022-02-18,0.1567
"118",2022-02-21,0.1659
"119",2022-02-22,0.1603
"120",2022-02-23,0.1653
"121",2022-02-24,0.1544
"122",2022-02-25,0.1561
"123",2022-03-02,0.1472
"124",2022-03-03,0.1478
"125",2022-03-04,0.1504
"126",2022-03-07,0.1631
"127",2022-03-08,0.1552
"128",2022-03-09,0.1646
"129",2022-03-10,0.1542
"130",2022-03-11,0.1498
"131",2022-03-14,0.1551
"132",2022-03-15,0.1683
"133",2022-03-16,0.1593
"134",2022-03-17,0.1568
"135",2022-03-18,0.1588
"136",2022-03-21,0.1656
"137",2022-03-22,0.1598
"138",2022-03-23,0.1612
"139",2022-03-24,0.151
"140",2022-03-25,0.1551
"141",2022-03-28,0.1655
"142",2022-03-29,0.1761
"143",2022-03-30,0.1659
"144",2022-03-31,0.1579
"145",2022-04-01,0.1449
"146",2022-04-04,0.1617
"147",2022-04-05,0.165
"148",2022-04-06,0.1756
"149",2022-04-07,0.1699
"150",2022-04-08,0.1774
"151",2022-04-11,0.1773
"152",2022-04-12,0.1901
"153",2022-04-13,0.2161
"154",2022-04-14,0.2023
"155",2022-04-18,0.1865
"156",2022-04-19,0.1853
"157",2022-04-20,0.1727
"158",2022-04-22,0.1814
"159",2022-04-25,0.1689
"160",2022-04-26,0.1633
"161",2022-04-27,0.1579
"162",2022-04-28,0.1647
"163",2022-04-29,0.1614
"164",2022-05-02,0.1702
"165",2022-05-03,0.1568
"166",2022-05-04,0.1673
"167",2022-05-05,0.1575
"168",2022-05-06,0.164
"169",2022-05-09,0.1643
"170",2022-05-10,0.1771
"171",2022-05-11,0.1883
"172",2022-05-12,0.1922
"173",2022-05-13,0.1834
"174",2022-05-16,0.1906
"175",2022-05-17,0.179
"176",2022-05-18,0.1944
"177",2022-05-19,0.1897
"178",2022-05-20,0.1944
"179",2022-05-23,0.1943
"180",2022-05-24,0.2118
"181",2022-05-25,0.2052
"182",2022-05-26,0.2094
"183",2022-05-27,0.2033
"184",2022-05-30,0.2026
"185",2022-05-31,0.2026
"186",2022-06-01,0.2286
"187",2022-06-02,0.2212
"188",2022-06-03,0.235
"189",2022-06-06,0.2248
"190",2022-06-07,0.2292
"191",2022-06-08,0.2362
"192",2022-06-09,0.2392
"193",2022-06-10,0.2311
"194",2022-06-13,0.2239
"195",2022-06-14,0.2125
"196",2022-06-15,0.2211
"197",2022-06-17,0.2126
"198",2022-06-20,0.214
"199",2022-06-21,0.2084
"200",2022-06-22,0.2166
"201",2022-06-23,0.2199
"202",2022-06-24,0.2374
"203",2022-06-27,0.2311
"204",2022-06-28,0.2339
"205",2022-06-29,0.2138
"206",2022-06-30,0.2261
"207",2022-07-01,0.2204
"208",2022-07-04,0.2207
"209",2022-07-05,0.2104
"210",2022-07-06,0.2102
"211",2022-07-07,0.206
"212",2022-07-08,0.2158
"213",2022-07-11,0.2155
"214",2022-07-12,0.2126
"215",2022-07-13,0.2077
"216",2022-07-14,0.2231
"217",2022-07-15,0.2069
"218",2022-07-18,0.2242
"219",2022-07-19,0.2202
"220",2022-07-20,0.2098
"221",2022-07-21,0.2099
"222",2022-07-22,0.2216
"223",2022-07-25,0.2293
"224",2022-07-26,0.2281
"225",2022-07-27,0.2201
"226",2022-07-28,0.2268
"227",2022-07-29,0.2128
"228",2022-08-01,0.2169
"229",2022-08-02,0.207
"230",2022-08-03,0.2229
"231",2022-08-04,0.2182
"232",2022-08-05,0.2227
"233",2022-08-08,0.2108
"234",2022-08-09,0.2079
"235",2022-08-10,0.1979
"236",2022-08-11,0.219
"237",2022-08-12,0.213
"238",2022-08-15,0.2124
"239",2022-08-16,0.1993
"240",2022-08-17,0.2023
"241",2022-08-18,0.2034
"242",2022-08-19,0.2084
"243",2022-08-22,0.1927
"244",2022-08-23,0.1863
"245",2022-08-24,0.1742
"246",2022-08-25,0.1918
"247",2022-08-26,0.1785
"248",2022-08-29,0.1846
"249",2022-08-30,0.1774
"250",2022-08-31,0.1719
"251",2022-09-01,0.1786
"252",2022-09-02,0.188
"253",2022-09-05,0.1764
"254",2022-09-06,0.1772
"255",2022-09-08,0.169
"256",2022-09-09,0.1724
"257",2022-09-12,0.1645
"258",2022-09-13,0.1733
"259",2022-09-14,0.1575
"260",2022-09-15,0.1613
"261",2022-09-16,0.1558
"262",2022-09-19,0.1618
"263",2022-09-20,0.1563
"264",2022-09-21,0.1774
"265",2022-09-22,0.1636
"266",2022-09-23,0.1751
"267",2022-09-26,0.1734
"268",2022-09-27,0.1901
"269",2022-09-28,0.1815
"270",2022-09-29,0.1866
"271",2022-09-30,0.1875
"272",2022-10-03,0.1926
"273",2022-10-04,0.1788
"274",2022-10-05,0.1826
"275",2022-10-06,0.1704
"276",2022-10-07,0.1797
"277",2022-10-10,0.1544
"278",2022-10-11,0.158
"279",2022-10-13,0.1507
"280",2022-10-14,0.1371
"281",2022-10-17,0.1404
"282",2022-10-18,0.1557
"283",2022-10-19,0.1435
"284",2022-10-20,0.1467
"285",2022-10-21,0.1417
"286",2022-10-24,0.15
"287",2022-10-25,0.1341
"288",2022-10-26,0.1307
"289",2022-10-27,0.1146
"290",2022-10-28,0.1147
"291",2022-10-31,0.115
"292",2022-11-01,0.1091
"293",2022-11-03,0.1006
"294",2022-11-04,0.0925
"295",2022-11-07,0.0814
"296",2022-11-08,0.0992
"297",2022-11-09,0.0962
"298",2022-11-10,0.0991000000000001
"299",2022-11-11,0.0716
"300",2022-11-14,0.0750999999999999
"301",2022-11-16,0.0692
"302",2022-11-17,0.0734
"303",2022-11-18,0.0570000000000001
"304",2022-11-21,0.0523
"305",2022-11-22,0.0402
"306",2022-11-23,0.0551
"307",2022-11-24,0.0584
"308",2022-11-25,0.0569
"309",2022-11-28,0.0460999999999999
"310",2022-11-29,0.0413
"311",2022-11-30,0.0384
"312",2022-12-01,0.0374
"313",2022-12-02,0.0335
"314",2022-12-05,0.0365
"315",2022-12-06,0.0335
"316",2022-12-07,0.0364
"317",2022-12-08,0.0371
"318",2022-12-09,0.0461
"319",2022-12-12,0.0473
"320",2022-12-13,0.0563
"321",2022-12-14,0.0568
"322",2022-12-15,0.0529000000000001
"323",2022-12-16,0.0556000000000001
"324",2022-12-19,0.0621
"325",2022-12-20,0.042
"326",2022-12-21,0.0603
"327",2022-12-22,0.0603
"328",2022-12-23,0.0780999999999999
"329",2022-12-26,0.0759000000000001
"330",2022-12-27,0.0909
"331",2022-12-28,0.0906999999999999
"332",2022-12-29,0.1057
