"","date","ALPA4"
"1",2020-03-19,0.3067
"2",2020-03-20,0.324
"3",2020-03-23,0.3535
"4",2020-03-24,0.3759
"5",2020-03-25,0.3907
"6",2020-03-26,0.4029
"7",2020-03-27,0.3679
"8",2020-03-30,0.4091
"9",2020-03-31,0.4154
"10",2020-04-01,0.4293
"11",2020-04-02,0.4435
"12",2020-04-03,0.4424
"13",2020-04-06,0.4581
"14",2020-04-07,0.4504
"15",2020-04-08,0.4662
"16",2020-04-09,0.445
"17",2020-04-13,0.4074
"18",2020-04-14,0.4193
"19",2020-04-15,0.4044
"20",2020-04-16,0.4216
"21",2020-04-17,0.41
"22",2020-04-20,0.4274
"23",2020-04-22,0.4352
"24",2020-04-23,0.4379
"25",2020-04-24,0.4382
"26",2020-04-27,0.4527
"27",2020-04-28,0.3953
"28",2020-04-29,0.4019
"29",2020-04-30,0.396
"30",2020-05-04,0.3935
"31",2020-05-05,0.3854
"32",2020-05-06,0.3774
"33",2020-05-07,0.3626
"34",2020-05-08,0.3672
"35",2020-05-11,0.3592
"36",2020-05-12,0.3553
"37",2020-05-13,0.3194
"38",2020-05-14,0.2943
"39",2020-05-15,0.2934
"40",2020-05-18,0.2934
"41",2020-05-19,0.3058
"42",2020-05-20,0.3096
"43",2020-05-21,0.3233
"44",2020-05-22,0.3336
"45",2020-05-25,0.3325
"46",2020-05-26,0.3211
"47",2020-05-27,0.2822
"48",2020-05-28,0.2731
"49",2020-05-29,0.2407
"50",2020-06-01,0.2457
"51",2020-06-02,0.2427
"52",2020-06-03,0.2479
"53",2020-06-04,0.2353
"54",2020-06-05,0.2464
"55",2020-06-08,0.2294
"56",2020-06-09,0.2145
"57",2020-06-10,0.1763
"58",2020-06-12,0.1765
"59",2020-06-15,0.179
"60",2020-06-16,0.1574
"61",2020-06-17,0.1522
"62",2020-06-18,0.1451
"63",2020-06-19,0.116
"64",2020-06-22,0.1198
"65",2020-06-23,0.1426
"66",2020-06-24,0.1333
"67",2020-06-25,0.1134
"68",2020-06-26,0.1043
"69",2020-06-29,0.0828
"70",2020-06-30,0.0848
"71",2020-07-01,0.0814
"72",2020-07-02,0.0941
"73",2020-07-03,0.1098
"74",2020-07-06,0.1137
"75",2020-07-07,0.122
"76",2020-07-08,0.1432
"77",2020-07-09,0.1421
"78",2020-07-10,0.1643
"79",2020-07-13,0.1681
"80",2020-07-14,0.1803
"81",2020-07-15,0.1956
"82",2020-07-16,0.1874
"83",2020-07-17,0.202
"84",2020-07-20,0.1931
"85",2020-07-21,0.1887
"86",2020-07-22,0.2039
"87",2020-07-23,0.1873
"88",2020-07-24,0.1981
"89",2020-07-27,0.205
"90",2020-07-28,0.2312
"91",2020-07-29,0.2269
"92",2020-07-30,0.2421
"93",2020-07-31,0.2276
"94",2020-08-03,0.2372
"95",2020-08-04,0.2371
"96",2020-08-05,0.2455
"97",2020-08-06,0.2178
"98",2020-08-07,0.2257
"99",2020-08-10,0.2305
"100",2020-08-11,0.2471
"101",2020-08-12,0.2565
"102",2020-08-13,0.2534
"103",2020-08-14,0.2675
"104",2020-08-17,0.2612
"105",2020-08-18,0.2345
"106",2020-08-19,0.2439
"107",2020-08-20,0.2117
"108",2020-08-21,0.2132
"109",2020-08-24,0.226
"110",2020-08-25,0.2291
"111",2020-08-26,0.2404
"112",2020-08-27,0.2577
"113",2020-08-28,0.2642
"114",2020-08-31,0.2734
"115",2020-09-01,0.2455
"116",2020-09-02,0.2305
"117",2020-09-03,0.183
"118",2020-09-04,0.1822
"119",2020-09-08,0.1743
"120",2020-09-09,0.1827
"121",2020-09-10,0.1722
"122",2020-09-11,0.1861
"123",2020-09-14,0.1891
"124",2020-09-15,0.2392
"125",2020-09-16,0.2706
"126",2020-09-17,0.2573
"127",2020-09-18,0.2199
"128",2020-09-21,0.2255
"129",2020-09-22,0.2152
"130",2020-09-23,0.2309
"131",2020-09-24,0.2289
"132",2020-09-25,0.2345
"133",2020-09-28,0.2138
"134",2020-09-29,0.2193
"135",2020-09-30,0.2053
"136",2020-10-01,0.2047
"137",2020-10-02,0.1734
"138",2020-10-05,0.1898
"139",2020-10-06,0.1739
"140",2020-10-07,0.1847
"141",2020-10-08,0.1883
"142",2020-10-09,0.2204
"143",2020-10-13,0.2157
"144",2020-10-14,0.1921
"145",2020-10-15,0.1821
"146",2020-10-16,0.1489
"147",2020-10-19,0.1162
"148",2020-10-20,0.1141
"149",2020-10-21,0.1164
"150",2020-10-22,0.1255
"151",2020-10-23,0.1072
"152",2020-10-26,0.1158
"153",2020-10-27,0.1141
"154",2020-10-28,0.1252
"155",2020-10-29,0.1403
"156",2020-10-30,0.1443
"157",2020-11-03,0.1276
"158",2020-11-04,0.1319
"159",2020-11-05,0.1112
"160",2020-11-06,0.1306
"161",2020-11-09,0.125
"162",2020-11-10,0.1238
"163",2020-11-11,0.1151
"164",2020-11-12,0.1258
"165",2020-11-13,0.107
"166",2020-11-16,0.1131
"167",2020-11-17,0.1179
"168",2020-11-18,0.1355
"169",2020-11-19,0.1562
"170",2020-11-23,0.1467
"171",2020-11-24,0.1761
"172",2020-11-25,0.1994
"173",2020-11-26,0.2068
"174",2020-11-27,0.2255
"175",2020-11-30,0.2089
"176",2020-12-01,0.2098
"177",2020-12-02,0.1826
"178",2020-12-03,0.1925
"179",2020-12-04,0.1846
"180",2020-12-07,0.2015
"181",2020-12-08,0.1948
"182",2020-12-09,0.2059
"183",2020-12-10,0.2118
"184",2020-12-11,0.255
"185",2020-12-14,0.2739
"186",2020-12-15,0.267
"187",2020-12-16,0.2439
"188",2020-12-17,0.2393
"189",2020-12-18,0.2209
"190",2020-12-21,0.2317
"191",2020-12-22,0.2312
"192",2020-12-23,0.2165
"193",2020-12-28,0.2132
"194",2020-12-29,0.2198
"195",2020-12-30,0.2359
"196",2021-01-04,0.247
"197",2021-01-05,0.2588
"198",2021-01-06,0.2766
"199",2021-01-07,0.2669
"200",2021-01-08,0.2678
"201",2021-01-11,0.2337
"202",2021-01-12,0.254
"203",2021-01-13,0.2423
"204",2021-01-14,0.254
"205",2021-01-15,0.2506
"206",2021-01-18,0.2368
"207",2021-01-19,0.2274
"208",2021-01-20,0.2554
"209",2021-01-21,0.2738
"210",2021-01-22,0.2856
"211",2021-01-26,0.2763
"212",2021-01-27,0.2791
"213",2021-01-28,0.2716
"214",2021-01-29,0.246
"215",2021-02-01,0.2392
"216",2021-02-02,0.2302
"217",2021-02-03,0.1919
"218",2021-02-04,0.1759
"219",2021-02-05,0.182
"220",2021-02-08,0.2251
"221",2021-02-09,0.2341
"222",2021-02-10,0.2324
"223",2021-02-11,0.2192
"224",2021-02-12,0.2065
"225",2021-02-17,0.1511
"226",2021-02-18,0.111
"227",2021-02-19,0.0983
"228",2021-02-22,0.0858
"229",2021-02-23,0.0907
"230",2021-02-24,0.1075
"231",2021-02-25,0.1105
"232",2021-02-26,0.1204
"233",2021-03-01,0.1269
"234",2021-03-02,0.1365
"235",2021-03-03,0.1264
"236",2021-03-04,0.1116
"237",2021-03-05,0.0866
"238",2021-03-08,0.0834
"239",2021-03-09,0.0877
"240",2021-03-10,0.0951
"241",2021-03-11,0.101
"242",2021-03-12,0.0998
"243",2021-03-15,0.0927
"244",2021-03-16,0.1009
"245",2021-03-17,0.1052
"246",2021-03-18,0.118
"247",2021-03-19,0.092
"248",2021-03-22,0.0932
"249",2021-03-23,0.0822
"250",2021-03-24,0.0722
"251",2021-03-25,0.0899
"252",2021-03-26,0.1062
"253",2021-03-29,0.111
"254",2021-03-30,0.1225
"255",2021-03-31,0.1452
"256",2021-04-01,0.1642
"257",2021-04-05,0.1567
"258",2021-04-06,0.1776
"259",2021-04-07,0.1715
"260",2021-04-08,0.1994
"261",2021-04-09,0.2007
"262",2021-04-12,0.2421
"263",2021-04-13,0.2687
"264",2021-04-14,0.2949
"265",2021-04-15,0.3077
"266",2021-04-16,0.3065
