"","date","AMD"
"1",2022-04-18,0.1269
"2",2022-04-19,0.1272
"3",2022-04-20,0.1301
"4",2022-04-21,0.128
"5",2022-04-22,0.1339
"6",2022-04-25,0.132
"7",2022-04-26,0.1323
"8",2022-04-27,0.1361
"9",2022-04-28,0.1321
"10",2022-04-29,0.1292
"11",2022-05-02,0.1268
"12",2022-05-03,0.1298
"13",2022-05-04,0.1324
"14",2022-05-05,0.1316
"15",2022-05-06,0.1264
"16",2022-05-09,0.1239
"17",2022-05-10,0.1306
"18",2022-05-11,0.1311
"19",2022-05-12,0.1288
"20",2022-05-13,0.1347
"21",2022-05-16,0.135
"22",2022-05-17,0.1367
"23",2022-05-18,0.1335
"24",2022-05-19,0.1327
"25",2022-05-20,0.129
"26",2022-05-23,0.1261
"27",2022-05-24,0.133
"28",2022-05-25,0.132
"29",2022-05-26,0.129
"30",2022-05-27,0.1241
"31",2022-05-31,0.1243
"32",2022-06-01,0.1283
"33",2022-06-02,0.1317
"34",2022-06-03,0.1315
"35",2022-06-06,0.1302
"36",2022-06-07,0.1324
"37",2022-06-08,0.1304
"38",2022-06-09,0.1319
"39",2022-06-10,0.1321
"40",2022-06-13,0.1316
"41",2022-06-14,0.1294
"42",2022-06-15,0.1266
"43",2022-06-16,0.1236
"44",2022-06-17,0.1278
"45",2022-06-21,0.123
"46",2022-06-22,0.1207
"47",2022-06-23,0.1285
"48",2022-06-24,0.1291
"49",2022-06-27,0.1227
"50",2022-06-28,0.1207
"51",2022-06-29,0.1182
"52",2022-06-30,0.1165
"53",2022-07-01,0.1175
"54",2022-07-05,0.1126
"55",2022-07-06,0.1066
"56",2022-07-07,0.1106
"57",2022-07-08,0.1103
"58",2022-07-11,0.1119
"59",2022-07-12,0.1111
"60",2022-07-13,0.1127
"61",2022-07-14,0.1117
"62",2022-07-15,0.1116
"63",2022-07-18,0.1159
"64",2022-07-19,0.1162
"65",2022-07-20,0.1194
"66",2022-07-21,0.1193
"67",2022-07-22,0.1184
"68",2022-07-25,0.1206
"69",2022-07-26,0.1199
"70",2022-07-27,0.1209
"71",2022-07-28,0.1183
"72",2022-07-29,0.1207
"73",2022-08-01,0.1213
"74",2022-08-02,0.1162
"75",2022-08-03,0.1122
"76",2022-08-04,0.1153
"77",2022-08-05,0.1209
"78",2022-08-08,0.1205
"79",2022-08-09,0.1262
"80",2022-08-10,0.1373
"81",2022-08-11,0.1418
"82",2022-08-12,0.1427
"83",2022-08-15,0.1473
"84",2022-08-16,0.1457
"85",2022-08-17,0.1375
"86",2022-08-18,0.1356
"87",2022-08-19,0.1387
"88",2022-08-22,0.1354
"89",2022-08-23,0.1369
"90",2022-08-24,0.138
"91",2022-08-25,0.1359
"92",2022-08-26,0.1424
"93",2022-08-29,0.144
"94",2022-08-30,0.1475
"95",2022-08-31,0.1474
"96",2022-09-01,0.1475
"97",2022-09-02,0.1494
"98",2022-09-06,0.1497
"99",2022-09-07,0.1474
"100",2022-09-08,0.141
"101",2022-09-09,0.1394
"102",2022-09-12,0.1452
"103",2022-09-13,0.1506
"104",2022-09-14,0.1605
"105",2022-09-15,0.1587
"106",2022-09-16,0.1557
"107",2022-09-19,0.1548
"108",2022-09-20,0.1545
"109",2022-09-21,0.1541
"110",2022-09-22,0.1556
"111",2022-09-23,0.1537
"112",2022-09-26,0.158
"113",2022-09-27,0.1577
"114",2022-09-28,0.1537
"115",2022-09-29,0.1485
"116",2022-09-30,0.1535
"117",2022-10-03,0.1575
"118",2022-10-04,0.1568
"119",2022-10-05,0.1567
"120",2022-10-06,0.1614
"121",2022-10-07,0.1588
"122",2022-10-10,0.1635
"123",2022-10-11,0.1688
"124",2022-10-12,0.1696
"125",2022-10-13,0.1744
"126",2022-10-14,0.1728
"127",2022-10-17,0.1755
"128",2022-10-18,0.1796
"129",2022-10-19,0.176
"130",2022-10-20,0.1734
"131",2022-10-21,0.1777
"132",2022-10-24,0.1837
"133",2022-10-25,0.1818
"134",2022-10-26,0.182
"135",2022-10-27,0.1854
"136",2022-10-28,0.188
"137",2022-10-31,0.1933
"138",2022-11-01,0.1968
"139",2022-11-02,0.1958
"140",2022-11-03,0.2001
"141",2022-11-04,0.2007
"142",2022-11-07,0.2067
"143",2022-11-08,0.2118
"144",2022-11-09,0.211
"145",2022-11-10,0.2075
"146",2022-11-11,0.2126
"147",2022-11-14,0.2169
"148",2022-11-15,0.2204
"149",2022-11-16,0.2189
"150",2022-11-17,0.219
"151",2022-11-18,0.2145
"152",2022-11-21,0.2216
"153",2022-11-22,0.2265
"154",2022-11-23,0.2231
"155",2022-11-25,0.2207
"156",2022-11-28,0.2225
"157",2022-11-29,0.2239
"158",2022-11-30,0.2183
"159",2022-12-01,0.2161
"160",2022-12-02,0.212
"161",2022-12-05,0.2123
"162",2022-12-06,0.2046
"163",2022-12-07,0.1989
"164",2022-12-08,0.2053
"165",2022-12-09,0.2031
"166",2022-12-12,0.1988
"167",2022-12-13,0.1972
"168",2022-12-14,0.1979
"169",2022-12-15,0.1889
"170",2022-12-16,0.1917
"171",2022-12-19,0.1944
"172",2022-12-20,0.1942
"173",2022-12-21,0.1937
"174",2022-12-22,0.1952
"175",2022-12-23,0.1936
"176",2022-12-27,0.1968
"177",2022-12-28,0.1978
"178",2022-12-29,0.1995
"179",2022-12-30,0.2006
"180",2023-01-03,0.2052
"181",2023-01-04,0.2069
"182",2023-01-05,0.2162
"183",2023-01-06,0.2207
"184",2023-01-09,0.2246
"185",2023-01-10,0.229
"186",2023-01-11,0.2304
"187",2023-01-12,0.2372
"188",2023-01-13,0.241
"189",2023-01-17,0.2406
"190",2023-01-18,0.2437
"191",2023-01-19,0.2428
"192",2023-01-20,0.2493
"193",2023-01-23,0.2501
"194",2023-01-24,0.2493
"195",2023-01-25,0.2461
"196",2023-01-26,0.2456
"197",2023-01-27,0.2512
"198",2023-01-30,0.2526
"199",2023-01-31,0.2526
"200",2023-02-01,0.2532
"201",2023-02-02,0.2466
"202",2023-02-03,0.2382
"203",2023-02-06,0.237
"204",2023-02-07,0.2233
"205",2023-02-08,0.197
"206",2023-02-09,0.1867
"207",2023-02-10,0.1873
"208",2023-02-13,0.1793
"209",2023-02-14,0.1775
"210",2023-02-15,0.1755
"211",2023-02-16,0.1721
"212",2023-02-17,0.1759
"213",2023-02-21,0.1772
"214",2023-02-22,0.1747
"215",2023-02-23,0.1756
"216",2023-02-24,0.1834
"217",2023-02-27,0.182
"218",2023-02-28,0.1816
"219",2023-03-01,0.1793
"220",2023-03-02,0.1839
"221",2023-03-03,0.1843
"222",2023-03-06,0.1855
"223",2023-03-07,0.1879
"224",2023-03-08,0.1887
"225",2023-03-09,0.1851
"226",2023-03-10,0.1869
"227",2023-03-13,0.1894
"228",2023-03-14,0.1853
"229",2023-03-15,0.184
"230",2023-03-16,0.1869
"231",2023-03-17,0.1863
"232",2023-03-20,0.1876
"233",2023-03-21,0.1847
"234",2023-03-22,0.1834
"235",2023-03-23,0.1788
"236",2023-03-24,0.1827
"237",2023-03-27,0.1887
"238",2023-03-28,0.1904
"239",2023-03-29,0.1861
"240",2023-03-30,0.1857
"241",2023-03-31,0.1834
"242",2023-04-03,0.1834
"243",2023-04-04,0.1832
"244",2023-04-05,0.1805
"245",2023-04-06,0.1834
"246",2023-04-10,0.1829
"247",2023-04-11,0.1816
"248",2023-04-12,0.1838
"249",2023-04-13,0.1823
"250",2023-04-14,0.1775
"251",2023-04-17,0.1732
"252",2023-04-18,0.1764
"253",2023-04-19,0.1705
"254",2023-04-20,0.1721
"255",2023-04-21,0.1755
"256",2023-04-24,0.1778
