"","date","CDNS"
"1",2022-04-18,0.3266
"2",2022-04-19,0.3267
"3",2022-04-20,0.3229
"4",2022-04-21,0.323
"5",2022-04-22,0.3221
"6",2022-04-25,0.3233
"7",2022-04-26,0.3195
"8",2022-04-27,0.3244
"9",2022-04-28,0.3205
"10",2022-04-29,0.3259
"11",2022-05-02,0.3208
"12",2022-05-03,0.3218
"13",2022-05-04,0.3183
"14",2022-05-05,0.3211
"15",2022-05-06,0.3162
"16",2022-05-09,0.3172
"17",2022-05-10,0.314
"18",2022-05-11,0.3098
"19",2022-05-12,0.3034
"20",2022-05-13,0.3099
"21",2022-05-16,0.2964
"22",2022-05-17,0.2999
"23",2022-05-18,0.3019
"24",2022-05-19,0.2997
"25",2022-05-20,0.2921
"26",2022-05-23,0.2912
"27",2022-05-24,0.2947
"28",2022-05-25,0.2938
"29",2022-05-26,0.2929
"30",2022-05-27,0.2961
"31",2022-05-31,0.294
"32",2022-06-01,0.3059
"33",2022-06-02,0.3061
"34",2022-06-03,0.3175
"35",2022-06-06,0.3123
"36",2022-06-07,0.3095
"37",2022-06-08,0.3112
"38",2022-06-09,0.3141
"39",2022-06-10,0.3128
"40",2022-06-13,0.3148
"41",2022-06-14,0.3083
"42",2022-06-15,0.3105
"43",2022-06-16,0.3134
"44",2022-06-17,0.3233
"45",2022-06-21,0.3243
"46",2022-06-22,0.3244
"47",2022-06-23,0.3168
"48",2022-06-24,0.3175
"49",2022-06-27,0.3119
"50",2022-06-28,0.3208
"51",2022-06-29,0.3187
"52",2022-06-30,0.3242
"53",2022-07-01,0.3167
"54",2022-07-05,0.3154
"55",2022-07-06,0.3154
"56",2022-07-07,0.326
"57",2022-07-08,0.319
"58",2022-07-11,0.3243
"59",2022-07-12,0.3193
"60",2022-07-13,0.3245
"61",2022-07-14,0.3227
"62",2022-07-15,0.3246
"63",2022-07-18,0.323
"64",2022-07-19,0.3189
"65",2022-07-20,0.3224
"66",2022-07-21,0.3228
"67",2022-07-22,0.3195
"68",2022-07-25,0.3155
"69",2022-07-26,0.3088
"70",2022-07-27,0.3144
"71",2022-07-28,0.3116
"72",2022-07-29,0.309
"73",2022-08-01,0.304
"74",2022-08-02,0.3051
"75",2022-08-03,0.2999
"76",2022-08-04,0.3057
"77",2022-08-05,0.3131
"78",2022-08-08,0.3166
"79",2022-08-09,0.3147
"80",2022-08-10,0.3199
"81",2022-08-11,0.3126
"82",2022-08-12,0.3156
"83",2022-08-15,0.3107
"84",2022-08-16,0.3131
"85",2022-08-17,0.3077
"86",2022-08-18,0.309
"87",2022-08-19,0.3091
"88",2022-08-22,0.3078
"89",2022-08-23,0.3038
"90",2022-08-24,0.3021
"91",2022-08-25,0.2962
"92",2022-08-26,0.3082
"93",2022-08-29,0.308
"94",2022-08-30,0.3118
"95",2022-08-31,0.3056
"96",2022-09-01,0.3015
"97",2022-09-02,0.2953
"98",2022-09-06,0.2952
"99",2022-09-07,0.2962
"100",2022-09-08,0.3034
"101",2022-09-09,0.2989
"102",2022-09-12,0.3011
"103",2022-09-13,0.3001
"104",2022-09-14,0.3124
"105",2022-09-15,0.3075
"106",2022-09-16,0.306
"107",2022-09-19,0.2977
"108",2022-09-20,0.2917
"109",2022-09-21,0.287
"110",2022-09-22,0.2933
"111",2022-09-23,0.2938
"112",2022-09-26,0.2954
"113",2022-09-27,0.2881
"114",2022-09-28,0.2877
"115",2022-09-29,0.2846
"116",2022-09-30,0.2831
"117",2022-10-03,0.2846
"118",2022-10-04,0.2871
"119",2022-10-05,0.2823
"120",2022-10-06,0.2924
"121",2022-10-07,0.2878
"122",2022-10-10,0.2959
"123",2022-10-11,0.2963
"124",2022-10-12,0.2954
"125",2022-10-13,0.2961
"126",2022-10-14,0.2901
"127",2022-10-17,0.2935
"128",2022-10-18,0.2925
"129",2022-10-19,0.2876
"130",2022-10-20,0.2923
"131",2022-10-21,0.2877
"132",2022-10-24,0.2897
"133",2022-10-25,0.2918
"134",2022-10-26,0.2886
"135",2022-10-27,0.2849
"136",2022-10-28,0.2836
"137",2022-10-31,0.2794
"138",2022-11-01,0.2762
"139",2022-11-02,0.276
"140",2022-11-03,0.2834
"141",2022-11-04,0.2827
"142",2022-11-07,0.292
"143",2022-11-08,0.2959
"144",2022-11-09,0.3059
"145",2022-11-10,0.2999
"146",2022-11-11,0.2997
"147",2022-11-14,0.2984
"148",2022-11-15,0.2958
"149",2022-11-16,0.2921
"150",2022-11-17,0.2952
"151",2022-11-18,0.2909
"152",2022-11-21,0.29
"153",2022-11-22,0.2919
"154",2022-11-23,0.2928
"155",2022-11-25,0.2917
"156",2022-11-28,0.2863
"157",2022-11-29,0.2816
"158",2022-11-30,0.2798
"159",2022-12-01,0.2792
"160",2022-12-02,0.2844
"161",2022-12-05,0.2871
"162",2022-12-06,0.3029
"163",2022-12-07,0.3152
"164",2022-12-08,0.3215
"165",2022-12-09,0.3182
"166",2022-12-12,0.3182
"167",2022-12-13,0.3094
"168",2022-12-14,0.3035
"169",2022-12-15,0.2969
"170",2022-12-16,0.3023
"171",2022-12-19,0.3003
"172",2022-12-20,0.3022
"173",2022-12-21,0.2961
"174",2022-12-22,0.2934
"175",2022-12-23,0.29
"176",2022-12-27,0.2919
