"","date","ENGI11"
"1",2021-09-01,0.1879
"2",2021-09-02,0.186
"3",2021-09-03,0.1874
"4",2021-09-06,0.1891
"5",2021-09-08,0.1867
"6",2021-09-09,0.1949
"7",2021-09-10,0.1815
"8",2021-09-13,0.1824
"9",2021-09-14,0.1726
"10",2021-09-15,0.1657
"11",2021-09-16,0.154
"12",2021-09-17,0.1453
"13",2021-09-20,0.1567
"14",2021-09-21,0.1628
"15",2021-09-22,0.1723
"16",2021-09-23,0.1775
"17",2021-09-24,0.1639
"18",2021-09-27,0.1638
"19",2021-09-28,0.1504
"20",2021-09-29,0.1542
"21",2021-09-30,0.1417
"22",2021-10-01,0.1345
"23",2021-10-04,0.1255
"24",2021-10-05,0.1274
"25",2021-10-06,0.1216
"26",2021-10-07,0.1357
"27",2021-10-08,0.132
"28",2021-10-11,0.1319
"29",2021-10-13,0.1237
"30",2021-10-14,0.1253
"31",2021-10-15,0.1221
"32",2021-10-18,0.1256
"33",2021-10-19,0.1327
"34",2021-10-20,0.1332
"35",2021-10-21,0.1304
"36",2021-10-22,0.1342
"37",2021-10-25,0.1293
"38",2021-10-26,0.1337
"39",2021-10-27,0.1266
"40",2021-10-28,0.1335
"41",2021-10-29,0.1282
"42",2021-11-01,0.1189
"43",2021-11-03,0.126
"44",2021-11-04,0.1314
"45",2021-11-05,0.1315
"46",2021-11-08,0.1334
"47",2021-11-09,0.1255
"48",2021-11-10,0.1303
"49",2021-11-11,0.1241
"50",2021-11-12,0.1327
"51",2021-11-16,0.1342
"52",2021-11-17,0.133
"53",2021-11-18,0.1334
"54",2021-11-19,0.1393
"55",2021-11-22,0.1317
"56",2021-11-23,0.1457
"57",2021-11-24,0.1414
"58",2021-11-25,0.1339
"59",2021-11-26,0.1291
"60",2021-11-29,0.1268
"61",2021-11-30,0.1227
"62",2021-12-01,0.1223
"63",2021-12-02,0.1238
"64",2021-12-03,0.1293
"65",2021-12-06,0.1281
"66",2021-12-07,0.1327
"67",2021-12-08,0.1312
"68",2021-12-09,0.1413
"69",2021-12-10,0.1424
"70",2021-12-13,0.1596
"71",2021-12-14,0.153
"72",2021-12-15,0.1483
"73",2021-12-16,0.1444
"74",2021-12-17,0.1433
"75",2021-12-20,0.1407
"76",2021-12-21,0.1441
"77",2021-12-22,0.1341
"78",2021-12-23,0.1318
"79",2021-12-27,0.1246
"80",2021-12-28,0.1294
"81",2021-12-29,0.1202
"82",2021-12-30,0.1109
"83",2022-01-03,0.1164
"84",2022-01-04,0.114
"85",2022-01-05,0.1145
"86",2022-01-06,0.1259
"87",2022-01-07,0.124
"88",2022-01-10,0.1225
"89",2022-01-11,0.116
"90",2022-01-12,0.124
"91",2022-01-13,0.1086
"92",2022-01-14,0.1069
"93",2022-01-17,0.1023
"94",2022-01-18,0.0972
"95",2022-01-19,0.0894
"96",2022-01-20,0.1028
"97",2022-01-21,0.0991
"98",2022-01-24,0.0966
"99",2022-01-25,0.0954
"100",2022-01-26,0.0984
"101",2022-01-27,0.1014
"102",2022-01-28,0.1009
"103",2022-01-31,0.1103
"104",2022-02-01,0.1231
"105",2022-02-02,0.1217
"106",2022-02-03,0.1284
"107",2022-02-04,0.1141
"108",2022-02-07,0.1137
"109",2022-02-08,0.1057
"110",2022-02-09,0.1047
"111",2022-02-10,0.1057
"112",2022-02-11,0.111
"113",2022-02-14,0.1204
"114",2022-02-15,0.1214
"115",2022-02-16,0.1278
"116",2022-02-17,0.1441
"117",2022-02-18,0.1374
"118",2022-02-21,0.1468
"119",2022-02-22,0.1441
"120",2022-02-23,0.1465
"121",2022-02-24,0.1391
"122",2022-02-25,0.1489
"123",2022-03-02,0.1445
"124",2022-03-03,0.1537
"125",2022-03-04,0.1561
"126",2022-03-07,0.1615
"127",2022-03-08,0.1559
"128",2022-03-09,0.1587
"129",2022-03-10,0.1561
"130",2022-03-11,0.1561
"131",2022-03-14,0.1503
"132",2022-03-15,0.1583
"133",2022-03-16,0.1563
"134",2022-03-17,0.1575
"135",2022-03-18,0.1613
"136",2022-03-21,0.1693
"137",2022-03-22,0.1556
"138",2022-03-23,0.1498
"139",2022-03-24,0.1465
"140",2022-03-25,0.1467
"141",2022-03-28,0.138
"142",2022-03-29,0.1355
"143",2022-03-30,0.1298
"144",2022-03-31,0.1333
"145",2022-04-01,0.1356
"146",2022-04-04,0.1457
"147",2022-04-05,0.1418
"148",2022-04-06,0.1478
"149",2022-04-07,0.1426
"150",2022-04-08,0.1414
"151",2022-04-11,0.1298
"152",2022-04-12,0.1303
"153",2022-04-13,0.131
"154",2022-04-14,0.1273
"155",2022-04-18,0.131
"156",2022-04-19,0.1352
"157",2022-04-20,0.1257
"158",2022-04-22,0.1369
"159",2022-04-25,0.135
"160",2022-04-26,0.147
"161",2022-04-27,0.1438
"162",2022-04-28,0.146
"163",2022-04-29,0.1456
"164",2022-05-02,0.1519
"165",2022-05-03,0.1455
"166",2022-05-04,0.1516
"167",2022-05-05,0.1434
"168",2022-05-06,0.1527
"169",2022-05-09,0.1561
"170",2022-05-10,0.1522
"171",2022-05-11,0.1524
