"","date","ETN"
"1",2020-11-10,0.2796
"2",2020-11-11,0.2994
"3",2020-11-12,0.2954
"4",2020-11-13,0.293
"5",2020-11-16,0.3057
"6",2020-11-17,0.3184
"7",2020-11-18,0.3014
"8",2020-11-19,0.2952
"9",2020-11-20,0.2905
"10",2020-11-23,0.3134
"11",2020-11-24,0.3235
"12",2020-11-25,0.341
"13",2020-11-27,0.3215
"14",2020-11-30,0.3227
"15",2020-12-01,0.3254
"16",2020-12-02,0.3377
"17",2020-12-03,0.3375
"18",2020-12-04,0.346
"19",2020-12-07,0.3216
"20",2020-12-08,0.3184
"21",2020-12-09,0.3411
"22",2020-12-10,0.3477
"23",2020-12-11,0.3409
"24",2020-12-14,0.3463
"25",2020-12-15,0.3355
"26",2020-12-16,0.3324
"27",2020-12-17,0.3312
"28",2020-12-18,0.3342
"29",2020-12-21,0.3424
"30",2020-12-22,0.3542
"31",2020-12-23,0.3341
"32",2020-12-24,0.3339
"33",2020-12-28,0.3319
"34",2020-12-29,0.3344
"35",2020-12-30,0.337
"36",2020-12-31,0.3442
"37",2021-01-04,0.333
"38",2021-01-05,0.3382
"39",2021-01-06,0.329
"40",2021-01-07,0.3412
"41",2021-01-08,0.3562
"42",2021-01-11,0.3573
"43",2021-01-12,0.3533
"44",2021-01-13,0.3557
"45",2021-01-14,0.3615
"46",2021-01-15,0.3662
"47",2021-01-19,0.346
"48",2021-01-20,0.3505
"49",2021-01-21,0.3335
"50",2021-01-22,0.3359
"51",2021-01-25,0.3435
"52",2021-01-26,0.3511
"53",2021-01-27,0.3368
"54",2021-01-28,0.3482
"55",2021-01-29,0.3383
"56",2021-02-01,0.3424
"57",2021-02-02,0.3512
"58",2021-02-03,0.3547
"59",2021-02-04,0.3395
"60",2021-02-05,0.3506
"61",2021-02-08,0.3577
"62",2021-02-09,0.3617
"63",2021-02-10,0.3529
"64",2021-02-11,0.3368
"65",2021-02-12,0.3422
"66",2021-02-16,0.3599
"67",2021-02-17,0.3517
"68",2021-02-18,0.369
"69",2021-02-19,0.3732
"70",2021-02-22,0.3709
"71",2021-02-23,0.3816
"72",2021-02-24,0.3899
"73",2021-02-25,0.373
"74",2021-02-26,0.3679
"75",2021-03-01,0.3434
"76",2021-03-02,0.3477
"77",2021-03-03,0.3413
"78",2021-03-04,0.3398
"79",2021-03-05,0.329
"80",2021-03-08,0.3314
"81",2021-03-09,0.3592
"82",2021-03-10,0.3772
"83",2021-03-11,0.3668
"84",2021-03-12,0.3743
"85",2021-03-15,0.3726
"86",2021-03-16,0.3757
"87",2021-03-17,0.3662
"88",2021-03-18,0.3642
"89",2021-03-19,0.3659
"90",2021-03-22,0.3807
"91",2021-03-23,0.3632
"92",2021-03-24,0.3557
"93",2021-03-25,0.3553
"94",2021-03-26,0.351
"95",2021-03-29,0.3489
"96",2021-03-30,0.3558
"97",2021-03-31,0.3279
"98",2021-04-01,0.331
"99",2021-04-05,0.3216
"100",2021-04-06,0.3286
"101",2021-04-07,0.3452
"102",2021-04-08,0.356
"103",2021-04-09,0.3384
"104",2021-04-12,0.3263
"105",2021-04-13,0.3302
"106",2021-04-14,0.3443
"107",2021-04-15,0.3459
"108",2021-04-16,0.3469
"109",2021-04-19,0.3346
"110",2021-04-20,0.3374
"111",2021-04-21,0.3397
"112",2021-04-22,0.3461
"113",2021-04-23,0.3345
"114",2021-04-26,0.3396
"115",2021-04-27,0.3333
"116",2021-04-28,0.3284
"117",2021-04-29,0.3256
"118",2021-04-30,0.3262
"119",2021-05-03,0.3051
"120",2021-05-04,0.3199
"121",2021-05-05,0.3199
"122",2021-05-06,0.3286
"123",2021-05-07,0.3207
"124",2021-05-10,0.3199
"125",2021-05-11,0.3293
"126",2021-05-12,0.3356
"127",2021-05-13,0.3246
"128",2021-05-14,0.3308
"129",2021-05-17,0.3434
"130",2021-05-18,0.3372
"131",2021-05-19,0.3495
"132",2021-05-20,0.3579
"133",2021-05-21,0.3388
"134",2021-05-24,0.3223
"135",2021-05-25,0.3057
"136",2021-05-26,0.3106
"137",2021-05-27,0.3
"138",2021-05-28,0.299
"139",2021-06-01,0.2768
"140",2021-06-02,0.2875
"141",2021-06-03,0.2975
"142",2021-06-04,0.3137
"143",2021-06-07,0.2984
"144",2021-06-08,0.3097
"145",2021-06-09,0.3126
"146",2021-06-10,0.324
"147",2021-06-11,0.3183
"148",2021-06-14,0.3186
"149",2021-06-15,0.3168
"150",2021-06-16,0.3204
"151",2021-06-17,0.3149
"152",2021-06-18,0.3047
"153",2021-06-21,0.3114
"154",2021-06-22,0.3057
"155",2021-06-23,0.3021
"156",2021-06-24,0.3098
"157",2021-06-25,0.2924
