"","date","FANG"
"1",2019-06-10,0.1567
"2",2019-06-11,0.1524
"3",2019-06-12,0.1413
"4",2019-06-13,0.1413
"5",2019-06-14,0.1375
"6",2019-06-17,0.1254
"7",2019-06-18,0.1079
"8",2019-06-19,0.1103
"9",2019-06-20,0.1033
"10",2019-06-21,0.1278
"11",2019-06-24,0.1595
"12",2019-06-25,0.152
"13",2019-06-26,0.1333
"14",2019-06-27,0.1327
"15",2019-06-28,0.1317
"16",2019-07-01,0.1305
"17",2019-07-02,0.1189
"18",2019-07-03,0.124
"19",2019-07-05,0.122
"20",2019-07-08,0.1452
"21",2019-07-09,0.1555
"22",2019-07-10,0.142
"23",2019-07-11,0.1312
"24",2019-07-12,0.1183
"25",2019-07-15,0.1102
"26",2019-07-16,0.1313
"27",2019-07-17,0.1303
"28",2019-07-18,0.1319
"29",2019-07-19,0.1217
"30",2019-07-22,0.1541
"31",2019-07-23,0.1522
"32",2019-07-24,0.1378
"33",2019-07-25,0.1408
"34",2019-07-26,0.142
"35",2019-07-29,0.1616
"36",2019-07-30,0.1665
"37",2019-07-31,0.1413
"38",2019-08-01,0.1434
"39",2019-08-02,0.1396
"40",2019-08-05,0.1667
"41",2019-08-06,0.1746
"42",2019-08-07,0.1646
"43",2019-08-08,0.1526
"44",2019-08-09,0.1557
"45",2019-08-12,0.1488
"46",2019-08-13,0.1793
"47",2019-08-14,0.1892
"48",2019-08-15,0.1714
"49",2019-08-16,0.1567
"50",2019-08-19,0.169
"51",2019-08-20,0.1787
"52",2019-08-21,0.1623
"53",2019-08-22,0.1541
"54",2019-08-23,0.1737
"55",2019-08-26,0.1787
"56",2019-08-27,0.1881
"57",2019-08-28,0.177
"58",2019-08-29,0.173
"59",2019-08-30,0.1766
"60",2019-09-03,0.1899
"61",2019-09-04,0.1846
"62",2019-09-05,0.1723
"63",2019-09-06,0.1713
"64",2019-09-09,0.1628
"65",2019-09-10,0.1551
"66",2019-09-11,0.1642
"67",2019-09-12,0.1537
"68",2019-09-13,0.16
"69",2019-09-16,0.1402
"70",2019-09-17,0.156
"71",2019-09-18,0.1652
"72",2019-09-19,0.152
"73",2019-09-20,0.1347
"74",2019-09-23,0.1297
"75",2019-09-24,0.1346
"76",2019-09-25,0.1303
"77",2019-09-26,0.1098
"78",2019-09-27,0.1059
"79",2019-09-30,0.1047
"80",2019-10-01,0.1296
