"","date","FCX"
"1",2019-06-10,0.2537
"2",2019-06-11,0.2604
"3",2019-06-12,0.2694
"4",2019-06-13,0.2733
"5",2019-06-14,0.2711
"6",2019-06-17,0.2793
"7",2019-06-18,0.2631
"8",2019-06-19,0.2704
"9",2019-06-20,0.291
"10",2019-06-21,0.2959
"11",2019-06-24,0.2904
"12",2019-06-25,0.2918
"13",2019-06-26,0.2937
"14",2019-06-27,0.2942
"15",2019-06-28,0.3037
"16",2019-07-01,0.2941
"17",2019-07-02,0.2869
"18",2019-07-03,0.295
"19",2019-07-05,0.3013
"20",2019-07-08,0.3087
"21",2019-07-09,0.2923
"22",2019-07-10,0.2854
"23",2019-07-11,0.2952
"24",2019-07-12,0.2844
"25",2019-07-15,0.2831
"26",2019-07-16,0.2812
"27",2019-07-17,0.2781
"28",2019-07-18,0.2833
"29",2019-07-19,0.2969
"30",2019-07-22,0.3205
"31",2019-07-23,0.3162
"32",2019-07-24,0.3087
"33",2019-07-25,0.296
"34",2019-07-26,0.295
"35",2019-07-29,0.2977
"36",2019-07-30,0.3092
"37",2019-07-31,0.287
"38",2019-08-01,0.2772
"39",2019-08-02,0.2785
"40",2019-08-05,0.2735
"41",2019-08-06,0.2714
"42",2019-08-07,0.2781
"43",2019-08-08,0.2842
"44",2019-08-09,0.2795
"45",2019-08-12,0.269
"46",2019-08-13,0.2747
"47",2019-08-14,0.2741
"48",2019-08-15,0.2735
"49",2019-08-16,0.2741
"50",2019-08-19,0.2759
"51",2019-08-20,0.2739
"52",2019-08-21,0.2713
"53",2019-08-22,0.2825
"54",2019-08-23,0.2962
"55",2019-08-26,0.2884
"56",2019-08-27,0.2752
"57",2019-08-28,0.2517
"58",2019-08-29,0.2591
"59",2019-08-30,0.268
"60",2019-09-03,0.2721
"61",2019-09-04,0.2598
"62",2019-09-05,0.2506
"63",2019-09-06,0.2634
"64",2019-09-09,0.276
"65",2019-09-10,0.2982
"66",2019-09-11,0.3004
"67",2019-09-12,0.2968
"68",2019-09-13,0.3082
"69",2019-09-16,0.3093
"70",2019-09-17,0.2993
"71",2019-09-18,0.2849
"72",2019-09-19,0.2851
"73",2019-09-20,0.2826
"74",2019-09-23,0.2848
"75",2019-09-24,0.279
"76",2019-09-25,0.233
"77",2019-09-26,0.1997
"78",2019-09-27,0.2125
"79",2019-09-30,0.2122
"80",2019-10-01,0.2461
"81",2019-10-02,0.2436
"82",2019-10-03,0.2512
"83",2019-10-04,0.2483
"84",2019-10-07,0.2239
"85",2019-10-08,0.2146
"86",2019-10-09,0.2167
"87",2019-10-10,0.2276
"88",2019-10-11,0.2219
"89",2019-10-14,0.2194
"90",2019-10-15,0.2111
"91",2019-10-16,0.2104
"92",2019-10-17,0.2046
"93",2019-10-18,0.2038
"94",2019-10-21,0.2075
"95",2019-10-22,0.1992
"96",2019-10-23,0.1937
"97",2019-10-24,0.1856
"98",2019-10-25,0.1816
"99",2019-10-28,0.1848
"100",2019-10-29,0.1877
"101",2019-10-30,0.1858
"102",2019-10-31,0.2018
"103",2019-11-01,0.1949
"104",2019-11-04,0.1819
"105",2019-11-05,0.1752
"106",2019-11-06,0.1643
"107",2019-11-07,0.1815
"108",2019-11-08,0.1843
"109",2019-11-11,0.1778
"110",2019-11-12,0.1763
"111",2019-11-13,0.1676
"112",2019-11-14,0.1609
"113",2019-11-15,0.189
"114",2019-11-18,0.1978
"115",2019-11-19,0.2039
"116",2019-11-20,0.2092
"117",2019-11-21,0.1892
"118",2019-11-22,0.1801
"119",2019-11-25,0.1884
"120",2019-11-26,0.1875
"121",2019-11-27,0.1522
"122",2019-11-29,0.1344
"123",2019-12-02,0.1454
"124",2019-12-03,0.1654
"125",2019-12-04,0.1733
"126",2019-12-05,0.1844
"127",2019-12-06,0.1882
"128",2019-12-09,0.1888
"129",2019-12-10,0.1855
"130",2019-12-11,0.196
"131",2019-12-12,0.1934
"132",2019-12-13,0.1959
"133",2019-12-16,0.1945
"134",2019-12-17,0.1771
"135",2019-12-18,0.195
"136",2019-12-19,0.1909
"137",2019-12-20,0.1903
"138",2019-12-23,0.1845
"139",2019-12-24,0.1812
"140",2019-12-26,0.1895
"141",2019-12-27,0.1976
"142",2019-12-30,0.2117
"143",2019-12-31,0.2211
"144",2020-01-02,0.2208
"145",2020-01-03,0.2018
"146",2020-01-06,0.2049
"147",2020-01-07,0.2097
"148",2020-01-08,0.207
"149",2020-01-09,0.2253
"150",2020-01-10,0.2303
"151",2020-01-13,0.219
"152",2020-01-14,0.2279
"153",2020-01-15,0.2516
"154",2020-01-16,0.2377
"155",2020-01-17,0.2452
"156",2020-01-21,0.2234
"157",2020-01-22,0.2198
"158",2020-01-23,0.2097
"159",2020-01-24,0.2229
"160",2020-01-27,0.2119
"161",2020-01-28,0.2099
"162",2020-01-29,0.2295
"163",2020-01-30,0.2437
"164",2020-01-31,0.2526
"165",2020-02-03,0.2516
"166",2020-02-04,0.2545
"167",2020-02-05,0.2529
"168",2020-02-06,0.2527
"169",2020-02-07,0.2404
"170",2020-02-10,0.2334
"171",2020-02-11,0.2306
"172",2020-02-12,0.2352
"173",2020-02-13,0.247
"174",2020-02-14,0.2611
"175",2020-02-18,0.2454
"176",2020-02-19,0.2481
"177",2020-02-20,0.2618
"178",2020-02-21,0.2518
"179",2020-02-24,0.2895
"180",2020-02-25,0.2917
"181",2020-02-26,0.2834
"182",2020-02-27,0.2787
"183",2020-02-28,0.283
"184",2020-03-02,0.2873
"185",2020-03-03,0.3042
"186",2020-03-04,0.3028
"187",2020-03-05,0.2946
"188",2020-03-06,0.2898
"189",2020-03-09,0.2995
"190",2020-03-10,0.3175
"191",2020-03-11,0.3094
"192",2020-03-12,0.3216
"193",2020-03-13,0.3107
"194",2020-03-16,0.3093
"195",2020-03-17,0.31
"196",2020-03-18,0.3182
"197",2020-03-19,0.3264
"198",2020-03-20,0.3351
"199",2020-03-23,0.3299
"200",2020-03-24,0.3872
"201",2020-03-25,0.4338
"202",2020-03-26,0.4442
"203",2020-03-27,0.4681
"204",2020-03-30,0.4908
"205",2020-03-31,0.4703
"206",2020-04-01,0.4699
"207",2020-04-02,0.4459
"208",2020-04-03,0.4478
"209",2020-04-06,0.4801
"210",2020-04-07,0.5186
"211",2020-04-08,0.5166
"212",2020-04-09,0.5201
"213",2020-04-13,0.4981
"214",2020-04-14,0.4863
"215",2020-04-15,0.4793
"216",2020-04-16,0.4983
"217",2020-04-17,0.4574
"218",2020-04-20,0.4542
"219",2020-04-21,0.4662
"220",2020-04-22,0.4881
"221",2020-04-23,0.4923
"222",2020-04-24,0.4942
"223",2020-04-27,0.4701
"224",2020-04-28,0.4942
"225",2020-04-29,0.4963
"226",2020-04-30,0.4959
"227",2020-05-01,0.4674
"228",2020-05-04,0.4229
"229",2020-05-05,0.3989
"230",2020-05-06,0.3984
"231",2020-05-07,0.374
"232",2020-05-08,0.341
"233",2020-05-11,0.3147
"234",2020-05-12,0.3171
"235",2020-05-13,0.3003
"236",2020-05-14,0.3228
"237",2020-05-15,0.3432
"238",2020-05-18,0.314
"239",2020-05-19,0.297
"240",2020-05-20,0.3132
"241",2020-05-21,0.3133
"242",2020-05-22,0.3141
"243",2020-05-26,0.2836
"244",2020-05-27,0.2515
"245",2020-05-28,0.2438
"246",2020-05-29,0.2592
"247",2020-06-01,0.2292
"248",2020-06-02,0.2494
"249",2020-06-03,0.2667
"250",2020-06-04,0.2829
"251",2020-06-05,0.2666
"252",2020-06-08,0.2652
"253",2020-06-09,0.2291
"254",2020-06-10,0.2331
"255",2020-06-11,0.2425
"256",2020-06-12,0.2538
"257",2020-06-15,0.2667
"258",2020-06-16,0.2671
"259",2020-06-17,0.2399
"260",2020-06-18,0.2724
"261",2020-06-19,0.3045
"262",2020-06-22,0.3111
"263",2020-06-23,0.3242
"264",2020-06-24,0.3059
"265",2020-06-25,0.2716
"266",2020-06-26,0.2858
"267",2020-06-29,0.2783
"268",2020-06-30,0.2704
"269",2020-07-01,0.2567
"270",2020-07-02,0.2678
"271",2020-07-06,0.2558
"272",2020-07-07,0.2847
"273",2020-07-08,0.2917
"274",2020-07-09,0.3125
"275",2020-07-10,0.3311
"276",2020-07-13,0.3476
"277",2020-07-14,0.3232
"278",2020-07-15,0.296
"279",2020-07-16,0.2953
"280",2020-07-17,0.3055
"281",2020-07-20,0.3242
"282",2020-07-21,0.3227
"283",2020-07-22,0.3134
"284",2020-07-23,0.3194
"285",2020-07-24,0.3321
"286",2020-07-27,0.3369
"287",2020-07-28,0.3158
"288",2020-07-29,0.3189
"289",2020-07-30,0.3138
"290",2020-07-31,0.3491
"291",2020-08-03,0.354
"292",2020-08-04,0.3592
"293",2020-08-05,0.3395
"294",2020-08-06,0.3661
"295",2020-08-07,0.3383
"296",2020-08-10,0.3696
"297",2020-08-11,0.3622
"298",2020-08-12,0.325
"299",2020-08-13,0.3163
"300",2020-08-14,0.3545
"301",2020-08-17,0.3247
"302",2020-08-18,0.3161
"303",2020-08-19,0.2801
"304",2020-08-20,0.2632
"305",2020-08-21,0.2859
"306",2020-08-24,0.3258
"307",2020-08-25,0.3436
"308",2020-08-26,0.3387
"309",2020-08-27,0.3548
"310",2020-08-28,0.3557
"311",2020-08-31,0.3414
"312",2020-09-01,0.318
"313",2020-09-02,0.2809
"314",2020-09-03,0.2928
"315",2020-09-04,0.2746
"316",2020-09-08,0.262
"317",2020-09-09,0.2372
"318",2020-09-10,0.2526
"319",2020-09-11,0.2322
"320",2020-09-14,0.2866
"321",2020-09-15,0.3113
"322",2020-09-16,0.319
"323",2020-09-17,0.2996
"324",2020-09-18,0.2959
"325",2020-09-21,0.2575
"326",2020-09-22,0.2628
"327",2020-09-23,0.2625
"328",2020-09-24,0.2414
"329",2020-09-25,0.2536
"330",2020-09-28,0.2663
"331",2020-09-29,0.2498
"332",2020-09-30,0.2526
"333",2020-10-01,0.246
"334",2020-10-02,0.2092
"335",2020-10-05,0.2067
"336",2020-10-06,0.2352
"337",2020-10-07,0.22
"338",2020-10-08,0.197
"339",2020-10-09,0.2018
"340",2020-10-12,0.225
"341",2020-10-13,0.2251
"342",2020-10-14,0.2166
"343",2020-10-15,0.1618
"344",2020-10-16,0.1799
"345",2020-10-19,0.1779
"346",2020-10-20,0.19
"347",2020-10-21,0.1782
"348",2020-10-22,0.1712
"349",2020-10-23,0.1442
"350",2020-10-26,0.1619
"351",2020-10-27,0.1858
"352",2020-10-28,0.2044
"353",2020-10-29,0.2006
"354",2020-10-30,0.1991
"355",2020-11-02,0.1547
"356",2020-11-03,0.1701
"357",2020-11-04,0.1698
"358",2020-11-05,0.1361
"359",2020-11-06,0.115
"360",2020-11-09,0.1143
"361",2020-11-10,0.0873
"362",2020-11-11,0.0942000000000001
"363",2020-11-12,0.0968
"364",2020-11-13,0.0878
"365",2020-11-16,0.1007
"366",2020-11-17,0.1523
"367",2020-11-18,0.1352
"368",2020-11-19,0.125
"369",2020-11-20,0.1438
"370",2020-11-23,0.1567
"371",2020-11-24,0.1357
"372",2020-11-25,0.1363
"373",2020-11-27,0.1112
"374",2020-11-30,0.1155
"375",2020-12-01,0.0902
"376",2020-12-02,0.0971
"377",2020-12-03,0.0957
"378",2020-12-04,0.1021
"379",2020-12-07,0.1009
"380",2020-12-08,0.1515
"381",2020-12-09,0.1674
"382",2020-12-10,0.1462
"383",2020-12-11,0.1098
"384",2020-12-14,0.1371
"385",2020-12-15,0.1042
"386",2020-12-16,0.1084
"387",2020-12-17,0.1115
"388",2020-12-18,0.0836
"389",2020-12-21,0.0901999999999999
"390",2020-12-22,0.1045
"391",2020-12-23,0.1066
"392",2020-12-24,0.1365
"393",2020-12-28,0.1525
"394",2020-12-29,0.1609
"395",2020-12-30,0.1447
"396",2020-12-31,0.1725
"397",2021-01-04,0.139
"398",2021-01-05,0.1256
"399",2021-01-06,0.123
"400",2021-01-07,0.1349
"401",2021-01-08,0.1285
"402",2021-01-11,0.1374
"403",2021-01-12,0.1027
"404",2021-01-13,0.1273
"405",2021-01-14,0.1431
"406",2021-01-15,0.1609
"407",2021-01-19,0.153
"408",2021-01-20,0.1464
"409",2021-01-21,0.1518
"410",2021-01-22,0.1579
"411",2021-01-25,0.173
"412",2021-01-26,0.1786
"413",2021-01-27,0.1512
"414",2021-01-28,0.1577
"415",2021-01-29,0.0995
"416",2021-02-01,0.1129
"417",2021-02-02,0.1639
"418",2021-02-03,0.1681
"419",2021-02-04,0.1528
"420",2021-02-05,0.1655
"421",2021-02-08,0.1448
"422",2021-02-09,0.1387
"423",2021-02-10,0.1159
"424",2021-02-11,0.1145
"425",2021-02-12,0.0858000000000001
"426",2021-02-16,0.1115
"427",2021-02-17,0.0852999999999999
"428",2021-02-18,0.0977
"429",2021-02-19,0.1265
"430",2021-02-22,0.142
"431",2021-02-23,0.1279
"432",2021-02-24,0.1074
"433",2021-02-25,0.0805
"434",2021-02-26,0.081
"435",2021-03-01,0.0726000000000001
"436",2021-03-02,0.0851
"437",2021-03-03,0.0904
"438",2021-03-04,0.105
"439",2021-03-05,0.1034
"440",2021-03-08,0.0761
"441",2021-03-09,0.0696
"442",2021-03-10,0.0701999999999999
"443",2021-03-11,0.0681
"444",2021-03-12,0.0812
"445",2021-03-15,0.0789
"446",2021-03-16,0.0786
"447",2021-03-17,0.0871
"448",2021-03-18,0.0861
"449",2021-03-19,0.0795
"450",2021-03-22,0.0681999999999999
"451",2021-03-23,0.0579999999999999
"452",2021-03-24,0.0563
"453",2021-03-25,0.0648
"454",2021-03-26,0.0686
"455",2021-03-29,0.0628
"456",2021-03-30,0.0709
"457",2021-03-31,0.0647
"458",2021-04-01,0.0563
"459",2021-04-05,0.0729
"460",2021-04-06,0.0866999999999999
"461",2021-04-07,0.1183
"462",2021-04-08,0.1364
"463",2021-04-09,0.1224
"464",2021-04-12,0.1517
"465",2021-04-13,0.1652
"466",2021-04-14,0.1719
"467",2021-04-15,0.1572
"468",2021-04-16,0.1596
"469",2021-04-19,0.1443
"470",2021-04-20,0.1587
"471",2021-04-21,0.1606
"472",2021-04-22,0.1662
"473",2021-04-23,0.1392
"474",2021-04-26,0.1561
"475",2021-04-27,0.115
"476",2021-04-28,0.1525
"477",2021-04-29,0.1586
"478",2021-04-30,0.1408
"479",2021-05-03,0.122
"480",2021-05-04,0.1365
"481",2021-05-05,0.1209
"482",2021-05-06,0.1194
"483",2021-05-07,0.1145
"484",2021-05-10,0.1215
"485",2021-05-11,0.0883
"486",2021-05-12,0.1445
"487",2021-05-13,0.1656
"488",2021-05-14,0.1896
"489",2021-05-17,0.2895
"490",2021-05-18,0.284
"491",2021-05-19,0.2605
"492",2021-05-20,0.2459
"493",2021-05-21,0.1959
"494",2021-05-24,0.1933
"495",2021-05-25,0.164
"496",2021-05-26,0.1693
"497",2021-05-27,0.1602
"498",2021-05-28,0.1466
"499",2021-06-01,0.1037
"500",2021-06-02,0.1228
"501",2021-06-03,0.1228
"502",2021-06-04,0.1037
"503",2021-06-07,0.0348
"504",2021-06-08,0.0574
"505",2021-06-09,0.031
"506",2021-06-10,0.0478
"507",2021-06-11,0.0476
"508",2021-06-14,0.0483
"509",2021-06-15,0.0449000000000001
"510",2021-06-16,0.0471
"511",2021-06-17,0.0534999999999999
"512",2021-06-18,0.0573000000000001
"513",2021-06-21,0.0647
"514",2021-06-22,0.0694
"515",2021-06-23,0.0927
"516",2021-06-24,0.073
"517",2021-06-25,0.0926
"518",2021-06-28,0.0986
"519",2021-06-29,0.1041
"520",2021-06-30,0.099
"521",2021-07-01,0.1139
"522",2021-07-02,0.1109
"523",2021-07-06,0.1402
"524",2021-07-07,0.1381
"525",2021-07-08,0.1566
"526",2021-07-09,0.1471
"527",2021-07-12,0.1545
"528",2021-07-13,0.1558
"529",2021-07-14,0.1734
"530",2021-07-15,0.1556
"531",2021-07-16,0.1536
"532",2021-07-19,0.1431
"533",2021-07-20,0.1497
"534",2021-07-21,0.1335
"535",2021-07-22,0.1447
"536",2021-07-23,0.1213
"537",2021-07-26,0.0957
"538",2021-07-27,0.057
"539",2021-07-28,0.0406
"540",2021-07-29,0.0695
"541",2021-07-30,0.0755
"542",2021-08-02,0.0933
"543",2021-08-03,0.124
"544",2021-08-04,0.1819
"545",2021-08-05,0.1882
"546",2021-08-06,0.2641
"547",2021-08-09,0.2986
"548",2021-08-10,0.3355
"549",2021-08-11,0.3637
"550",2021-08-12,0.3813
"551",2021-08-13,0.3373
"552",2021-08-16,0.3382
"553",2021-08-17,0.2684
"554",2021-08-18,0.2785
"555",2021-08-19,0.238
"556",2021-08-20,0.2681
"557",2021-08-23,0.2412
"558",2021-08-24,0.2537
"559",2021-08-25,0.2285
