"","date","FTNT"
"1",2022-04-18,0.2229
"2",2022-04-19,0.2285
"3",2022-04-20,0.2365
"4",2022-04-21,0.2313
"5",2022-04-22,0.235
"6",2022-04-25,0.2346
"7",2022-04-26,0.2369
"8",2022-04-27,0.2395
"9",2022-04-28,0.2427
"10",2022-04-29,0.2481
"11",2022-05-02,0.248
"12",2022-05-03,0.2496
"13",2022-05-04,0.2502
"14",2022-05-05,0.2539
"15",2022-05-06,0.2586
"16",2022-05-09,0.2594
"17",2022-05-10,0.2634
"18",2022-05-11,0.2614
"19",2022-05-12,0.2599
"20",2022-05-13,0.2642
"21",2022-05-16,0.2659
"22",2022-05-17,0.2674
"23",2022-05-18,0.2628
"24",2022-05-19,0.2605
"25",2022-05-20,0.2537
"26",2022-05-23,0.2549
"27",2022-05-24,0.2639
"28",2022-05-25,0.265
"29",2022-05-26,0.2716
"30",2022-05-27,0.2714
"31",2022-05-31,0.2696
"32",2022-06-01,0.2766
"33",2022-06-02,0.2826
"34",2022-06-03,0.2806
"35",2022-06-06,0.2849
"36",2022-06-07,0.2836
"37",2022-06-08,0.283
"38",2022-06-09,0.2837
"39",2022-06-10,0.2818
"40",2022-06-13,0.2837
"41",2022-06-14,0.2872
"42",2022-06-15,0.2911
"43",2022-06-16,0.2833
"44",2022-06-17,0.2749
"45",2022-06-21,0.2782
"46",2022-06-22,0.2765
"47",2022-06-23,0.2801
"48",2022-06-24,0.2835
"49",2022-06-27,0.2814
"50",2022-06-28,0.2799
"51",2022-06-29,0.2818
"52",2022-06-30,0.2874
"53",2022-07-01,0.2849
"54",2022-07-05,0.2816
"55",2022-07-06,0.2782
"56",2022-07-07,0.2791
"57",2022-07-08,0.2823
"58",2022-07-11,0.2833
"59",2022-07-12,0.2865
"60",2022-07-13,0.2859
"61",2022-07-14,0.2803
"62",2022-07-15,0.2843
"63",2022-07-18,0.2826
"64",2022-07-19,0.2731
"65",2022-07-20,0.2746
"66",2022-07-21,0.279
"67",2022-07-22,0.2773
"68",2022-07-25,0.2777
"69",2022-07-26,0.2785
"70",2022-07-27,0.2764
"71",2022-07-28,0.2723
"72",2022-07-29,0.2699
"73",2022-08-01,0.2692
"74",2022-08-02,0.2686
"75",2022-08-03,0.2661
"76",2022-08-04,0.2689
"77",2022-08-05,0.2745
"78",2022-08-08,0.2744
"79",2022-08-09,0.2752
"80",2022-08-10,0.2786
"81",2022-08-11,0.2819
"82",2022-08-12,0.286
"83",2022-08-15,0.2783
"84",2022-08-16,0.2738
"85",2022-08-17,0.2709
"86",2022-08-18,0.2701
"87",2022-08-19,0.2752
"88",2022-08-22,0.2696
"89",2022-08-23,0.2639
"90",2022-08-24,0.2633
"91",2022-08-25,0.2638
"92",2022-08-26,0.2729
"93",2022-08-29,0.2797
"94",2022-08-30,0.2765
"95",2022-08-31,0.2756
"96",2022-09-01,0.2757
"97",2022-09-02,0.2716
"98",2022-09-06,0.2715
"99",2022-09-07,0.2725
"100",2022-09-08,0.2696
"101",2022-09-09,0.2779
"102",2022-09-12,0.2808
"103",2022-09-13,0.2771
"104",2022-09-14,0.2748
"105",2022-09-15,0.2733
"106",2022-09-16,0.2714
"107",2022-09-19,0.2736
"108",2022-09-20,0.2699
"109",2022-09-21,0.2696
"110",2022-09-22,0.2733
"111",2022-09-23,0.2748
"112",2022-09-26,0.2814
"113",2022-09-27,0.2789
"114",2022-09-28,0.2739
"115",2022-09-29,0.2675
"116",2022-09-30,0.2671
"117",2022-10-03,0.2751
"118",2022-10-04,0.2843
"119",2022-10-05,0.2831
"120",2022-10-06,0.2912
"121",2022-10-07,0.2835
"122",2022-10-10,0.2859
"123",2022-10-11,0.2874
"124",2022-10-12,0.2817
"125",2022-10-13,0.2867
"126",2022-10-14,0.2852
"127",2022-10-17,0.2841
"128",2022-10-18,0.2803
"129",2022-10-19,0.2874
"130",2022-10-20,0.286
