"","date","INTU"
"1",2019-06-10,0.2326
"2",2019-06-11,0.2298
"3",2019-06-12,0.2174
"4",2019-06-13,0.2451
"5",2019-06-14,0.2332
"6",2019-06-17,0.2385
"7",2019-06-18,0.2323
"8",2019-06-19,0.2311
"9",2019-06-20,0.2262
"10",2019-06-21,0.224
"11",2019-06-24,0.2383
"12",2019-06-25,0.2345
"13",2019-06-26,0.2081
"14",2019-06-27,0.224
"15",2019-06-28,0.2192
"16",2019-07-01,0.24
"17",2019-07-02,0.2377
"18",2019-07-03,0.257
"19",2019-07-05,0.2268
"20",2019-07-08,0.2239
"21",2019-07-09,0.22
"22",2019-07-10,0.222
"23",2019-07-11,0.2063
"24",2019-07-12,0.226
"25",2019-07-15,0.2142
"26",2019-07-16,0.2464
"27",2019-07-17,0.2233
"28",2019-07-18,0.2145
"29",2019-07-19,0.2162
"30",2019-07-22,0.2146
"31",2019-07-23,0.1989
"32",2019-07-24,0.2053
"33",2019-07-25,0.2183
"34",2019-07-26,0.2209
"35",2019-07-29,0.2186
"36",2019-07-30,0.2239
"37",2019-07-31,0.2056
"38",2019-08-01,0.2098
"39",2019-08-02,0.1996
"40",2019-08-05,0.2097
"41",2019-08-06,0.215
"42",2019-08-07,0.2072
"43",2019-08-08,0.1953
"44",2019-08-09,0.2261
"45",2019-08-12,0.2359
"46",2019-08-13,0.2656
"47",2019-08-14,0.2455
"48",2019-08-15,0.2359
"49",2019-08-16,0.2012
"50",2019-08-19,0.197
"51",2019-08-20,0.2094
"52",2019-08-21,0.2134
"53",2019-08-22,0.2064
"54",2019-08-23,0.1948
"55",2019-08-26,0.1636
"56",2019-08-27,0.1855
"57",2019-08-28,0.1942
"58",2019-08-29,0.2044
"59",2019-08-30,0.2044
"60",2019-09-03,0.2192
"61",2019-09-04,0.214
"62",2019-09-05,0.2299
"63",2019-09-06,0.2428
"64",2019-09-09,0.2424
"65",2019-09-10,0.2546
"66",2019-09-11,0.2687
"67",2019-09-12,0.2337
"68",2019-09-13,0.25
"69",2019-09-16,0.2324
"70",2019-09-17,0.2605
"71",2019-09-18,0.2793
"72",2019-09-19,0.2719
"73",2019-09-20,0.274
"74",2019-09-23,0.284
"75",2019-09-24,0.2725
"76",2019-09-25,0.283
"77",2019-09-26,0.2707
"78",2019-09-27,0.2727
"79",2019-09-30,0.2406
"80",2019-10-01,0.2461
"81",2019-10-02,0.28
"82",2019-10-03,0.2858
"83",2019-10-04,0.2764
"84",2019-10-07,0.2875
"85",2019-10-08,0.2635
"86",2019-10-09,0.2835
"87",2019-10-10,0.2637
"88",2019-10-11,0.2709
"89",2019-10-14,0.2599
"90",2019-10-15,0.2558
"91",2019-10-16,0.253
"92",2019-10-17,0.2611
"93",2019-10-18,0.2586
"94",2019-10-21,0.2665
"95",2019-10-22,0.257
"96",2019-10-23,0.2517
"97",2019-10-24,0.2268
"98",2019-10-25,0.2281
"99",2019-10-28,0.2238
"100",2019-10-29,0.2198
"101",2019-10-30,0.2178
"102",2019-10-31,0.2249
"103",2019-11-01,0.2005
"104",2019-11-04,0.2247
"105",2019-11-05,0.2226
"106",2019-11-06,0.2488
"107",2019-11-07,0.2355
"108",2019-11-08,0.2213
"109",2019-11-11,0.211
"110",2019-11-12,0.2225
"111",2019-11-13,0.2217
"112",2019-11-14,0.2217
"113",2019-11-15,0.2116
"114",2019-11-18,0.2096
"115",2019-11-19,0.1886
"116",2019-11-20,0.2071
"117",2019-11-21,0.2143
"118",2019-11-22,0.2152
"119",2019-11-25,0.2156
"120",2019-11-26,0.2468
"121",2019-11-27,0.2395
"122",2019-11-29,0.2368
"123",2019-12-02,0.2333
"124",2019-12-03,0.2291
"125",2019-12-04,0.2111
"126",2019-12-05,0.2187
"127",2019-12-06,0.1792
"128",2019-12-09,0.1823
"129",2019-12-10,0.1901
"130",2019-12-11,0.2071
"131",2019-12-12,0.22
"132",2019-12-13,0.2111
"133",2019-12-16,0.2016
"134",2019-12-17,0.1995
"135",2019-12-18,0.1888
"136",2019-12-19,0.2048
"137",2019-12-20,0.1823
"138",2019-12-23,0.1787
"139",2019-12-24,0.1733
"140",2019-12-26,0.1934
"141",2019-12-27,0.2123
"142",2019-12-30,0.2151
"143",2019-12-31,0.231
"144",2020-01-02,0.2504
"145",2020-01-03,0.2184
"146",2020-01-06,0.2416
"147",2020-01-07,0.2188
"148",2020-01-08,0.2092
"149",2020-01-09,0.2084
"150",2020-01-10,0.229
"151",2020-01-13,0.2332
"152",2020-01-14,0.2254
"153",2020-01-15,0.2246
"154",2020-01-16,0.2506
"155",2020-01-17,0.2499
"156",2020-01-21,0.2607
"157",2020-01-22,0.2429
"158",2020-01-23,0.242
"159",2020-01-24,0.2323
"160",2020-01-27,0.226
"161",2020-01-28,0.2633
"162",2020-01-29,0.2499
"163",2020-01-30,0.2368
"164",2020-01-31,0.2431
"165",2020-02-03,0.2499
"166",2020-02-04,0.2616
"167",2020-02-05,0.2372
"168",2020-02-06,0.2206
"169",2020-02-07,0.2152
"170",2020-02-10,0.1981
"171",2020-02-11,0.2156
"172",2020-02-12,0.2423
"173",2020-02-13,0.2434
"174",2020-02-14,0.2425
"175",2020-02-18,0.2328
"176",2020-02-19,0.2478
"177",2020-02-20,0.2383
"178",2020-02-21,0.2271
"179",2020-02-24,0.2142
"180",2020-02-25,0.2068
"181",2020-02-26,0.2116
"182",2020-02-27,0.2315
"183",2020-02-28,0.2457
"184",2020-03-02,0.2347
"185",2020-03-03,0.2487
"186",2020-03-04,0.2543
"187",2020-03-05,0.25
"188",2020-03-06,0.2408
"189",2020-03-09,0.2432
"190",2020-03-10,0.2496
"191",2020-03-11,0.2555
"192",2020-03-12,0.2387
"193",2020-03-13,0.2349
"194",2020-03-16,0.2666
"195",2020-03-17,0.2674
"196",2020-03-18,0.2594
"197",2020-03-19,0.2396
"198",2020-03-20,0.2428
"199",2020-03-23,0.231
"200",2020-03-24,0.2714
"201",2020-03-25,0.2973
"202",2020-03-26,0.336
"203",2020-03-27,0.3351
"204",2020-03-30,0.3248
"205",2020-03-31,0.3094
"206",2020-04-01,0.3234
"207",2020-04-02,0.2938
"208",2020-04-03,0.2803
"209",2020-04-06,0.2583
"210",2020-04-07,0.2809
"211",2020-04-08,0.3085
"212",2020-04-09,0.3234
"213",2020-04-13,0.3249
"214",2020-04-14,0.3379
"215",2020-04-15,0.3153
"216",2020-04-16,0.3479
"217",2020-04-17,0.3255
"218",2020-04-20,0.3131
"219",2020-04-21,0.2986
"220",2020-04-22,0.3049
"221",2020-04-23,0.3299
"222",2020-04-24,0.3475
"223",2020-04-27,0.3001
"224",2020-04-28,0.3411
"225",2020-04-29,0.3372
"226",2020-04-30,0.3738
"227",2020-05-01,0.3746
"228",2020-05-04,0.3437
"229",2020-05-05,0.2872
"230",2020-05-06,0.2966
"231",2020-05-07,0.3014
"232",2020-05-08,0.3058
