"","date","LLY"
"1",2020-11-10,0.3109
"2",2020-11-11,0.3217
"3",2020-11-12,0.3229
"4",2020-11-13,0.3269
"5",2020-11-16,0.3147
"6",2020-11-17,0.3154
"7",2020-11-18,0.3342
"8",2020-11-19,0.3395
"9",2020-11-20,0.3327
"10",2020-11-23,0.3235
"11",2020-11-24,0.3228
"12",2020-11-25,0.3319
"13",2020-11-27,0.3428
"14",2020-11-30,0.3465
"15",2020-12-01,0.3418
"16",2020-12-02,0.3345
"17",2020-12-03,0.3407
"18",2020-12-04,0.3457
"19",2020-12-07,0.3417
"20",2020-12-08,0.3399
"21",2020-12-09,0.3389
"22",2020-12-10,0.34
"23",2020-12-11,0.3366
"24",2020-12-14,0.3417
"25",2020-12-15,0.3428
"26",2020-12-16,0.3453
"27",2020-12-17,0.3493
"28",2020-12-18,0.333
"29",2020-12-21,0.3277
"30",2020-12-22,0.3348
"31",2020-12-23,0.346
"32",2020-12-24,0.3509
"33",2020-12-28,0.3452
"34",2020-12-29,0.3472
"35",2020-12-30,0.3445
"36",2020-12-31,0.3408
"37",2021-01-04,0.3576
"38",2021-01-05,0.3456
"39",2021-01-06,0.3359
"40",2021-01-07,0.3337
"41",2021-01-08,0.3355
"42",2021-01-11,0.3489
"43",2021-01-12,0.3466
"44",2021-01-13,0.3438
"45",2021-01-14,0.3407
"46",2021-01-15,0.3451
"47",2021-01-19,0.3514
"48",2021-01-20,0.3542
"49",2021-01-21,0.3394
"50",2021-01-22,0.3391
"51",2021-01-25,0.3349
"52",2021-01-26,0.3334
"53",2021-01-27,0.3302
"54",2021-01-28,0.3354
"55",2021-01-29,0.3367
"56",2021-02-01,0.3333
"57",2021-02-02,0.3461
"58",2021-02-03,0.3465
"59",2021-02-04,0.349
"60",2021-02-05,0.3465
"61",2021-02-08,0.3407
"62",2021-02-09,0.3343
"63",2021-02-10,0.3323
"64",2021-02-11,0.328
"65",2021-02-12,0.3246
"66",2021-02-16,0.329
"67",2021-02-17,0.3443
"68",2021-02-18,0.3444
"69",2021-02-19,0.3382
"70",2021-02-22,0.3414
"71",2021-02-23,0.3388
"72",2021-02-24,0.3429
"73",2021-02-25,0.3517
"74",2021-02-26,0.3536
"75",2021-03-01,0.3353
"76",2021-03-02,0.3237
"77",2021-03-03,0.3275
"78",2021-03-04,0.332
"79",2021-03-05,0.3288
"80",2021-03-08,0.3238
"81",2021-03-09,0.3285
"82",2021-03-10,0.3351
"83",2021-03-11,0.3341
"84",2021-03-12,0.3337
"85",2021-03-15,0.3332
"86",2021-03-16,0.3343
"87",2021-03-17,0.3423
"88",2021-03-18,0.3379
"89",2021-03-19,0.3364
"90",2021-03-22,0.3397
"91",2021-03-23,0.3369
"92",2021-03-24,0.3459
"93",2021-03-25,0.3379
"94",2021-03-26,0.3281
"95",2021-03-29,0.3158
"96",2021-03-30,0.3111
"97",2021-03-31,0.3225
"98",2021-04-01,0.3183
"99",2021-04-05,0.3092
"100",2021-04-06,0.3045
"101",2021-04-07,0.2984
"102",2021-04-08,0.3173
"103",2021-04-09,0.3207
"104",2021-04-12,0.3137
"105",2021-04-13,0.2971
"106",2021-04-14,0.2952
"107",2021-04-15,0.3093
"108",2021-04-16,0.2987
"109",2021-04-19,0.2941
"110",2021-04-20,0.294
"111",2021-04-21,0.2904
"112",2021-04-22,0.2931
"113",2021-04-23,0.2811
"114",2021-04-26,0.2742
"115",2021-04-27,0.2698
"116",2021-04-28,0.2646
"117",2021-04-29,0.2719
"118",2021-04-30,0.2708
"119",2021-05-03,0.2674
"120",2021-05-04,0.2655
"121",2021-05-05,0.2698
"122",2021-05-06,0.2718
"123",2021-05-07,0.2688
"124",2021-05-10,0.256
"125",2021-05-11,0.2514
"126",2021-05-12,0.247
"127",2021-05-13,0.2516
"128",2021-05-14,0.249
"129",2021-05-17,0.2485
"130",2021-05-18,0.2531
"131",2021-05-19,0.243
"132",2021-05-20,0.2487
"133",2021-05-21,0.2478
"134",2021-05-24,0.2423
"135",2021-05-25,0.219
"136",2021-05-26,0.204
"137",2021-05-27,0.1901
"138",2021-05-28,0.1768
"139",2021-06-01,0.1565
"140",2021-06-02,0.14
"141",2021-06-03,0.1378
"142",2021-06-04,0.1393
"143",2021-06-07,0.1395
"144",2021-06-08,0.1428
"145",2021-06-09,0.1358
"146",2021-06-10,0.1352
"147",2021-06-11,0.1467
"148",2021-06-14,0.1359
"149",2021-06-15,0.1233
"150",2021-06-16,0.121
"151",2021-06-17,0.123
"152",2021-06-18,0.1201
"153",2021-06-21,0.117
"154",2021-06-22,0.1216
"155",2021-06-23,0.1323
"156",2021-06-24,0.1618
"157",2021-06-25,0.197
"158",2021-06-28,0.1987
"159",2021-06-29,0.1825
"160",2021-06-30,0.1768
"161",2021-07-01,0.1624
"162",2021-07-02,0.1644
"163",2021-07-06,0.1596
"164",2021-07-07,0.1538
"165",2021-07-08,0.136
"166",2021-07-09,0.1313
"167",2021-07-12,0.1481
"168",2021-07-13,0.153
"169",2021-07-14,0.1503
"170",2021-07-15,0.1511
"171",2021-07-16,0.1375
"172",2021-07-19,0.1355
"173",2021-07-20,0.1406
"174",2021-07-21,0.1469
"175",2021-07-22,0.1384
"176",2021-07-23,0.1362
"177",2021-07-26,0.1473
"178",2021-07-27,0.1488
"179",2021-07-28,0.139
"180",2021-07-29,0.1514
"181",2021-07-30,0.1481
"182",2021-08-02,0.1466
"183",2021-08-03,0.1478
"184",2021-08-04,0.1536
"185",2021-08-05,0.1595
"186",2021-08-06,0.1682
"187",2021-08-09,0.1799
"188",2021-08-10,0.1771
"189",2021-08-11,0.1765
"190",2021-08-12,0.177
"191",2021-08-13,0.1773
"192",2021-08-16,0.186
"193",2021-08-17,0.185
"194",2021-08-18,0.1834
"195",2021-08-19,0.1771
"196",2021-08-20,0.1675
"197",2021-08-23,0.1714
"198",2021-08-24,0.1784
"199",2021-08-25,0.1857
"200",2021-08-26,0.1999
"201",2021-08-27,0.1933
"202",2021-08-30,0.2072
"203",2021-08-31,0.2068
"204",2021-09-01,0.2087
"205",2021-09-02,0.2034
"206",2021-09-03,0.2124
"207",2021-09-07,0.2248
"208",2021-09-08,0.2139
"209",2021-09-09,0.2029
"210",2021-09-10,0.2088
"211",2021-09-13,0.217
"212",2021-09-14,0.2228
"213",2021-09-15,0.2312
"214",2021-09-16,0.2323
"215",2021-09-17,0.2206
"216",2021-09-20,0.2318
"217",2021-09-21,0.2454
"218",2021-09-22,0.2463
"219",2021-09-23,0.2358
"220",2021-09-24,0.2306
"221",2021-09-27,0.2262
"222",2021-09-28,0.2344
"223",2021-09-29,0.2344
"224",2021-09-30,0.2424
"225",2021-10-01,0.2347
"226",2021-10-04,0.24
"227",2021-10-05,0.2581
"228",2021-10-06,0.2676
"229",2021-10-07,0.2611
"230",2021-10-08,0.2627
"231",2021-10-11,0.2588
"232",2021-10-12,0.2645
"233",2021-10-13,0.2589
"234",2021-10-14,0.2584
"235",2021-10-15,0.2546
"236",2021-10-18,0.2516
"237",2021-10-19,0.2669
"238",2021-10-20,0.2681
"239",2021-10-21,0.2683
"240",2021-10-22,0.2776
"241",2021-10-25,0.2787
"242",2021-10-26,0.2785
"243",2021-10-27,0.2717
"244",2021-10-28,0.2676
"245",2021-10-29,0.2588
"246",2021-11-01,0.2641
"247",2021-11-02,0.2692
"248",2021-11-03,0.2596
"249",2021-11-04,0.2489
"250",2021-11-05,0.2554
"251",2021-11-08,0.2572
"252",2021-11-09,0.2624
"253",2021-11-10,0.2604
"254",2021-11-11,0.253
"255",2021-11-12,0.2406
"256",2021-11-15,0.2272
"257",2021-11-16,0.2264
"258",2021-11-17,0.2298
"259",2021-11-18,0.2259
"260",2021-11-19,0.2279
"261",2021-11-22,0.2255
"262",2021-11-23,0.2275
"263",2021-11-24,0.2268
"264",2021-11-26,0.2285
"265",2021-11-29,0.2183
"266",2021-11-30,0.2174
"267",2021-12-01,0.2115
"268",2021-12-02,0.197
"269",2021-12-03,0.1748
"270",2021-12-06,0.1638
"271",2021-12-07,0.1528
"272",2021-12-08,0.1609
"273",2021-12-09,0.1648
"274",2021-12-10,0.1658
"275",2021-12-13,0.1586
"276",2021-12-14,0.1624
"277",2021-12-15,0.1705
"278",2021-12-16,0.1569
"279",2021-12-17,0.1417
"280",2021-12-20,0.1303
"281",2021-12-21,0.1154
"282",2021-12-22,0.1226
"283",2021-12-23,0.1265
"284",2021-12-27,0.1297
"285",2021-12-28,0.1131
"286",2021-12-29,0.115
"287",2021-12-30,0.1273
"288",2021-12-31,0.1307
"289",2022-01-03,0.1247
"290",2022-01-04,0.1296
"291",2022-01-05,0.1248
"292",2022-01-06,0.1258
"293",2022-01-07,0.1284
"294",2022-01-10,0.1368
"295",2022-01-11,0.1382
"296",2022-01-12,0.1402
"297",2022-01-13,0.1603
"298",2022-01-14,0.1686
"299",2022-01-18,0.165
"300",2022-01-19,0.1688
"301",2022-01-20,0.1676
"302",2022-01-21,0.1703
"303",2022-01-24,0.1634
"304",2022-01-25,0.1623
"305",2022-01-26,0.1531
"306",2022-01-27,0.1586
"307",2022-01-28,0.1705
"308",2022-01-31,0.1645
"309",2022-02-01,0.1516
"310",2022-02-02,0.1609
"311",2022-02-03,0.1562
"312",2022-02-04,0.1706
"313",2022-02-07,0.1554
"314",2022-02-08,0.1418
"315",2022-02-09,0.1242
"316",2022-02-10,0.1216
"317",2022-02-11,0.1258
"318",2022-02-14,0.1172
"319",2022-02-15,0.106
"320",2022-02-16,0.1077
"321",2022-02-17,0.1045
"322",2022-02-18,0.1086
"323",2022-02-22,0.1079
"324",2022-02-23,0.1139
