"","date","LREN3"
"1",2020-03-19,0.2779
"2",2020-03-20,0.2709
"3",2020-03-23,0.2793
"4",2020-03-24,0.2866
"5",2020-03-25,0.3053
"6",2020-03-26,0.3603
"7",2020-03-27,0.3623
"8",2020-03-30,0.3942
"9",2020-03-31,0.3791
"10",2020-04-01,0.375
"11",2020-04-02,0.3534
"12",2020-04-03,0.3501
"13",2020-04-06,0.3591
"14",2020-04-07,0.3898
"15",2020-04-08,0.416
"16",2020-04-09,0.4095
"17",2020-04-13,0.3732
"18",2020-04-14,0.3773
"19",2020-04-15,0.3475
"20",2020-04-16,0.3603
"21",2020-04-17,0.3152
"22",2020-04-20,0.324
"23",2020-04-22,0.3219
"24",2020-04-23,0.344
"25",2020-04-24,0.337
"26",2020-04-27,0.3429
"27",2020-04-28,0.3115
"28",2020-04-29,0.3177
"29",2020-04-30,0.317
"30",2020-05-04,0.3394
"31",2020-05-05,0.3239
"32",2020-05-06,0.3014
"33",2020-05-07,0.2674
"34",2020-05-08,0.2424
"35",2020-05-11,0.2286
"36",2020-05-12,0.2504
"37",2020-05-13,0.2291
"38",2020-05-14,0.2242
"39",2020-05-15,0.2131
"40",2020-05-18,0.2284
"41",2020-05-19,0.2352
"42",2020-05-20,0.2157
"43",2020-05-21,0.2098
"44",2020-05-22,0.2012
"45",2020-05-25,0.2009
"46",2020-05-26,0.2149
"47",2020-05-27,0.1785
"48",2020-05-28,0.1805
"49",2020-05-29,0.1321
"50",2020-06-01,0.1418
"51",2020-06-02,0.1315
"52",2020-06-03,0.1478
"53",2020-06-04,0.1362
"54",2020-06-05,0.1489
"55",2020-06-08,0.1401
"56",2020-06-09,0.1334
"57",2020-06-10,0.0854
"58",2020-06-12,0.0801
"59",2020-06-15,0.0859
"60",2020-06-16,0.0911000000000001
"61",2020-06-17,0.0845
"62",2020-06-18,0.1005
"63",2020-06-19,0.0902999999999999
"64",2020-06-22,0.085
"65",2020-06-23,0.0911
"66",2020-06-24,0.0985
"67",2020-06-25,0.0818
"68",2020-06-26,0.0681
"69",2020-06-29,0.0807
"70",2020-06-30,0.0866
"71",2020-07-01,0.0876
"72",2020-07-02,0.0925
"73",2020-07-03,0.083
"74",2020-07-06,0.0727
"75",2020-07-07,0.0694
"76",2020-07-08,0.0696000000000001
"77",2020-07-09,0.0737
"78",2020-07-10,0.0586
"79",2020-07-13,0.0544
"80",2020-07-14,0.0791
"81",2020-07-15,0.0706
"82",2020-07-16,0.06
"83",2020-07-17,0.0574
"84",2020-07-20,0.0633
"85",2020-07-21,0.0559
"86",2020-07-22,0.0627
"87",2020-07-23,0.0579
"88",2020-07-24,0.0657
"89",2020-07-27,0.0641
"90",2020-07-28,0.0774
"91",2020-07-29,0.0687
"92",2020-07-30,0.073
"93",2020-07-31,0.054
"94",2020-08-03,0.0658
"95",2020-08-04,0.0781
"96",2020-08-05,0.0952
"97",2020-08-06,0.0787
"98",2020-08-07,0.0790999999999999
"99",2020-08-10,0.0691
"100",2020-08-11,0.0786
"101",2020-08-12,0.0842000000000001
"102",2020-08-13,0.0926999999999999
"103",2020-08-14,0.0898
"104",2020-08-17,0.0825
"105",2020-08-18,0.0657
"106",2020-08-19,0.0721
"107",2020-08-20,0.0656
"108",2020-08-21,0.0665
"109",2020-08-24,0.0814
"110",2020-08-25,0.0774
"111",2020-08-26,0.0704
"112",2020-08-27,0.0753
"113",2020-08-28,0.0836
"114",2020-08-31,0.0917
"115",2020-09-01,0.0861
"116",2020-09-02,0.0892
"117",2020-09-03,0.0776000000000001
"118",2020-09-04,0.0669
"119",2020-09-08,0.0713
"120",2020-09-09,0.0674
"121",2020-09-10,0.0671
"122",2020-09-11,0.0665
"123",2020-09-14,0.063
"124",2020-09-15,0.0630000000000001
"125",2020-09-16,0.0777999999999999
"126",2020-09-17,0.0915
"127",2020-09-18,0.0895
"128",2020-09-21,0.0976
"129",2020-09-22,0.0799
"130",2020-09-23,0.0765
"131",2020-09-24,0.0759
"132",2020-09-25,0.0813
"133",2020-09-28,0.0694
"134",2020-09-29,0.0837
"135",2020-09-30,0.1063
"136",2020-10-01,0.1177
"137",2020-10-02,0.0846
"138",2020-10-05,0.0801
"139",2020-10-06,0.0769
"140",2020-10-07,0.0875000000000001
"141",2020-10-08,0.0774
"142",2020-10-09,0.0932999999999999
"143",2020-10-13,0.0917
"144",2020-10-14,0.1173
"145",2020-10-15,0.1271
"146",2020-10-16,0.142
"147",2020-10-19,0.1117
"148",2020-10-20,0.1031
"149",2020-10-21,0.0968
"150",2020-10-22,0.1215
"151",2020-10-23,0.1053
"152",2020-10-26,0.0931
"153",2020-10-27,0.0773
"154",2020-10-28,0.0651
"155",2020-10-29,0.0693
"156",2020-10-30,0.0812
"157",2020-11-03,0.078
"158",2020-11-04,0.0842000000000001
"159",2020-11-05,0.0721000000000001
"160",2020-11-06,0.0657
"161",2020-11-09,0.0634000000000001
"162",2020-11-10,0.0574
"163",2020-11-11,0.0533999999999999
"164",2020-11-12,0.0563
"165",2020-11-13,0.0707
"166",2020-11-16,0.0693
"167",2020-11-17,0.0817
"168",2020-11-18,0.0776
"169",2020-11-19,0.0838
"170",2020-11-23,0.0783
"171",2020-11-24,0.0698
"172",2020-11-25,0.0677
"173",2020-11-26,0.059
"174",2020-11-27,0.0699
"175",2020-11-30,0.0683
"176",2020-12-01,0.0751
"177",2020-12-02,0.056
"178",2020-12-03,0.0606
"179",2020-12-04,0.0634
"180",2020-12-07,0.0704
"181",2020-12-08,0.0565000000000001
"182",2020-12-09,0.0618
"183",2020-12-10,0.0689
"184",2020-12-11,0.0864
"185",2020-12-14,0.1001
"186",2020-12-15,0.1114
"187",2020-12-16,0.0938
"188",2020-12-17,0.0859
"189",2020-12-18,0.0755
"190",2020-12-21,0.0908
"191",2020-12-22,0.0905
"192",2020-12-23,0.0902
"193",2020-12-28,0.0791000000000001
"194",2020-12-29,0.0794
"195",2020-12-30,0.0952000000000001
"196",2021-01-04,0.0984
"197",2021-01-05,0.0807
"198",2021-01-06,0.0902
"199",2021-01-07,0.088
