"","date","MPWR"
"1",2020-11-10,0.252
"2",2020-11-11,0.2605
"3",2020-11-12,0.2509
"4",2020-11-13,0.2386
"5",2020-11-16,0.2345
"6",2020-11-17,0.2418
"7",2020-11-18,0.2294
"8",2020-11-19,0.2266
"9",2020-11-20,0.2284
"10",2020-11-23,0.2382
"11",2020-11-24,0.2355
"12",2020-11-25,0.2435
"13",2020-11-27,0.2332
"14",2020-11-30,0.2382
"15",2020-12-01,0.239
"16",2020-12-02,0.2369
"17",2020-12-03,0.2401
"18",2020-12-04,0.2402
"19",2020-12-07,0.2222
"20",2020-12-08,0.2256
"21",2020-12-09,0.232
"22",2020-12-10,0.2366
"23",2020-12-11,0.2335
"24",2020-12-14,0.2428
"25",2020-12-15,0.2283
"26",2020-12-16,0.2307
"27",2020-12-17,0.2279
"28",2020-12-18,0.2276
"29",2020-12-21,0.2288
"30",2020-12-22,0.2404
"31",2020-12-23,0.2359
"32",2020-12-24,0.2423
"33",2020-12-28,0.2414
"34",2020-12-29,0.2504
"35",2020-12-30,0.2577
"36",2020-12-31,0.2616
"37",2021-01-04,0.2575
"38",2021-01-05,0.2605
"39",2021-01-06,0.264
"40",2021-01-07,0.2634
"41",2021-01-08,0.2663
"42",2021-01-11,0.2854
"43",2021-01-12,0.2751
"44",2021-01-13,0.265
"45",2021-01-14,0.2692
"46",2021-01-15,0.2715
"47",2021-01-19,0.2626
"48",2021-01-20,0.263
"49",2021-01-21,0.2554
"50",2021-01-22,0.2747
"51",2021-01-25,0.2778
"52",2021-01-26,0.2689
"53",2021-01-27,0.261
"54",2021-01-28,0.2773
"55",2021-01-29,0.2698
"56",2021-02-01,0.2813
"57",2021-02-02,0.2905
"58",2021-02-03,0.287
"59",2021-02-04,0.2831
"60",2021-02-05,0.2919
"61",2021-02-08,0.2895
"62",2021-02-09,0.2994
"63",2021-02-10,0.2913
"64",2021-02-11,0.2827
"65",2021-02-12,0.2808
"66",2021-02-16,0.287
"67",2021-02-17,0.2869
"68",2021-02-18,0.2942
"69",2021-02-19,0.297
"70",2021-02-22,0.2979
"71",2021-02-23,0.2994
"72",2021-02-24,0.3023
"73",2021-02-25,0.2987
"74",2021-02-26,0.3147
"75",2021-03-01,0.3128
"76",2021-03-02,0.3173
"77",2021-03-03,0.3128
"78",2021-03-04,0.3071
"79",2021-03-05,0.3056
"80",2021-03-08,0.3084
"81",2021-03-09,0.3102
"82",2021-03-10,0.3146
"83",2021-03-11,0.3105
"84",2021-03-12,0.3414
"85",2021-03-15,0.3569
"86",2021-03-16,0.3511
"87",2021-03-17,0.3468
"88",2021-03-18,0.3357
"89",2021-03-19,0.3282
"90",2021-03-22,0.3695
"91",2021-03-23,0.3445
"92",2021-03-24,0.334
"93",2021-03-25,0.3238
"94",2021-03-26,0.3175
"95",2021-03-29,0.3041
"96",2021-03-30,0.2982
"97",2021-03-31,0.2949
"98",2021-04-01,0.3033
"99",2021-04-05,0.3076
"100",2021-04-06,0.297
"101",2021-04-07,0.3082
"102",2021-04-08,0.2991
"103",2021-04-09,0.2951
"104",2021-04-12,0.2914
"105",2021-04-13,0.2936
"106",2021-04-14,0.2924
"107",2021-04-15,0.2922
"108",2021-04-16,0.2866
"109",2021-04-19,0.2876
"110",2021-04-20,0.2942
"111",2021-04-21,0.2887
"112",2021-04-22,0.2973
"113",2021-04-23,0.2894
"114",2021-04-26,0.301
"115",2021-04-27,0.2916
"116",2021-04-28,0.29
"117",2021-04-29,0.2891
"118",2021-04-30,0.2931
"119",2021-05-03,0.2927
"120",2021-05-04,0.3022
"121",2021-05-05,0.2951
"122",2021-05-06,0.3007
"123",2021-05-07,0.2981
"124",2021-05-10,0.284
"125",2021-05-11,0.2897
"126",2021-05-12,0.2914
"127",2021-05-13,0.2971
"128",2021-05-14,0.2918
"129",2021-05-17,0.2971
"130",2021-05-18,0.2863
"131",2021-05-19,0.2879
"132",2021-05-20,0.2905
"133",2021-05-21,0.2901
"134",2021-05-24,0.2925
"135",2021-05-25,0.2796
"136",2021-05-26,0.2767
"137",2021-05-27,0.2778
"138",2021-05-28,0.2806
"139",2021-06-01,0.2818
"140",2021-06-02,0.2972
"141",2021-06-03,0.3021
"142",2021-06-04,0.3022
"143",2021-06-07,0.2972
"144",2021-06-08,0.3097
"145",2021-06-09,0.3025
"146",2021-06-10,0.2975
"147",2021-06-11,0.2931
"148",2021-06-14,0.2812
"149",2021-06-15,0.2826
"150",2021-06-16,0.2748
"151",2021-06-17,0.2739
"152",2021-06-18,0.2826
"153",2021-06-21,0.2887
"154",2021-06-22,0.2963
"155",2021-06-23,0.2956
"156",2021-06-24,0.288
"157",2021-06-25,0.2755
"158",2021-06-28,0.2696
"159",2021-06-29,0.2707
"160",2021-06-30,0.2588
"161",2021-07-01,0.2634
"162",2021-07-02,0.2654
"163",2021-07-06,0.2569
"164",2021-07-07,0.264
"165",2021-07-08,0.2668
"166",2021-07-09,0.2721
"167",2021-07-12,0.2758
"168",2021-07-13,0.2744
"169",2021-07-14,0.2745
"170",2021-07-15,0.2754
"171",2021-07-16,0.2767
"172",2021-07-19,0.273
"173",2021-07-20,0.2668
"174",2021-07-21,0.2734
"175",2021-07-22,0.2659
"176",2021-07-23,0.2603
"177",2021-07-26,0.2685
"178",2021-07-27,0.2715
"179",2021-07-28,0.2578
"180",2021-07-29,0.2576
"181",2021-07-30,0.2589
"182",2021-08-02,0.2639
"183",2021-08-03,0.2647
"184",2021-08-04,0.2565
"185",2021-08-05,0.2623
"186",2021-08-06,0.2584
"187",2021-08-09,0.2549
"188",2021-08-10,0.2551
"189",2021-08-11,0.2613
"190",2021-08-12,0.2464
"191",2021-08-13,0.2493
"192",2021-08-16,0.2543
"193",2021-08-17,0.2553
"194",2021-08-18,0.2596
"195",2021-08-19,0.2513
"196",2021-08-20,0.2495
"197",2021-08-23,0.2539
"198",2021-08-24,0.2522
"199",2021-08-25,0.2495
"200",2021-08-26,0.2485
"201",2021-08-27,0.2413
"202",2021-08-30,0.2517
"203",2021-08-31,0.2544
"204",2021-09-01,0.2736
