"","date","OXY"
"1",2020-11-10,0.2834
"2",2020-11-11,0.2564
"3",2020-11-12,0.2764
"4",2020-11-13,0.2602
"5",2020-11-16,0.2752
"6",2020-11-17,0.2802
"7",2020-11-18,0.2749
"8",2020-11-19,0.2385
"9",2020-11-20,0.2677
"10",2020-11-23,0.2946
"11",2020-11-24,0.3206
"12",2020-11-25,0.3265
"13",2020-11-27,0.3269
"14",2020-11-30,0.3204
"15",2020-12-01,0.3018
"16",2020-12-02,0.2989
"17",2020-12-03,0.3129
"18",2020-12-04,0.306
"19",2020-12-07,0.2999
"20",2020-12-08,0.2732
"21",2020-12-09,0.3061
"22",2020-12-10,0.3179
"23",2020-12-11,0.3209
"24",2020-12-14,0.3344
"25",2020-12-15,0.3396
"26",2020-12-16,0.3307
"27",2020-12-17,0.3275
"28",2020-12-18,0.3102
"29",2020-12-21,0.3305
"30",2020-12-22,0.3252
"31",2020-12-23,0.3322
"32",2020-12-24,0.3445
"33",2020-12-28,0.3492
"34",2020-12-29,0.3468
"35",2020-12-30,0.3417
"36",2020-12-31,0.3435
"37",2021-01-04,0.3478
"38",2021-01-05,0.3277
"39",2021-01-06,0.3617
"40",2021-01-07,0.3637
"41",2021-01-08,0.3477
"42",2021-01-11,0.3356
"43",2021-01-12,0.3393
"44",2021-01-13,0.3192
"45",2021-01-14,0.3648
"46",2021-01-15,0.377
"47",2021-01-19,0.3847
"48",2021-01-20,0.3605
"49",2021-01-21,0.3705
"50",2021-01-22,0.3662
"51",2021-01-25,0.3673
"52",2021-01-26,0.342
"53",2021-01-27,0.3122
"54",2021-01-28,0.3169
"55",2021-01-29,0.334
"56",2021-02-01,0.3451
"57",2021-02-02,0.3547
"58",2021-02-03,0.3583
"59",2021-02-04,0.3782
"60",2021-02-05,0.3658
"61",2021-02-08,0.36
"62",2021-02-09,0.3433
"63",2021-02-10,0.3324
"64",2021-02-11,0.3065
"65",2021-02-12,0.3054
"66",2021-02-16,0.2989
"67",2021-02-17,0.2738
"68",2021-02-18,0.2435
"69",2021-02-19,0.2845
"70",2021-02-22,0.2766
"71",2021-02-23,0.2756
"72",2021-02-24,0.2472
"73",2021-02-25,0.2492
"74",2021-02-26,0.2483
"75",2021-03-01,0.2416
"76",2021-03-02,0.2532
"77",2021-03-03,0.249
"78",2021-03-04,0.2346
"79",2021-03-05,0.2242
"80",2021-03-08,0.201
"81",2021-03-09,0.2218
"82",2021-03-10,0.2142
"83",2021-03-11,0.2063
"84",2021-03-12,0.203
"85",2021-03-15,0.2009
"86",2021-03-16,0.1824
"87",2021-03-17,0.2024
"88",2021-03-18,0.1937
"89",2021-03-19,0.2083
"90",2021-03-22,0.2149
"91",2021-03-23,0.208
"92",2021-03-24,0.1938
"93",2021-03-25,0.2045
"94",2021-03-26,0.2162
"95",2021-03-29,0.2202
"96",2021-03-30,0.213
"97",2021-03-31,0.1936
"98",2021-04-01,0.1786
"99",2021-04-05,0.1934
"100",2021-04-06,0.1907
"101",2021-04-07,0.2108
"102",2021-04-08,0.2184
"103",2021-04-09,0.2237
"104",2021-04-12,0.2176
"105",2021-04-13,0.218
"106",2021-04-14,0.201
"107",2021-04-15,0.1949
"108",2021-04-16,0.1822
"109",2021-04-19,0.2121
"110",2021-04-20,0.2119
"111",2021-04-21,0.2134
"112",2021-04-22,0.2135
"113",2021-04-23,0.2084
"114",2021-04-26,0.2072
"115",2021-04-27,0.2012
"116",2021-04-28,0.185
"117",2021-04-29,0.1992
"118",2021-04-30,0.1921
"119",2021-05-03,0.1953
"120",2021-05-04,0.2157
"121",2021-05-05,0.2196
"122",2021-05-06,0.2143
"123",2021-05-07,0.2133
"124",2021-05-10,0.2234
"125",2021-05-11,0.2255
"126",2021-05-12,0.2193
"127",2021-05-13,0.2002
"128",2021-05-14,0.1657
"129",2021-05-17,0.1974
"130",2021-05-18,0.1926
"131",2021-05-19,0.2043
"132",2021-05-20,0.1916
"133",2021-05-21,0.2053
"134",2021-05-24,0.2035
"135",2021-05-25,0.2148
"136",2021-05-26,0.2155
"137",2021-05-27,0.2161
"138",2021-05-28,0.2063
"139",2021-06-01,0.2025
"140",2021-06-02,0.1846
"141",2021-06-03,0.1872
"142",2021-06-04,0.1913
"143",2021-06-07,0.1948
"144",2021-06-08,0.2032
"145",2021-06-09,0.2028
"146",2021-06-10,0.2107
"147",2021-06-11,0.2055
"148",2021-06-14,0.1881
"149",2021-06-15,0.2
"150",2021-06-16,0.2058
"151",2021-06-17,0.1975
"152",2021-06-18,0.1782
"153",2021-06-21,0.209
