date,FANG,INTU,FTNT,ETN,AMD,IDXX,META,CDNS,MPWR,FCX,NEM,PANW,LLY,OXY
2022-04-18,0.1735,0.252,0.2229,0.2408,0.1269,0.2416,0.2381,0.3266,0.2518,0.0509,0.2629,0.2911,0.2634,0.3008
2022-04-19,0.1601,0.2572,0.2285,0.2541,0.1272,0.2417,0.2347,0.3267,0.2572,0.0523,0.268,0.2977,0.2673,0.2831
2022-04-20,0.1588,0.2517,0.2365,0.2511,0.1301,0.2371,0.2308,0.3229,0.252,0.0476,0.2737,0.2955,0.2661,0.2945
2022-04-21,0.1539,0.2575,0.2313,0.2495,0.128,0.2409,0.2271,0.323,0.245,0.0436,0.2668,0.2852,0.2664,0.2842
2022-04-22,0.1618,0.2541,0.235,0.2565,0.1339,0.244,0.2282,0.3221,0.2448,0.0418,0.2604,0.2891,0.2569,0.2928
2022-04-25,0.1606,0.2504,0.2346,0.2625,0.132,0.2459,0.2262,0.3233,0.2491,0.0415,0.2581,0.2949,0.2548,0.295
2022-04-26,0.1488,0.2402,0.2369,0.2501,0.1323,0.2437,0.2305,0.3195,0.2438,0.0345,0.2608,0.2914,0.2642,0.2898
2022-04-27,0.1305,0.2412,0.2395,0.2448,0.1361,0.238,0.2292,0.3244,0.2434,0.0341,0.2631,0.2898,0.2645,0.2659
2022-04-28,0.1462,0.2304,0.2427,0.2403,0.1321,0.2313,0.2306,0.3205,0.2466,0.0363,0.2563,0.2891,0.2574,0.285
2022-04-29,0.1611,0.2402,0.2481,0.2522,0.1292,0.2375,0.2239,0.3259,0.2516,0.0461,0.2567,0.2848,0.2514,0.3031
2022-05-02,0.1709,0.2408,0.248,0.257,0.1268,0.2442,0.2297,0.3208,0.2506,0.0484000000000001,0.2571,0.2899,0.2491,0.322
2022-05-03,0.1776,0.2423,0.2496,0.2684,0.1298,0.2525,0.2327,0.3218,0.2564,0.053,0.2595,0.2909,0.2509,0.3266
2022-05-04,0.1769,0.2336,0.2502,0.2548,0.1324,0.2438,0.2459,0.3183,0.2545,0.0505,0.2725,0.2882,0.2523,0.327
2022-05-05,0.175,0.2403,0.2539,0.2539,0.1316,0.2379,0.247,0.3211,0.2578,0.0584,0.2781,0.2876,0.2503,0.3228
2022-05-06,0.1716,0.2339,0.2586,0.2545,0.1264,0.2361,0.2383,0.3162,0.2599,0.058,0.2771,0.2916,0.2438,0.3112
2022-05-09,0.1734,0.2387,0.2594,0.2622,0.1239,0.247,0.231,0.3172,0.2561,0.064,0.2759,0.2887,0.2365,0.3097
2022-05-10,0.1775,0.2384,0.2634,0.2628,0.1306,0.257,0.2311,0.314,0.2568,0.0636,0.2736,0.2987,0.2369,0.3189
2022-05-11,0.1737,0.2442,0.2614,0.2689,0.1311,0.2699,0.2247,0.3098,0.2618,0.0596,0.2724,0.3016,0.2342,0.315
2022-05-12,0.172,0.2371,0.2599,0.2561,0.1288,0.2667,0.2342,0.3034,0.2563,0.057,0.2655,0.3055,0.2248,0.3122
2022-05-13,0.161,0.2395,0.2642,0.2554,0.1347,0.2632,0.2314,0.3099,0.2583,0.0635,0.2688,0.3081,0.2208,0.2959
2022-05-16,0.1703,0.2431,0.2659,0.2673,0.135,0.2629,0.2282,0.2964,0.2601,0.0739,0.2754,0.3142,0.2183,0.3184
2022-05-17,0.1725,0.2469,0.2674,0.2777,0.1367,0.2689,0.2155,0.2999,0.2628,0.0704,0.2749,0.3159,0.2181,0.328
2022-05-18,0.1696,0.246,0.2628,0.2727,0.1335,0.272,0.2196,0.3019,0.2611,0.0639,0.2709,0.317,0.2156,0.3319
2022-05-19,0.1747,0.2427,0.2605,0.2754,0.1327,0.2733,0.2222,0.2997,0.2647,0.0633,0.2629,0.3163,0.2177,0.3415
2022-05-20,0.1734,0.2265,0.2537,0.2676,0.129,0.2667,0.2307,0.2921,0.2589,0.0569,0.2596,0.3105,0.2165,0.3451
2022-05-23,0.1664,0.2244,0.2549,0.2627,0.1261,0.2576,0.2347,0.2912,0.261,0.0573,0.2631,0.2969,0.2165,0.3394
2022-05-24,0.1652,0.22,0.2639,0.2608,0.133,0.252,0.2358,0.2947,0.2609,0.0591,0.2619,0.2929,0.2189,0.3364
2022-05-25,0.1593,0.2283,0.265,0.2617,0.132,0.2449,0.2327,0.2938,0.2588,0.0592,0.2669,0.2901,0.209,0.3247
2022-05-26,0.1702,0.2301,0.2716,0.2665,0.129,0.2482,0.2258,0.2929,0.258,0.0666,0.2687,0.2935,0.207,0.338
2022-05-27,0.1683,0.2316,0.2714,0.2738,0.1241,0.2565,0.2224,0.2961,0.264,0.0722,0.2687,0.2933,0.21,0.3341
2022-05-31,0.1686,0.2295,0.2696,0.2604,0.1243,0.2585,0.2317,0.294,0.2619,0.0674999999999999,0.2673,0.2956,0.2167,0.3393
2022-06-01,0.1738,0.2399,0.2766,0.2616,0.1283,0.2633,0.235,0.3059,0.2626,0.0745,0.2781,0.2969,0.2191,0.3472
2022-06-02,0.1821,0.2372,0.2826,0.2595,0.1317,0.2625,0.2394,0.3061,0.2623,0.0762,0.2869,0.2977,0.2142,0.3495
2022-06-03,0.184,0.2381,0.2806,0.261,0.1315,0.2643,0.2385,0.3175,0.2667,0.0792,0.287,0.2983,0.2135,0.3477
2022-06-06,0.1809,0.2341,0.2849,0.2611,0.1302,0.2628,0.2394,0.3123,0.2696,0.075,0.2814,0.3004,0.2094,0.3434
2022-06-07,0.1784,0.2366,0.2836,0.2658,0.1324,0.2691,0.2376,0.3095,0.2713,0.0807,0.2758,0.3058,0.2062,0.3437
2022-06-08,0.1757,0.2293,0.283,0.2616,0.1304,0.2734,0.2431,0.3112,0.2671,0.0756000000000001,0.2758,0.317,0.216,0.3458
2022-06-09,0.1682,0.2298,0.2837,0.2652,0.1319,0.2684,0.2352,0.3141,0.2669,0.0735,0.2702,0.322,0.2093,0.3328
2022-06-10,0.1836,0.2215,0.2818,0.2601,0.1321,0.2688,0.2342,0.3128,0.2683,0.0787,0.2656,0.3306,0.2034,0.3552
2022-06-13,0.1884,0.2279,0.2837,0.2656,0.1316,0.273,0.2311,0.3148,0.2696,0.0809,0.2657,0.3231,0.2026,0.3552
2022-06-14,0.1851,0.2286,0.2872,0.2718,0.1294,0.2766,0.2338,0.3083,0.2707,0.0818,0.2644,0.3226,0.2032,0.3434
2022-06-15,0.1823,0.2337,0.2911,0.2726,0.1266,0.2789,0.2252,0.3105,0.2812,0.0828,0.264,0.3235,0.2107,0.3333
2022-06-16,0.1816,0.2277,0.2833,0.2693,0.1236,0.2697,0.2278,0.3134,0.2772,0.081,0.2658,0.3152,0.21,0.333
2022-06-17,0.1685,0.2296,0.2749,0.2711,0.1278,0.2775,0.2246,0.3233,0.2702,0.0846,0.268,0.3088,0.2074,0.3185
2022-06-21,0.1789,0.2318,0.2782,0.2735,0.123,0.2859,0.2269,0.3243,0.2697,0.0837,0.2646,0.31,0.204,0.3477
2022-06-22,0.18,0.2351,0.2765,0.2756,0.1207,0.2905,0.2259,0.3244,0.2686,0.0854,0.2597,0.3092,0.2065,0.3545
