date,NEM,ABEV3,FTNT,ENGI11,IDXX,LREN3,OXY,INTU,LLY,PANW,TOTS3,FCX,FANG,META,ALPA4,MPWR,ETN,AMD,CDNS
2020-03-19,0.2772,0.4314,0.3032,0.2906,0.2029,0.2779,0.62,0.2396,0.3152,0.4734,0.1615,0.3264,0.3874,0.1486,0.3067,0.2399,0.4978,0.3303,0.2321
2020-03-20,0.2669,0.4503,0.3001,0.2994,0.2206,0.2709,0.6358,0.2428,0.3298,0.4775,0.1759,0.3351,0.4464,0.1115,0.324,0.2436,0.5074,0.3518,0.2384
2020-03-23,0.2748,0.4708,0.3189,0.3108,0.1994,0.2793,0.7579,0.231,0.3438,0.5074,0.164,0.3299,0.5401,0.1216,0.3535,0.2418,0.5212,0.3723,0.2638
2020-03-24,0.3179,0.4779,0.3844,0.3379,0.2167,0.2866,0.7279,0.2714,0.374,0.5631,0.1734,0.3872,0.5441,0.1382,0.3759,0.2363,0.5608,0.4113,0.2776
2020-03-25,0.3503,0.4759,0.3924,0.3576,0.2573,0.3053,0.7834,0.2973,0.3636,0.5922,0.2297,0.4338,0.569,0.1683,0.3907,0.2278,0.6163,0.4329,0.2795
2020-03-26,0.3646,0.519,0.4108,0.3841,0.3013,0.3603,0.7701,0.336,0.389,0.5864,0.2525,0.4442,0.5432,0.191,0.4029,0.2613,0.658,0.4468,0.2979
2020-03-27,0.3954,0.4909,0.416,0.3618,0.3102,0.3623,0.7612,0.3351,0.4088,0.5517,0.2597,0.4681,0.5475,0.1988,0.3679,0.2814,0.6558,0.4677,0.3044
2020-03-30,0.3699,0.4949,0.4169,0.3626,0.3377,0.3942,0.7627,0.3248,0.4201,0.5932,0.3079,0.4908,0.5628,0.1894,0.4091,0.3396,0.6599,0.4643,0.3116
2020-03-31,0.3731,0.5111,0.4118,0.3558,0.3509,0.3791,0.735,0.3094,0.426,0.5996,0.3034,0.4703,0.5498,0.1849,0.4154,0.3342,0.6533,0.3887,0.2857
2020-04-01,0.3396,0.4971,0.4238,0.3466,0.3575,0.375,0.6878,0.3234,0.4546,0.6097,0.3096,0.4699,0.5211,0.1793,0.4293,0.3411,0.6523,0.3684,0.2826
