date,Ticker,deltaH
2020-03-19,NEM,0.2772
2020-03-20,NEM,0.2669
2020-03-23,NEM,0.2748
2020-03-24,NEM,0.3179
2020-03-25,NEM,0.3503
2020-03-26,NEM,0.3646
2020-03-27,NEM,0.3954
2020-03-30,NEM,0.3699
2020-03-31,NEM,0.3731
2020-04-01,NEM,0.3396
2020-04-02,NEM,0.3269
2020-04-03,NEM,0.3277
2020-04-06,NEM,0.3432
2020-04-07,NEM,0.35
2020-04-08,NEM,0.3609
2020-04-09,NEM,0.3656
2020-04-13,NEM,0.3709
2020-04-14,NEM,0.3295
2020-04-15,NEM,0.3333
2020-04-16,NEM,0.3408
2020-04-17,NEM,0.3678
2020-04-20,NEM,0.3399
2020-04-22,NEM,0.3224
2020-04-23,NEM,0.3317
2020-04-24,NEM,0.331
2020-04-27,NEM,0.3594
2020-04-28,NEM,0.3653
2020-04-29,NEM,0.3383
2020-04-30,NEM,0.3175
2020-05-04,NEM,0.2846
2020-05-05,NEM,0.2727
2020-05-06,NEM,0.287
2020-05-07,NEM,0.298
2020-05-08,NEM,0.2813
2020-05-11,NEM,0.2913
2020-05-12,NEM,0.2896
2020-05-13,NEM,0.2991
2020-05-14,NEM,0.2987
2020-05-15,NEM,0.3244
2020-05-18,NEM,0.3156
2020-05-19,NEM,0.3138
2020-05-20,NEM,0.2969
2020-05-21,NEM,0.3233
2020-05-22,NEM,0.331
2020-05-26,NEM,0.3364
2020-05-27,NEM,0.3039
2020-05-28,NEM,0.3243
2020-05-29,NEM,0.3117
2020-06-01,NEM,0.3267
2020-06-02,NEM,0.3376
2020-06-03,NEM,0.335
2020-06-04,NEM,0.3207
2020-06-05,NEM,0.3056
2020-06-08,NEM,0.3281
2020-06-09,NEM,0.3666
2020-06-10,NEM,0.3543
2020-06-12,NEM,0.3246
2020-06-15,NEM,0.3288
2020-06-16,NEM,0.3092
2020-06-17,NEM,0.3149
2020-06-18,NEM,0.3227
2020-06-19,NEM,0.3152
2020-06-22,NEM,0.2738
2020-06-23,NEM,0.2776
2020-06-24,NEM,0.2487
